slug,url,category,data_kind,one_line,abnb_use,sampled,dir_bytes,rows,date_range,geography,full_dataset_size,description,issues
aarushisingh-pead-investor-attention,https://github.com/aarushisingh470/Post-Earnings-Announcement-Drift,academic_replication,both,"Verified: PEAD + investor-attention replication created 9 Mar 2026, last push 10 Mar 2026, no LICENSE, 5.5 MB. Committed data: Output/final/ holds attention_panel_gtrends.csv (243 KB), attention_panel_gtrends_terms.csv (693 KB), daily_returns.csv (657 KB), event_panel_yf.csv, final_event_dataset.csv, gtrends_download_plan.csv and gtrends_download_instructions.txt; Output/cache/ holds yfinance earnings_dates_<TICKER>.csv for 15 mega-caps (AAPL, AMZN, AVGO, BAC, COST, GOOGL, HD, JPM, MA, META, MSFT, NVDA, PG, TSLA, UNH, XOM - no ABNB) and adjusted-close panels from 2019-01-01; Output/tables/ has drift-by-attention, drift-by-distraction and strategy performance summaries; Notebooks/ has a 4-step pipeline plus a Report notebook and a 483 KB PDF write-up.","Gap #17: a working CAR event-study scaffold (t=0 to t=21) with an earnings-announcement congestion/distraction control and a documented, reproducible Google Trends pull plan with pull dates - the pull-plan/instructions file is the piece we lack (point-in-time trends provenance, gap #4), and the drift-by-attention tables give a small-sample base rate to compare an ABNB 5-Nov drift against.",True,1907149,"attention_panel_gtrends.csv 3,144; attention_panel_gtrends_terms.csv 12,576; daily_returns.csv 1,753; event_panel_yf.csv 382; final_event_dataset.csv 238; gtrends_download_plan.csv 12; tables/: event_panel_preview 50, final_dataset_preview 200, gtrends_merge_audit 48, strategy_* 176 each, drift-by-attention/distraction 2-4 rows, summary tables 1-4 rows; notebooks/README n/a","daily returns 2019-01-03 to 2025-12-22; earnings events 2020-01-14 to 2025-11-19 (382 events, 16 tickers); Google Trends weekly SVI 2020-12-21 to 2025-12-22 (262 weeks, 12 tickers, 48 term series); merged event dataset 2021-01-11 to 2025-11-17 (238 events)",,"Whole repo ~5.5 MB: adds Output/cache/ (yfinance earnings_dates_<TICKER>.csv for 16 tickers, adjclose panel from 2019-01-01, ~0.6 MB), the 483 KB PDF write-up and Papers/. Rows as above; nothing larger exists - the raw Google Trends CSVs (48 files, 262 weeks each) are NOT committed, only the merged panels.","Student replication of post-earnings-announcement drift (Bernard-Thomas) conditioned on Google Trends investor attention (Da-Engelberg-Gao) and same-day earnings congestion (Hirshleifer-Lim-Teoh), for 16 US mega-caps (no ABNB). Grain: one row per earnings event (t=0 announcement, CAR[0,1] surprise, CAR[2,21] drift, count of same-day announcers, high-distraction flag) plus a weekly ticker-level attention panel built from 4 hand-downloaded Google Trends terms per ticker and a daily return matrix from yfinance. Source: yfinance earnings dates/prices and manual Google Trends CSV downloads (a download plan and naming convention are committed, but no pull dates). For ABNB, the value is the scaffold - the event-study code and the drift-by-attention/distraction base rates (drift +0.7% low-distraction vs -1.1% high-distraction, n=238) can be re-run on ABNB's 5 Nov print and its 2020-2026 event history; the Trends pull plan is a template, not point-in-time provenance.","No LICENSE file - reuse rights undetermined (tos_or_license_flag). Google Trends CSVs were downloaded manually via the browser UI; the instructions give settings (US, past 5y, web search) but NOT the pull date, so the attention panel is a single vintage, not point-in-time (gap #4 only partly served). Data covers 16 mega-caps, no ABNB or travel names; earnings dates come from yfinance and are not independently verified. Small n (238 merged events) makes the drift base rates indicative only. The 483 KB PDF write-up and Output/cache/ were skipped per the sample plan; the Trends notebook was not re-run."
abhi2303shek-oyo-mumbai-price-snapshot,https://github.com/Abhi2303shek/OYO,competitor_ota,stored_dataset,"MIT, 40 KB: committed oyo.csv (73.8 KB, columns id/hotel/location/price/discount/rating — rows inspected are Mumbai OYO, Capital O and Collection O properties with INR nightly price, % discount and review count) plus oyo.sql (7.8 KB), Cleaning.ipynb (34 KB) and Insights.txt; single undated snapshot, last push 2026-02-27, 0 stars.","Budget-lodging price and discount structure in one Indian metro — a thin read on the price-sensitive APAC segment Airbnb competes with (gap #9); the discount column is the only public 'list vs realised price' wedge we have seen for that segment, though with no vintage it cannot be used point-in-time.",True,80416,"oyo.csv: 791 rows (id populated on 460, NaN on 331); Insights.txt: n/a (text, list of 30 analysis questions)","none - no date column; single undated snapshot, repo last pushed 2026-02-27",,"This is the whole dataset: 7 files, ~120 KB (oyo.csv 73.8 KB, oyo.sql 7.8 KB, Cleaning.ipynb 34 KB, Insights.txt 3 KB, README, LICENSE, .gitignore); 791 rows","A single undated scrape of OYO (Indian budget-hotel aggregator) listing cards: one row per property with hotel name (Oyo/Flagship/Collection O/Super/Capital O brand tiers), locality string, INR nightly list price, headline discount percent and review count. Despite the job-card slug, the sample is not Mumbai-only: the location suffix is Bangalore (149), Delhi/New Delhi (~140), Kolkata (102), Mumbai (20) plus locality-only strings (Karol Bagh, Paharganj, Mahipalpur), so it is a four-metro cross-section; median price INR 1,599, median discount 65%, max review count 7,398. Source is the author's own scrape (Cleaning.ipynb), MIT licence, 0 stars. For ABNB an analyst could use it only as a static reference for the Indian budget-lodging price and discount structure (list-vs-effective price wedge ~65%) that Airbnb's APAC supply competes against; no time dimension, so no nowcast or point-in-time use.","Slug/one_line mislabel: dataset covers Bangalore, Delhi, Kolkata and Mumbai, not Mumbai alone. No date or scrape timestamp anywhere (repo push 2026-02-27 is the only bound). id column NaN for 331 rows (concatenated scrapes). rating is a review count, not a star rating. OYO's terms of service may not permit scraping; the data was scraped by the repo author, not by us, and we did not run any scraper. Very small, no vintage, no ABNB relevance beyond a static competitor price reference."
airbnb-github-org,https://github.com/airbnb,web_app_engagement,pointer_to_external_host,"Airbnb's own verified GitHub organisation (confirmed via gh api orgs/airbnb: 204 public repos, 5,716 followers, created 30 Mar 2011, San Francisco); not a dataset but a live public source whose repo-level metadata (created_at, pushed_at, language, stars, archived flag) is pullable keylessly from the GitHub REST API, with GH Archive / OpenDigger available for full event history.","Gap #15 (company-structure signals / own GitHub org activity): new-repo creation and push cadence by year is a free, high-frequency proxy for engineering headcount and where R&D is going (chronon/viaduct data-platform and GraphQL work vs. dormant mobile OSS), which reads on the opex side of the adj. EBITDA-margin forecast; also a crude timestamp of the 2023 layoff/hiring-freeze period for a headcount narrative check.",True,1321021,"airbnb_org_repos.json/.csv: 204 repos (full org, not a head); commits_chronon.csv: 575; commits_viaduct.csv: 1,594","repos created_at 2011-04-07 to 2026-08-31, pushed_at 2011-04-12 to 2026-09-14; chronon commits 2023-12-09 to 2026-09-09; viaduct commits 2025-08-06 to 2026-09-14",,"Repo metadata is already complete (204 repos, 1.1 MB JSON). Full commit/event history for all 204 repos would be ~100-300k commits via REST (tens of MB) or via GH Archive (hourly gzipped JSON of all public GitHub events since 2011, ~tens of TB total; BigQuery githubarchive dataset queryable by org for pennies).","Repo-level metadata for every public repository in Airbnb's verified GitHub organisation (one row per repo: creation, last push, language, stars, archived/fork flags, licence) plus per-commit timestamps since 2024 for the two most active repos (chronon ML feature platform, viaduct GraphQL/data platform). Source is the keyless GitHub REST API via gh. An ABNB analyst would build a yearly new-repo-creation and push-cadence series (creation peaked 2016 at 36 repos, fell to 2 in 2023, then 4-5/yr in 2025-26; pushes 47 in 2023 were mostly archiving) as a crude proxy for engineering headcount and R&D direction, feeding the opex/adj. EBITDA-margin narrative, not the revenue forecast.","Metadata is a current snapshot, not point-in-time (stars, archived flag, pushed_at overwrite); only created_at is a true historical stamp. 82 of 204 repos are forks and 24 are archived, so activity counts need filtering. Public OSS activity is a small, unrepresentative slice of Airbnb engineering; commit dates in viaduct cluster on bot/CI commits. No licence concern: GitHub API metadata is public; individual repos carry their own licences (mostly MIT/Apache-2.0)."
asifmehdiyev-booking-reviews-timeseries-nb,https://github.com/Asifmehdiyev/Booking_Time_Series_Modelling,competitor_ota,pointer_to_external_host,"Single 1.1 MB Jupyter notebook (README 444 B, no licence, 0 stars, last push 2023-06-19) doing EDA/time-series/forecasting on a Booking.com GUEST-REVIEW scrape hosted on Kaggle (kaggle.com/datasets/asifmehdiyev/bookingnew, file booking.csv); notebook outputs show columns review_title, reviewed_at, reviewed_by, images, rating, nationality with review dates spanning ~2019-2021. NOT the Portugal hotel-booking-demand dataset the scout guessed; no data committed to the repo, raw CSV needs a Kaggle login.","A dated Booking.com review stream is the competitor analogue of our reviews-based 'stays index' (gap 9, competitor OTA volumes); the notebook's committed outputs show how the reviews-per-period series behaves and the schema/nationality field would let a cross-border-share proxy be built if the Kaggle CSV is ever pulled by a human.",True,132855,"No raw data table pulled (Kaggle login needed). Notebook outputs describe booking.csv: 26,386 reviews x 15 columns, 819 properties, 163 nationalities. Saved: schema_from_notebook.csv 15 rows; dansaert_hotel_monthly_series_from_notebook.csv 23 rows (one hotel, monthly, 2018-07 to 2020-05, 2 NaN months); notebook 91 cells (22 PNG outputs stripped).",reviewed_at 2018-07-31 to 2021-07-19 (per notebook df.min/max); crawled_at all 2021-07-20; single-hotel monthly series 2018-07 to 2020-05,,"Repo: 2 files, 1.1 MB (notebook + README). Underlying Kaggle dataset kaggle.com/datasets/asifmehdiyev/bookingnew, booking.csv, 26,386 rows x 15 cols, ~2.6 MB in memory (est. 10-20 MB on disk with raw HTML column); requires Kaggle login, not pulled.","A student notebook doing EDA and Prophet forecasting on a July-2021 scrape of Booking.com guest reviews for 819 Belgian properties (hotels, hostels, B&Bs, apartments), one row per review with review date, reviewer nationality, score, property average score, and a tags field encoding trip type, party composition, room type and length of stay. Source is a Kaggle CSV scraped from booking.com/reviews/be; the repo commits only the notebook. For ABNB an analyst would use the Kaggle CSV (if obtained by a human) as a dated Booking.com review stream for Belgium 2018-2021 to compare review-count seasonality and nationality/cross-border mix against our Inside Airbnb reviews-based stays index; the notebook itself only shows that the data exists and what its schema is. Single country and a 2021 endpoint make it archival context, not a nowcast input.","No licence in repo or stated for the Kaggle dataset; data is a scrape of booking.com (ToS question for a human). Raw CSV needs Kaggle login: NOT pulled. Notebook time-series work is on avg_rating of one hotel (a constant per property, so the series is effectively a review-count proxy) and is analytically weak; only the schema and date range are useful. Belgium only; ends 2021-07-19. Not the Portugal hotel-booking-demand dataset."
augustliu-bnpl-merchant-dataset,https://github.com/AugustLiu0415/BNPL_Merchant_Dataset,macro_consumer_spend,both,"Real CSVs committed (verified sizes): data/merchant_list_raw_data/BNPL_Merchant_List.csv 1.8 MB and BNPL_Merchant_Categories.csv 3.4 MB (8,470 merchants across Affirm/Klarna/Afterpay/Zip/Sezzle directories), data/public_company_panel_data/public_company_panel_data_2015-2026.csv 3.1 MB (4,675 firm-quarter SEC rows), plus crosswalk, variable definitions and a 14.8 MB source audit; scraper bnpl_scraper.py 36 KB; last commit 2026-08-10; NO licence file.","Gap 3 (RNPL / reserve-now-pay-later) and gap 6 (consumer-credit strength): the merchant directories say which travel and lodging brands carry Affirm/Klarna/Afterpay and — via Internet-Archive CDX adoption dating — roughly when the option appeared, which is the closest public read on whether pay-later financing is spreading through travel booking. The SEC firm-quarter panel is a template for the adoption-window event study rather than an ABNB input.",True,8616005,"BNPL_Merchant_List.csv 9,434 (merchant x provider); BNPL_Merchant_Categories.csv 14,627 (merchant x category x provider); BNPL_Merchant_Adoption_Date.csv 278 (merchant x provider, public-parent merchants only); BNPL_Merchant_First_BNPL.csv 144; public_company_panel_data_2015-2026.csv 4,675 firm-quarters over 124 tickers (ABNB 22 rows 1Q21-2Q26; BKNG/EXPE/MAR 46 rows 1Q15-2Q26); public_company_crosswalk.csv 127; public_company_panel_variable_definitions.csv 9; extract_travel_merchants.csv 190 (our filter: Travel/Hotels/Flights categories)","adoption first_confirmed_bnpl_date 2020-11-29 to 2026-02-26 (167 non-null of 278; Wayback CDX first capture of provider directory pages, NOT true adoption dates); SEC panel period_end 2015-01-03 to 2026-07-04, filing_date 2015-02-20 to 2026-08-07, retrieved_at 2026-08-09; merchant directories are a single scrape snapshot (repo last commit 2026-08-10)",,"Repo tree 3,135 blobs, 2.13 GB total, of which 3,033 files are the Wayback CDX JSON cache under data/adoption_date_data/cache/. Committed CSV/JSON tables excluding cache and previews: ~50 MB (largest: controls_group_panel_source_audit.csv 18.1 MB, public_company_panel_source_audit.csv 14.8 MB, merchant_ownership_rows.json 9.0 MB, controls_group_panel_data_2015_2026.csv 3.8 MB). The sample holds all substantive merchant, adoption and firm-quarter tables (~8.6 MB); the rest is audit logs, xlsx twins, PNG previews, control-group matching outputs and the CDX cache.","Cross-provider directory of ~8.5k US merchants listed on the Affirm, Klarna, Afterpay, Zip and Sezzle shop directories (one scrape, Aug 2026), with categories, a 278-row merchant-by-provider adoption-dating table for merchants owned by 124 public companies (dated via Internet Archive CDX first capture of the provider directory page), and a 2015-2026 SEC XBRL firm-quarter financial panel for those parents. Grain: merchant x provider for the lists and adoption table; firm x fiscal quarter for the panel. Source: provider directory pages scraped by the author's bnpl_scraper.py plus SEC CompanyFacts. For ABNB an analyst would use it as a map of which travel brands offer pay-later (Airbnb appears only under Zip; Vrbo, Expedia, Booking.com, Priceline, Hotels.com, Agoda, Trip.com, Marriott, Hilton, Royal Caribbean and Delta appear under Affirm/Afterpay/Zip) and as a template for a BNPL-adoption event study; it is not a volume or spend series and cannot measure RNPL usage.","NO licence file in the repo (gh api reports license null): redistribution rights undetermined, treat as view-only research data. Adoption dates are Wayback first-capture of provider DIRECTORY pages, so Affirm rows cluster at 2020-11-29 and Zip at 2021-09-21 or 2022-06-25; date_precision is 'unknown' and confidence 'UNKNOWN' for all 278 rows and adoption_date_best is empty for every row, so the adoption table is not usable as an event date without manual work. Airbnb appears only in the Zip directory (Klarna's Airbnb partnership since 2023 is not captured because Klarna's directory was scraped by product category pages). The merchant directories are a single point-in-time snapshot with no history. bnpl_scraper.py scrapes affirm.com/klarna.com/afterpay.com/zip.co/sezzle.com and was not run; a human should decide on ToS before re-running. The sparse clone stalls on the 3,033-file CDX cache; use raw curls. Panel data is SEC XBRL-derived and duplicates what we already hold for ABNB/BKNG/EXPE/MAR."
bookingcom-multi-destination-trip-wsdm2021,https://huggingface.co/datasets/Booking-com/multi-destination-trip-dataset,competitor_ota,pointer_to_external_host,"Booking.com official WSDM WebTour-2021 challenge microdata on HuggingFace (not GitHub): train_set.csv + test_set.csv + ground_truth.csv, 1.55M anonymised reservations, 9 cols (user_id, checkin, checkout, city_id, device_class, affiliate_id, booker_country, hotel_country, utrip_id), ~128 MB CSV (152 MB repo), 2016 vintage, public/ungated, CC-BY-NC-ND-4.0, last updated 6 Dec 2024.","Booked (not quoted) reservation records with checkin/checkout give competitor length-of-stay distributions and booker_country x hotel_country cross-border flow tables - a read on gap #20 (LOS / cross-border share proxies) and gap #9 (competitor volumes), and a historical base rate for LOS mix that our Airbnb-side ADR/nights decomposition has no independent check on. 2016 vintage means it is structural background, not a nowcast input.",True,8849893,"train head 62,861 rows (11,763 trips) of 1,166,835; test head 25,880 rows (4,798 trips) of ~379k; ground_truth 70,662 rows (COMPLETE file, 1.84 MB); README n/a",checkin 2016-01-01 to 2017-02-27; checkout 2016-01-02 to 2017-02-28 (heads; full set is the same 2016-2017 span per README),,"3 CSVs = 123.6 MB (train_set.csv 92.65 MB / 1,166,835 rows; test_set.csv 29.15 MB / ~379k rows; ground_truth.csv 1.84 MB / 70,662 rows) plus README, a PDF description, evaluation_demo.ipynb, submission.csv, one jpg; ~152 MB repo; one command per file via the HF resolve endpoint, no login","Booking.com's official WSDM WebTour 2021 challenge release: 1.55M anonymised real hotel reservations (2016 to Feb 2017) grouped into multi-destination trips, one row per reservation with check-in/check-out dates, anonymised city and country IDs (countries carry fictional names such as Gondal, Elbonia), device class, affiliate channel and booker country. Grain is reservation within trip; source is Booking.com itself, hosted ungated on HuggingFace. An ABNB analyst would use it as a competitor base rate for length-of-stay distributions (head: mean 1.74 nights, median 1), share of cross-border stays (~90% in the head, which is biased because the challenge selects multi-city trips), device mix and trip-chaining behaviour, not as a nowcast input given the 2016 vintage.","Licence CC-BY-NC-ND-4.0: non-commercial and no-derivatives; a competition pitch is arguably non-commercial but a human should confirm before quoting figures. Country and city identifiers are anonymised (fictional country names, integer city IDs) so no real geography or regional split can be recovered; no price, room type or accommodation type column, so no ADR or STR/hotel split. README lists a created_date column that is absent from the files (no lead-time measure). Heads are the first N bytes of files sorted by user_id, so booker_country shows only 5 values in the head; the ground_truth file was pulled in full. Sample is multi-city trips only (4+ reservations per trip), so LOS and cross-border shares are not representative of all Booking.com bookings."
bookingcom-rectour24-accommodation-reviews,https://huggingface.co/datasets/Booking-com/accommodation-reviews,competitor_ota,pointer_to_external_host,"RecTour-2024 Booking.com reviews challenge; the actual data lives at https://huggingface.co/datasets/Booking-com/accommodation-reviews (public, ungated, 1.80 GB): train.csv/val.csv (~1.6M English reviews from 40k accommodations published in 2023, fields incl. guest_type, guest_country, room_nights, month, accommodation_country/type/star_rating) plus a rectour24/ folder (train/val/test reviews, users, matches). Licence 'cc' on the card, CC-BY-NC-SA-style research terms; last modified 21 Sep 2025.","guest_type + room_nights + guest_country x accommodation_country on 1.6M dated 2023 reviews is a competitor-side party-composition, length-of-stay and cross-border-share panel (gaps #20 and #9) - the only non-Airbnb source we would hold with room_nights and guest_type on the same row, a direct comparator for the Hawaii DBEDT party-size series and for our LOS assumptions in the ADR decomposition.",True,12379820,"bkng_acc_train_head 14,203; bkng_acc_val_head 5,861; rectour24_train_users_head 19,330; rectour24_train_reviews_head 5,896; rectour24_train_matches_head 11,768 (all are ranged-byte heads with the trailing partial record dropped)","check-in month 1-12 of 2023 (month integer only; no year column, README says reviews published in 2023)",,"11 files, 1.71 GB on Hugging Face: train.csv 584 MB (~1.6M reviews), val.csv 73 MB, rectour24/ train_reviews 554 MB, train_users 168 MB, train_matches 138 MB, val_reviews 69 MB, val_users 21 MB, val_matches 17 MB, test_reviews 67 MB, test_users 21 MB; README says ~1.6M reviews from ~40k accommodations","Booking.com's public accommodation-review dataset (RecTour 2024 challenge): one row per moderated English guest review published in 2023, with the stay's guest_type (solo/couple/group/family), room_nights, check-in month, anonymised guest country and the property's country, type, star rating and beach/ski/city flags; the rectour24 folder splits the same data into users, reviews and user-review matches for the review-ranking task. Source is Booking.com itself via Hugging Face (ungated). For ABNB it is the only competitor-side table we would hold with party composition, length of stay and guest-country x property-country on the same row, usable as a 2023 cross-section comparator for party size (Hawaii DBEDT), LOS assumptions in the ADR decomposition, cross-border share and apartment-vs-hotel mix by country; it is a single-year cross-section with no year column, so it is not a time series.","Licence: README says 'published under the following non-commercial license' but links CC BY-SA 4.0 (which is not non-commercial) and the card tag is 'cc' - contradictory; treat as research/non-commercial use only and a human should decide before anything derived is quoted in the pitch. Sampling caveat: guest_country is anonymised (codes like 'Zuc'), the sample is 2023 only, reviews were filtered to 'informative' ones with >=3 topics and only tens of thousands of properties, so shares are not population estimates. Heads are the first N bytes of each file, not random samples. Files were re-saved via pandas (CRLF line endings on Windows). The job-card URL (ceur-ws.org challenge PDF) was not fetched; data URL is the Hugging Face repo."
boston-str-monitor-2015-2019,https://github.com/js-fitz/STR-Monitor,str_airbnb_direct,stored_dataset,"Boston STR ordinance panel: airbnb.csv (23 merged Inside Airbnb scrapes, 124,730 x 31, Jan 2017-Nov 2019), city STRE registry (396k rows), licence-application tracker, BARI parcel file, and 917,948 rows of Padmapper LTR asking prices 2016-2020; no licence declared, last touched 2020.","Directly fills gap 1 (pre-2023 Inside Airbnb vintages, a city we do not hold at all) and gap 12/13 — a real regulation natural experiment with before/after listing counts and a paired long-term-rental price series.",True,2289103,c_grouped_air 4709; c_grouped_pad 12910; c_grouped_str 162; c_grouped_pro 181; c_grouped_props 181; n_grouped_air 708; n_grouped_pad 2085; duplicated_license_listings 770; license_centroids 182; census_groups_data 181; README_upstream n/a,"Airbnb aggregates: 35 scrape dates 2015-10-03 to 2020-02-13 (annual 2015-2017, roughly monthly Apr 2018-Feb 2020); Padmapper LTR aggregates: 85 scrape dates 2013-02-18 to 2020-02-18; listing-level duplicated_license file is the 2020-02-13 scrape only; STR registry / BARI cross-sections as of Feb 2020.",,"Everything tabular that is committed to the repo is already here (~2.3 MB, 10 CSVs; the repo also holds ~1.6 MB of GeoJSON and ~30 MB of notebooks/images). The raw inputs described in the README were NEVER committed: airbnb.csv (23 merged Inside Airbnb Boston scrapes, 629 MB raw, 124,730 x 31 cleaned), STRE.csv (23.4 MB, data.boston.gov), STR_apps.csv (300 kB, from Boston DoIT, not public), SAMREF.csv (78.6 MB), bari_props_2019.csv (78.9 MB, Harvard Dataverse), padmapper.csv (47.9 MB, 917,948 x 6, from jefftk.com). Rebuilding airbnb.csv needs the 2015-2020 Boston listings.csv.gz dumps, which are no longer on the Inside Airbnb CDN.","Derived panel from a 2020 student capstone on Boston's June-2018 Short-Term Rental Ordinance. The committed tables are aggregates of Inside Airbnb Boston scrapes (35 scrape dates, Oct 2015-Feb 2020) at census-tract and neighbourhood grain per scrape date (listing count, accommodates, licensed share, median/avg nightly price, 30-day availability), plus a matching Padmapper long-term-rental asking-rent panel (Feb 2013-Feb 2020, 85 scrapes), Feb-2020 cross-sections of the city STR registry status counts and BARI parcel attributes by tract, and a listing-level file of 770 listings sharing duplicated licence numbers from the Feb-2020 scrape. For ABNB an analyst would use it as a pre-2023 Boston listing-count and quote-price time series (a city we do not hold) and as a regulation natural-experiment case: listing counts and licensed share before and after the Dec-2019 registration deadline, paired with LTR rents. The raw listing-level 2015-2020 vintages themselves are not in the repo.","The job card's plan (airbnb.csv, STRE.csv, padmapper.csv, STR_apps.csv) could not be followed: none of those raw files were ever committed; only the derived tract/neighbourhood aggregates exist on GitHub. No LICENSE file (all rights reserved by default); inputs carry their own terms (Inside Airbnb CC BY 4.0, data.boston.gov open, jefftk.com scrapes unlicensed, BARI Dataverse). duplicated_license_listings.csv contains host first names, listing names/descriptions and licence numbers (public IA data, but personal-ish; do not redistribute). Scrape dates include stray 1-7 listing rows on off-dates (e.g. 2018-05-19, 2019-05-24), artefacts of the merge, and 2015-2017 are single annual scrapes. Airbnb price is quoted nightly price, not realised ADR. Repo last pushed 2020-05-25; the linked Flask app (jsfitz.pythonanywhere.com) may be dead."
brightdata-booking-listings-hf,https://huggingface.co/datasets/BrightData/Booking.com-Listings,competitor_ota,pointer_to_external_host,"HuggingFace dataset (BrightData, last modified 2025-05-12, licence tag 'other' = bright-data-master-service-agreement): a single public CSV booking-listings.csv of 62,784,719 bytes (~63 MB, HF size category 10K<n<100K rows) — NOT the 13-row marketing sample the scout assumed. 35 columns of Booking.com search-result listings for Feb-2025 check-in dates, global (first rows are Korea): url, location, check_in, check_out, adults/children/rooms, id, title, address, city, review_score, review_count, final_price, original_price, currency, tax_description, nb_bedrooms/nb_all_beds/nb_kitchens/nb_livingrooms, no_prepayment, free_cancellation, free_cancellation_until, property_sustainability, country, hotel_rank, searched_country, map_coordinates, listing_country, total_listings_found, star_rating, tags.","Three gaps at once: quoted prices with original_price vs final_price on a competitor platform for a fixed Feb-2025 stay date (gap 9, competitor pricing / alternative accommodation); the no_prepayment, free_cancellation and free_cancellation_until flags are a direct read on how widely 'reserve now, pay later' terms are offered on Booking.com, which is the competitive backdrop to our RNPL thesis (gap 3); nb_bedrooms/nb_all_beds gives a party-size/whole-unit capacity distribution outside Airbnb (gap 20), plus a rough regional (searched_country/listing_country) split.",True,4898063,"brightdata_booking_listings_head.csv: 5,896 rows (first ~5 MB of a 62,784,719-byte CSV; final truncated record dropped); head_summary.json: n/a",check_in 2024-12-27 to 2025-02-27 (six distinct dates; modal 2025-02-05); check_out 2024-12-31 to 2025-02-28; free_cancellation_until 2025-01-31 to 2025-02-28 (70% non-null),,"1 file, booking-listings.csv, 62,784,719 bytes (~63 MB); HF size tag 10K<n<100K rows; extrapolating 5,896 rows per 4.9 MB gives roughly 75k rows","Booking.com search-result listings captured by Bright Data (a commercial scraper vendor) and published on HuggingFace: one row per property returned for a search (city/region, check-in date, adults, rooms) with quoted final_price vs original_price in USD, free-cancellation and no-prepayment flags, cancellation deadline, bedroom/bed/kitchen counts, review score and count, and sustainability JSON. Grain is listing x search; check-ins are six dates from 27 Dec 2024 to 27 Feb 2025, so it is a one-off cross-section, not a time series; the head spans 50 country codes (India, Indonesia, Japan, Malaysia, US, Vietnam, Thailand, Italy lead). For ABNB an analyst would use it as a competitor-pricing and payment-terms backdrop: the share of Booking.com inventory offered with no prepayment (39% in the head; free_cancellation is 100% in the head, so the capture was probably filtered on that flag) and the discount depth (29% of rows discounted, median 22%) frame the RNPL / cancellation thesis, and nb_bedrooms > 0 (31% of rows) isolates alternative-accommodation units for a capacity/party-size comparison against Inside Airbnb.","Licence is 'other' = Bright Data Master Service Agreement, not an open licence; the CSV is world-readable without a token but redistribution rights are unclear, so only a 5 MB head was taken and the remaining ~58 MB was NOT fetched pending a human licence decision (tos_or_license_flag=true). Data provenance is a scraper vendor's marketing sample, one-off cross-section with a 100% free_cancellation share (likely a filtered search), so cancellation shares are not representative of all Booking.com inventory. Eight columns (country, hotel_rank, searched_country, map_coordinates, listing_country, total_listings_found, star_rating, tags) are entirely null in the head; listing country was recovered from the /hotel/<cc>/ path in url instead. One row priced in BRL, the rest USD. No scraper was run; no airbnb.com contact."
brightdata-booking-listings-sample-1001,https://github.com/luminati-io/Booking-dataset-sample,competitor_ota,stored_dataset,"Bright Data promotional sample: 'Booking-dataset-sample Listings.csv' (814 KB, 1,001 rows, 26 cols) of Booking.com property quotes for a fixed stay window (check_in 2025-01-01 / check_out 2025-01-10, USD final_price and original_price, free_cancellation and no_prepayment booleans, review_score/count, bed/bedroom/kitchen counts, city, geo/distance JSON); captured ~Dec 2024, mixed global cities (Vienna first rows); NO licence file, promotional teaser for a paid 30.4K-record product; last push 2024-12-16, 0 stars.",Gap #9 (competitor OTA supply/pricing) and gap #3 (cancellation-policy mix as an RNPL comparator): a quoted Booking.com price per property for a specified 9-night window plus free-cancellation / no-prepayment flags gives a non-Airbnb read on prepay-vs-pay-later penetration and on quoted nightly rates by city; also a schema template if we ever build a Booking quoted-price panel.,True,818675,brightdata_booking_1001.csv: 1000 data rows (+ header),check_in 2025-01-01 / check_out 2025-01-10 for every row (single fixed 9-night stay window); capture ~Dec 2024 (repo last push 2024-12-16),"Melbourne (AU), Vienna (AT), Orlando/Kissimmee (US-FL)","This IS the whole free dataset: one CSV, 814,588 bytes, 1,000 rows. The marketing README advertises a paid Bright Data product of ~30.4K Booking.com records; not obtainable without a Bright Data account/purchase.","Bright Data promotional sample of Booking.com property search results: one row per property quote for a single fixed search (1 adult, 1 room, check-in 2025-01-01, check-out 2025-01-10), with USD final/original price for the 9-night stay, review score/count, bed/bedroom/kitchen counts, free_cancellation and no_prepayment flags, and geo/distance JSON. Three metro areas only: Melbourne/Southbank/Docklands (~380 rows), Vienna/Wien (~262), Orlando/Kissimmee area (~340). Grain is property x one search snapshot, captured ~Dec 2024. For ABNB it is a one-off comparator for quoted Booking.com nightly rates (price/9) and for prepay-vs-free-cancellation mix (56% free cancellation, 15% no prepayment) in three cities, and a schema template for a Booking quoted-price panel; it has no time dimension so it cannot feed a forecast directly.","No LICENSE file in the repo (tos_or_license_flag=true): this is Bright Data promotional content scraped from Booking.com, and redistribution/usage rights are unstated; a human must decide before using it in any deliverable. Row count is 1,000 not 1,001 (job card counted the header). Single snapshot, single stay window, three cities, no timestamps beyond the stay dates; children and tax_description columns are entirely empty. The larger 30.4K product is paid and was not touched. Booking-datasets.png (627 KB marketing image) deliberately not pulled."
