folder,date,ticker,type,sha
20150225_LMAT,20150225,LMAT,tree,398dc07f24ca75ad35045c062dc5e5d56da85ced
20150226_ACIW,20150226,ACIW,tree,833f097e5587dabd16d94c19862f9c74e3ed6f79
20150226_ADSK,20150226,ADSK,tree,2368c16478e5abfdc8cce3945cf2bd5e15598349
20150226_AMWD,20150226,AMWD,tree,09475b0d2995eae73536ba74369f9246cc979926
20150226_ANSS,20150226,ANSS,tree,28e640ce291818f4f8078c69df0428ed94fe16bb
20150226_CRI,20150226,CRI,tree,a2586a74c632229ce829818fc673120fb0443ba1
20150226_ECPG,20150226,ECPG,tree,9be6548a8d12d908ad3743f6ca6288a1ab61fc6b
20150226_GPS,20150226,GPS,tree,24e9331053be076d584b58df2595c9ee49143ac8
20150226_IRDM,20150226,IRDM,tree,b38f65ef6a9b798e3becb2c94a4e6d559128416b
20150226_JCP,20150226,JCP,tree,25a182ba431aacf7196fb5e7f26d7bb14d915ca0
20150226_LYV,20150226,LYV,tree,470f71ed45c240b2ec3ef821d20bf10feb4e27a0
20150226_ORN,20150226,ORN,tree,e4ff5a390e32d61c71df2e7f40a6cef624c820f0
20150227_NWN,20150227,NWN,tree,ebbd2e70c7b9dcfd3ea01165479298907a64d56f
20150227_RDC,20150227,RDC,tree,cfb9064a7552ec3cfd270d2ea3595eb20e1fe3e3
20150227_SJI,20150227,SJI,tree,662273a3c80879901635a3df5a00253ad3502d3f
20150302_BID,20150302,BID,tree,30ea379b39ee035c90eb31b030047a5a51f983c6
20150302_MDR,20150302,MDR,tree,e9f9ff2c1a996742b88b3828fc020b8c03495abc
20150302_TG,20150302,TG,tree,d2886c1a46db9ae205ce8f91e8468ddc9e0f120d
20150303_AZO,20150303,AZO,tree,6d0969ac500da508ee7349a4c83174f9fc5657a2
20150303_NX,20150303,NX,tree,7d1a5cca6daff330eb77507b8949d5ec7ef705f4
20150304_AMED,20150304,AMED,tree,72a50bde87eb2be88527cb7ccea7eb3a31efe105
20150304_ANF,20150304,ANF,tree,66df4a6428bf4965a3fadd301a1af1995b9bbea9
20150305_ESL,20150305,ESL,tree,59cbc3b456b70bfa3aa1d4e527595119718c7813
20150306_FL,20150306,FL,tree,6d221c1d60ab2a69cc1a4037b1b56d1fd7947941
20150310_KOPN,20150310,KOPN,tree,55eee4dd7d710ae7d21f8b7eee30c30a672231da
20150311_RAVN,20150311,RAVN,tree,396249d3e8f31ec8e3b0c06237dec9553532f204
20150312_PLCE,20150312,PLCE,tree,dec1c6056af0320453961120bff6f22a3b85dbb8
20150312_ULTA,20150312,ULTA,tree,0b8f8ff0eaada548748f513a88522369a35a42ae
