period,line,value,letter,method,vintage_order
1Q18,fcf_capex,-31.964000000000002,424B4,rows,-1
1Q18,fcf_cfo,319.233,424B4,rows,-1
1Q18,fcf_fcf,287.269,424B4,rows,-1
1Q18,recon_adj_ebitda,-95.083,424B4,rows,-1
1Q18,recon_da,21.831,424B4,rows,-1
1Q18,recon_int_exp,5.083,424B4,rows,-1
1Q18,recon_int_inc,-10.013,424B4,rows,-1
1Q18,recon_lodging,6.131,424B4,rows,-1
1Q18,recon_net_income,-146.23,424B4,rows,-1
1Q18,recon_other,1.651,424B4,rows,-1
1Q18,recon_restr,0.0,424B4,rows,-1
1Q18,recon_sbc,12.428,424B4,rows,-1
1Q18,recon_tax,14.036,424B4,rows,-1
1Q19,fcf_capex,-36.938,424B4,rows,-1
1Q19,fcf_capex,-36.938,4Q20,block,84
1Q19,fcf_capex,-36.938,3Q21,rows,87
1Q19,fcf_capex,-36.938,4Q21,rows,88
1Q19,fcf_capex,-36.9,1Q22,rows,89
1Q19,fcf_capex,-37.0,4Q22,block,92
1Q19,fcf_capex,-37.0,1Q23,block,93
1Q19,fcf_capex,-37.0,2Q23,block,94
1Q19,fcf_capex,-37.0,3Q23,block,95
1Q19,fcf_capex,-37.0,4Q23,block,96
1Q19,fcf_cfo,314.024,424B4,rows,-1
1Q19,fcf_cfo,314.024,4Q20,block,84
1Q19,fcf_cfo,314.024,3Q21,rows,87
1Q19,fcf_cfo,314.024,4Q21,rows,88
1Q19,fcf_cfo,314.0,1Q22,rows,89
1Q19,fcf_cfo,314.0,4Q22,block,92
1Q19,fcf_cfo,314.0,1Q23,block,93
1Q19,fcf_cfo,314.0,2Q23,block,94
1Q19,fcf_cfo,314.0,3Q23,block,95
1Q19,fcf_cfo,314.0,4Q23,block,96
1Q19,fcf_fcf,277.086,424B4,rows,-1
1Q19,fcf_fcf,277.086,4Q20,block,84
1Q19,fcf_fcf,277.086,3Q21,rows,87
1Q19,fcf_fcf,277.086,4Q21,rows,88
1Q19,fcf_fcf,277.1,1Q22,rows,89
1Q19,fcf_fcf,277.0,4Q22,block,92
1Q19,fcf_fcf,277.0,1Q23,block,93
1Q19,fcf_fcf,277.0,2Q23,block,94
1Q19,fcf_fcf,277.0,3Q23,block,95
1Q19,fcf_fcf,277.0,4Q23,block,96
1Q19,recon_acq,0.0,4Q20,rows,84
1Q19,recon_acq,0.0,1Q21,rows,85
1Q19,recon_acq,0.0,3Q21,block,87
1Q19,recon_acq,0.0,4Q21,block,88
1Q19,recon_acq,0.0,1Q22,block,89
1Q19,recon_acq,0.0,4Q22,block,92
1Q19,recon_acq,0.0,1Q23,block,93
1Q19,recon_acq,0.0,2Q23,block,94
1Q19,recon_acq,0.0,3Q23,block,95
1Q19,recon_acq,0.0,4Q23,block,96
1Q19,recon_adj_ebitda,-247.865,424B4,rows,-1
1Q19,recon_adj_ebitda,-247.865,4Q20,rows,84
1Q19,recon_adj_ebitda,-247.865,1Q21,rows,85
1Q19,recon_adj_ebitda,-247.865,3Q21,block,87
1Q19,recon_adj_ebitda,-247.865,4Q21,block,88
1Q19,recon_adj_ebitda,-247.9,1Q22,block,89
1Q19,recon_adj_ebitda,-248.0,4Q22,block,92
1Q19,recon_adj_ebitda,-248.0,1Q23,block,93
1Q19,recon_adj_ebitda,-248.0,2Q23,block,94
1Q19,recon_adj_ebitda,-248.0,3Q23,block,95
1Q19,recon_adj_ebitda,-248.0,4Q23,block,96
1Q19,recon_da,21.026,424B4,rows,-1
1Q19,recon_da,21.026,4Q20,rows,84
1Q19,recon_da,21.026,1Q21,rows,85
1Q19,recon_da,21.026,3Q21,block,87
1Q19,recon_da,21.026,4Q21,block,88
1Q19,recon_da,21.0,1Q22,block,89
1Q19,recon_da,21.0,4Q22,block,92
1Q19,recon_da,21.0,1Q23,block,93
1Q19,recon_da,21.0,2Q23,block,94
1Q19,recon_da,21.0,3Q23,block,95
1Q19,recon_da,21.0,4Q23,block,96
1Q19,recon_int_exp,1.818,424B4,rows,-1
1Q19,recon_int_exp,1.818,4Q20,rows,84
1Q19,recon_int_exp,1.818,1Q21,rows,85
1Q19,recon_int_exp,1.818,3Q21,block,87
1Q19,recon_int_exp,1.818,4Q21,block,88
1Q19,recon_int_exp,1.8,1Q22,block,89
1Q19,recon_int_exp,2.0,4Q22,block,92
1Q19,recon_int_exp,2.0,1Q23,block,93
1Q19,recon_int_exp,2.0,2Q23,block,94
1Q19,recon_int_exp,2.0,3Q23,block,95
1Q19,recon_int_exp,2.0,4Q23,block,96
1Q19,recon_int_inc,-22.304000000000002,424B4,rows,-1
1Q19,recon_int_inc,-22.304000000000002,4Q20,rows,84
1Q19,recon_int_inc,-22.304000000000002,1Q21,rows,85
1Q19,recon_int_inc,-22.304000000000002,3Q21,block,87
1Q19,recon_int_inc,-22.304000000000002,4Q21,block,88
1Q19,recon_int_inc,-22.3,1Q22,block,89
1Q19,recon_int_inc,-22.0,4Q22,block,92
1Q19,recon_int_inc,-22.0,1Q23,block,93
1Q19,recon_int_inc,-22.0,2Q23,block,94
1Q19,recon_int_inc,-22.0,3Q23,block,95
1Q19,recon_int_inc,-22.0,4Q23,block,96
1Q19,recon_ipo,0.0,4Q20,rows,84
1Q19,recon_ipo,0.0,1Q21,rows,85
1Q19,recon_ipo,0.0,3Q21,block,87
1Q19,recon_ipo,0.0,4Q21,block,88
1Q19,recon_ipo,0.0,1Q22,block,89
