episode,description,quarter,role,revenue_musd,revenue_yoy_pct,nights_yoy_pct,gbv_yoy_pct,adr_yoy_pct,adj_ebitda_margin_pct,adj_ebitda_margin_yoy_pp,cor_cash_yoy_pct,cor_gaap_yoy_pct,cor_cash_pct_rev,ops_cash_yoy_pct,ops_gaap_yoy_pct,ops_cash_pct_rev,pd_cash_yoy_pct,pd_gaap_yoy_pct,pd_cash_pct_rev,sm_cash_yoy_pct,sm_gaap_yoy_pct,sm_cash_pct_rev,ga_cash_yoy_pct,ga_gaap_yoy_pct,ga_cash_pct_rev,sbc_yoy_pct,restr_gaap_musd,mgmt_statement_ids,mgmt_said
E0_2019_investment_year,"2019 pre-IPO investment year: S&M and product headcount ramp, margin 5% -> -5%",4Q18,pre_shock_reference,840.587,,,,,-17.1,,,,25.65,,,18.64,,,18.06,,,35.18,,,21.94,,0.0,,
E0_2019_investment_year,"2019 pre-IPO investment year: S&M and product headcount ramp, margin 5% -> -5%",1Q19,episode,839.004,30.52,,,,-29.55,-14.76,38.32,38.32,33.44,31.58,30.49,19.87,57.92,50.62,21.26,57.96,58.01,43.12,52.07,57.33,17.1,13.16,0.0,,
E0_2019_investment_year,"2019 pre-IPO investment year: S&M and product headcount ramp, margin 5% -> -5%",2Q19,episode,1213.678,34.34,,,,-3.46,-8.93,43.62,43.62,25.83,36.78,36.84,17.34,53.12,50.47,18.48,46.51,47.14,31.48,66.63,66.43,13.64,35.09,0.0,,
E0_2019_investment_year,"2019 pre-IPO investment year: S&M and product headcount ramp, margin 5% -> -5%",3Q19,episode,1645.761,30.09,,,,19.02,-9.44,35.81,35.81,18.76,31.37,31.42,13.57,83.57,94.66,14.95,39.67,40.26,25.74,78.84,78.27,10.41,199.99,0.0,,
E0_2019_investment_year,"2019 pre-IPO investment year: S&M and product headcount ramp, margin 5% -> -5%",4Q19,episode,1106.796,31.67,,,,-24.94,-7.84,36.15,36.15,26.53,36.44,36.06,19.31,78.71,76.89,24.51,45.45,46.1,38.87,8.81,10.76,18.13,71.63,0.0,,
E1_2020_covid,"COVID demand shock: nights -67% in 2Q20, restructuring (May 2020 RIF, 25% of staff), marketing cut to near zero",4Q19,pre_shock_reference,1106.796,31.67,,,,-24.94,-7.84,36.15,36.15,26.53,36.44,36.06,19.31,78.71,76.89,24.51,45.45,46.1,38.87,8.81,10.76,18.13,71.63,0.0,,
E1_2020_covid,"COVID demand shock: nights -67% in 2Q20, restructuring (May 2020 RIF, 25% of staff), marketing cut to near zero",1Q20,episode,841.83,0.34,-29.77,-32.0,-3.2,-39.71,-10.16,-1.0,-1.0,33.0,32.46,33.0,26.23,32.51,39.83,28.08,-13.99,-13.47,36.96,-44.55,-37.15,9.45,196.0,0.0,,
E1_2020_covid,"COVID demand shock: nights -67% in 2Q20, restructuring (May 2020 RIF, 25% of staff), marketing cut to near zero",2Q20,episode,334.774,-72.42,-66.63,-67.35,-2.53,-118.68,-115.22,-48.57,-48.57,48.15,-24.15,-23.79,47.68,-12.08,-6.19,58.91,-71.09,-70.42,32.99,-18.01,-11.78,40.53,109.37,114.241,,
E1_2020_covid,"COVID demand shock: nights -67% in 2Q20, restructuring (May 2020 RIF, 25% of staff), marketing cut to near zero",3Q20,episode,1342.331,-18.44,-28.06,-17.22,15.6,37.35,18.33,-26.35,-26.35,16.94,-26.1,-25.67,12.3,-21.58,-22.6,14.38,-73.57,-73.59,8.34,1.64,2.86,12.97,-26.96,22.728,,
E1_2020_covid,"COVID demand shock: nights -67% in 2Q20, restructuring (May 2020 RIF, 25% of staff), marketing cut to near zero",4Q20,episode,859.264,-22.36,-38.92,-30.47,13.25,-2.39,22.55,-28.56,-28.56,24.41,-11.86,53.78,21.93,-8.76,628.95,28.8,-51.99,44.12,24.03,0.33,244.95,23.44,11364.01,14.386,S001|S002|S003|S004|S005|S007|S010|S011,"total_margin: What we would expect to achieve over time is 30% EBITDA margins or greater. || brand_marketing: Our sales and marketing expenses as a percentage of revenue in 2021 will be below that of 2019. The absolute dollars in 2021 will be below that of 2019. || brand_marketing: We don't intend to ever again spend the amount of money as a percentage of revenue on marketing in the future as we did in 2019. || product_dev: We've made substantial reductions in our fixed costs. We will not be having to add back fixed costs to support a business that will, again, approach 2019 levels || cost_of_revenue: It's that discipline of variable expenses, things like cost of payments, community support expenses, infrastructure expenses, all the way down, that we're proud || ops_support: We are very focused on reducing the need for people to call us or message us because they have a problem. If they do have to call us or message us, we are going || ops_support: We plan to invest in our community support and trust platforms in the first half of 2021, ensuring that we are ready for the rebound in travel when it comes. || brand_marketing: We're starting this year with investing more in brand marketing. We're going to be doing digital advertising all over the world, and I expect in the coming year"
