period,line,value,source,source_detail,vintage
1Q18,revenue,642.84,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,cor_gaap,202.845,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,ops_gaap,127.789,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,pd_gaap,122.893,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,sm_gaap,231.977,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,ga_gaap,92.809,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,restr_gaap,0.0,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,total_costs,778.313,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,op_income,-135.473,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,interest_income,10.013,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,interest_expense,5.083,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,pretax_income,-132.194,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,tax_provision,14.036,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,net_income,-146.23,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly consolidated statements of operations (in thousands),
1Q18,other_income_expense,-1.651,424B4,424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) quarterly table,
1Q18,adj_ebitda_reported,-95.083,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,da,21.831,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,sbc_recon,12.428,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,ipo_settlement,0.0,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,acq_impacts,0.0,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,lodging_tax_reserves,6.131,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,restr_recon,0.0,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
1Q18,net_income_letter,-146.23,letter,"424B4 prospectus 11 Dec 2020 (accession 0001193125-20-315318) Adjusted EBITDA reconciliation (1 vintages, latest 424B4, first 424B4)",
