year,quarter,qn,line,value_musd,fy_total,q_share_of_fy_pct,q_share_of_fy_revenue_pct,pct_of_revenue,per_night_usd,q_share_of_fy_nights_pct,margin_actual_pct,margin_if_costs_flat_pct,margin_discretionary_timing_pp,share_mean_2023_25,share_min_2023_25,share_max_2023_25,pct_rev_mean_2023_25,pct_rev_min_2023_25,pct_rev_max_2023_25,per_night_mean_2023_25
2018,1Q18,1,revenue,642.84,3651.985,17.6,17.6,100.0,,,,,,18.73,18.33,19.29,100.0,100.0,100.0,15.68
2018,2Q18,2,revenue,903.431,3651.985,24.74,24.74,100.0,,,,,,25.03,24.75,25.29,100.0,100.0,100.0,22.19
2018,3Q18,3,revenue,1265.127,3651.985,34.64,34.64,100.0,,,,,,33.77,33.45,34.25,100.0,100.0,100.0,30.35
2018,4Q18,4,revenue,840.587,3651.985,23.02,23.02,100.0,,,,,,22.47,22.34,22.69,100.0,100.0,100.0,22.53
2018,1Q18,1,adj_ebitda,-95.083,170.625,-55.73,17.6,-14.79,,,-14.79,-34.85,20.06,9.12,7.17,10.49,17.52,14.41,19.79,2.76
2018,2Q18,2,adj_ebitda,49.457,170.625,28.99,24.74,5.47,,,5.47,3.69,1.78,22.94,22.12,24.27,33.06,32.53,33.69,7.34
2018,3Q18,3,adj_ebitda,360.005,170.625,210.99,34.64,28.46,,,28.46,31.27,-2.81,48.8,47.73,50.21,52.18,50.09,53.99,15.83
2018,4Q18,4,adj_ebitda,-143.754,170.625,-84.25,23.02,-17.1,,,-17.1,-4.08,-13.02,19.14,18.29,20.2,30.8,28.29,33.27,6.94
2018,1Q18,1,cor_gaap,202.845,864.032,23.48,17.6,31.55,,,,,,24.98,24.26,25.56,22.74,22.27,23.54,3.56
2018,2Q18,2,cor_gaap,218.252,864.032,25.26,24.74,24.16,,,,,,26.13,25.37,26.94,17.79,17.39,18.41,3.95
2018,3Q18,3,cor_gaap,227.283,864.032,26.3,34.64,17.97,,,,,,26.01,24.76,26.95,13.13,12.46,13.51,3.98
2018,4Q18,4,cor_gaap,215.652,864.032,24.96,23.02,25.65,,,,,,22.88,22.55,23.35,17.35,17.22,17.53,3.91
2018,1Q18,1,ops_gaap,127.789,609.202,20.98,17.6,19.88,,,,,,22.95,22.23,23.78,14.05,13.31,15.51,2.2
2018,2Q18,2,ops_gaap,153.877,609.202,25.26,24.74,17.03,,,,,,26.04,25.02,26.73,11.93,10.72,12.76,2.64
2018,3Q18,3,ops_gaap,170.037,609.202,27.91,34.64,13.44,,,,,,27.64,26.64,28.78,9.37,8.91,9.89,2.84
2018,4Q18,4,ops_gaap,157.499,609.202,25.85,23.02,18.74,,,,,,23.37,22.62,24.64,11.89,11.69,12.22,2.68
2018,1Q18,1,pd_gaap,122.893,579.193,21.22,17.6,19.12,,,,,,23.87,23.1,24.39,23.43,22.18,25.0,3.67
2018,2Q18,2,pd_gaap,154.397,579.193,26.66,24.74,17.09,,,,,,25.78,25.24,26.19,18.92,18.16,19.7,4.2
2018,3Q18,3,pd_gaap,141.978,579.193,24.51,34.64,11.22,,,,,,24.92,24.33,25.49,13.57,12.33,14.33,4.12
2018,4Q18,4,pd_gaap,159.925,579.193,27.61,23.02,19.03,,,,,,25.43,25.02,26.17,20.79,19.48,21.69,4.68
2018,1Q18,1,sm_gaap,231.977,1101.327,21.06,17.6,36.09,,,,,,23.73,21.75,25.52,24.51,24.0,24.78,3.84
2018,2Q18,2,sm_gaap,263.86,1101.327,23.96,24.74,29.21,,,,,,26.98,26.68,27.57,20.91,19.57,22.32,4.65
2018,3Q18,3,sm_gaap,306.374,1101.327,27.82,34.64,24.22,,,,,,23.83,22.86,24.69,13.74,11.86,15.6,4.18
2018,4Q18,4,sm_gaap,299.116,1101.327,27.16,23.02,35.58,,,,,,25.46,24.05,26.85,22.07,19.12,25.02,4.97
2018,1Q18,1,ga_gaap,92.809,479.487,19.36,17.6,14.44,,,,,,19.38,12.0,24.22,13.24,12.94,13.4,2.08
2018,2Q18,2,ga_gaap,101.68,479.487,21.21,24.74,11.25,,,,,,21.01,13.58,26.58,10.82,9.92,11.46,2.4
2018,3Q18,3,ga_gaap,98.177,479.487,20.48,34.64,7.76,,,,,,22.62,15.01,28.27,8.66,8.06,8.98,2.63
2018,4Q18,4,ga_gaap,186.821,479.487,38.96,23.02,22.23,,,,,,36.99,20.93,59.41,26.34,10.0,54.24,5.93
2018,1Q18,1,cor_cash,202.845,864.032,23.48,17.6,31.55,,,,,,24.98,24.26,25.56,22.74,22.27,23.54,3.56
2018,2Q18,2,cor_cash,218.252,864.032,25.26,24.74,24.16,,,,,,26.13,25.37,26.94,17.79,17.39,18.41,3.95
2018,3Q18,3,cor_cash,227.283,864.032,26.3,34.64,17.97,,,,,,26.01,24.76,26.95,13.13,12.46,13.51,3.98
2018,4Q18,4,cor_cash,215.652,864.032,24.96,23.02,25.65,,,,,,22.88,22.55,23.35,17.35,17.22,17.53,3.91
2018,1Q18,1,ops_cash,126.705,607.234,20.87,17.6,19.71,,,,,,15.56,0.0,23.88,9.03,0.0,14.69,1.39
2018,2Q18,2,ops_cash,153.852,607.234,25.34,24.74,17.03,,,,,,28.51,24.98,33.91,11.14,9.98,12.0,2.47
2018,3Q18,3,ops_cash,170.008,607.234,28.0,34.64,13.44,,,,,,30.65,26.74,37.47,8.83,8.38,9.3,2.68
2018,4Q18,4,ops_cash,156.669,607.234,25.8,23.02,18.64,,,,,,25.28,22.72,28.62,11.02,10.69,11.45,2.48
2018,1Q18,1,pd_cash,112.959,545.298,20.72,17.6,17.57,,,,,,17.21,0.0,26.36,9.93,0.0,14.91,1.53
2018,2Q18,2,pd_cash,146.503,545.298,26.87,24.74,16.22,,,,,,27.29,24.76,31.82,10.45,10.19,10.69,2.32
2018,3Q18,3,pd_cash,134.051,545.298,24.58,34.64,10.6,,,,,,27.35,23.74,33.41,7.73,7.18,8.13,2.35
2018,4Q18,4,pd_cash,151.785,545.298,27.84,23.02,18.06,,,,,,28.15,24.61,34.77,11.94,11.41,12.34,2.69
2018,1Q18,1,sm_cash,229.019,1088.862,21.03,17.6,35.63,,,,,,15.89,0.0,25.84,15.35,0.0,23.21,2.37
2018,2Q18,2,sm_cash,260.775,1088.862,23.95,24.74,28.86,,,,,,29.87,26.89,35.16,19.31,18.12,20.64,4.29
