window,target,controls,n,raw,partial,control_rank
W1,excess_open_20d_pct,GBV,6,-0.06912917909182484,-0.4634046026457538,2
W1,gap,GBV,6,0.6262360279088169,0.0005845947578865103,2
W1,excess_open_20d_pct,guide_gap,11,0.01563853647400458,-0.3921077578871276,2
W1,excess_open_20d_pct,GBV_and_gap,6,-0.06912917909182484,-0.5381184902358227,3
W1,excess_open_20d_pct,season,11,0.01563853647400458,-0.10479618365403061,4
W1,gap,season,11,0.6768029771081338,0.7184086902646099,4
W2,excess_open_20d_pct,GBV,6,-0.06912917909182484,-0.4634046026457538,2
W2,gap,GBV,6,0.6262360279088169,0.0005845947578865103,2
W2,excess_open_20d_pct,guide_gap,9,-0.051548147925865644,-0.44100663191432427,2
W2,excess_open_20d_pct,GBV_and_gap,6,-0.06912917909182484,-0.5381184902358227,3
W2,excess_open_20d_pct,season,9,-0.051548147925865644,-0.1455782073422452,4
W2,gap,season,9,0.6547471196020568,0.7434852975451394,4
