quarter,target,fx_estimator,fx_est_pp,naive_exfx_pp,actual,naive,prior_year,ar1,v2_measured_last_q,v2_measured_persistence,v2_measured_trailing_4q,v2_measured_trailing_8q,v2_measured_ar1_residual,v2_measured_blend,v2_trailing4q_last_q,v2_trailing4q_persistence,v2_trailing4q_trailing_4q,v2_trailing4q_trailing_8q,v2_trailing4q_ar1_residual,v2_trailing4q_blend,h_route_a
1Q24,t1_exfx_integer_fair,none,,0.5,2.0,0.5,3.0,0.0,1.0,1.0,2.0,2.0,,1.0,0.0,0.0,2.0,2.0,,1.0,
2Q24,t1_exfx_integer_fair,none,,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,,1.0,1.0
3Q24,t1_exfx_integer_fair,none,,3.0,2.0,3.0,0.5,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
4Q24,t1_exfx_integer_fair,none,,2.0,2.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1Q25,t1_exfx_integer_fair,none,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2Q25,t1_exfx_integer_fair,none,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3Q25,t1_exfx_integer_fair,none,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
4Q25,t1_exfx_integer_fair,none,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
1Q26,t1_exfx_integer_fair,none,,3.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
2Q26,t1_exfx_integer_fair,none,,4.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
1Q24,t2_reported_usd_yoy,eur,-0.042,0.5,2.642047141245607,0.458,0.2141964657583317,2.7039855689709773,0.5932924145842234,0.6789079178756778,1.7062687301128523,1.7062687301128523,,1.1925883239942652,0.34502368447137116,0.43063918776282556,1.458,1.458,,0.9443195938814128,
2Q24,t2_reported_usd_yoy,eur,-1.076,2.0,2.120354195530405,0.9239999999999999,1.3863442042262086,2.7074837429817324,1.0025044076231429,0.2915982069653136,0.38847213568806027,0.7554355389935188,,0.5235168729794162,0.8023084759100534,0.09140227525222389,0.18827620397497058,0.5552396072804291,,0.3233209412663265,0.18827620397497058
3Q24,t2_reported_usd_yoy,eur,-0.143,3.0,1.40042136572065,2.857,3.1577601636410213,2.4080490365124456,3.0652918270183953,2.5759916228800255,1.663243071798738,2.0439007629297588,2.149061604272275,2.309946192904892,2.7876011631695987,2.298300959031229,1.3855524079499413,1.766210099080962,1.8713709404234782,2.0322555290560955,1.385552407949941
4Q24,t2_reported_usd_yoy,eur,-0.96,2.0,0.8932559178204569,1.04,2.565277141548328,2.061066374731592,0.42004831974471646,0.9956418253039727,0.4386852736163167,0.5313019886274675,0.2848495779547293,0.7634719069657203,0.939191658053312,1.5147851636125682,0.9578286119249122,1.050445326936063,0.8039929162633248,1.2826152452743158,0.957828611924912
1Q25,t2_reported_usd_yoy,eur,-1.915,2.0,-0.8907913003239232,0.08499999999999996,2.642047141245607,1.6632234885320747,-0.20785475339167658,-0.5463830014692597,-0.38470372201797987,-0.7029322272550396,-0.7415594280468236,-0.6246576143621498,0.5118489686263028,0.17332072054871972,0.3349999999999995,0.016771494762940042,-0.021855706028844013,0.09504610765582955,0.3350000000000004
2Q25,t2_reported_usd_yoy,eur,1.844,1.0,2.9198371969562764,2.8440000000000003,2.120354195530405,-0.1768721791886224,3.3480246927504576,3.612460421285993,3.693946790255807,3.22617038741443,3.21812858311102,3.419315404350212,3.5426463498789635,3.8070820784144996,3.888568447384313,3.4207920445429365,3.412750240239526,3.613937061478718,3.888568447384313
3Q25,t2_reported_usd_yoy,eur,2.301,1.0,4.674896113419713,3.301,1.40042136572065,1.9813176454513266,3.5626053406535707,3.725480792260174,3.90209012256022,3.6956997916208794,3.6588521201983,3.7105902919405267,3.5506521128619766,3.71352756446858,3.890136894768626,3.6837465638292852,3.646898892406706,3.6986370641489326,3.8901368947686255
4Q25,t2_reported_usd_yoy,eur,3.549,2.0,5.931828242585202,5.5489999999999995,0.8932559178204569,3.1652879033478962,5.850751797614764,5.392417573172924,5.458343776826375,5.294314971779086,5.307169319162382,5.343366272476004,5.5751133629413285,5.116779138499488,5.182705342152939,5.018676537105649,5.031530884488946,5.067727837802568,5.182705342152938
1Q26,t2_reported_usd_yoy,eur,4.446,3.0,9.0346679117544,7.446,-0.8907913003239232,5.166274534669446,8.061937140810134,7.62367614484889,7.027649148229729,6.9870846199458345,7.105390925519958,7.305380382397362,7.2302879925804024,6.79202699661916,6.196,6.155435471716105,6.273741777290228,6.473731234167632,6.196
2Q26,t2_reported_usd_yoy,eur,0.586,4.0,5.30146721687299,4.586,2.9198371969562764,10.120127522713869,4.4149754835678205,4.074087599287156,3.236215548964661,2.9239489119417708,3.614018952046562,3.4990182556144633,4.339188161946025,3.9983002776653604,3.160428227342865,2.848161590319975,3.5382316304247663,3.4232309339926674,3.1604282273428654
1Q24,t2_reported_usd_yoy,baskets,0.826,0.5,2.642047141245607,1.326,0.2141964657583317,2.7039855689709773,1.4612924145842234,1.5469079178756777,2.5742687301128524,2.5742687301128524,,2.0605883239942653,1.213023684471371,1.2986391877628254,2.326,2.326,,1.812319593881413,
2Q24,t2_reported_usd_yoy,baskets,-0.661,2.0,2.120354195530405,1.339,1.3863442042262086,2.7074837429817324,1.417504407623143,0.7065982069653136,0.8034721356880603,1.1704355389935188,,0.9385168729794162,1.2173084759100534,0.5064022752522239,0.6032762039749706,0.9702396072804291,,0.7383209412663265,0.6032762039749706
3Q24,t2_reported_usd_yoy,baskets,-0.213,3.0,1.40042136572065,2.787,3.1577601636410213,2.4080490365124456,2.995291827018395,2.505991622880025,1.593243071798738,1.9739007629297585,2.0790616042722747,2.239946192904892,2.7176011631695984,2.2283009590312286,1.3155524079499412,1.6962100990809619,1.8013709404234781,1.9622555290560952,1.315552407949941
4Q24,t2_reported_usd_yoy,baskets,-1.005,2.0,0.8932559178204569,0.9950000000000001,2.565277141548328,2.061066374731592,0.37504831974471653,0.9506418253039728,0.3936852736163168,0.48630198862746754,0.2398495779547294,0.7184719069657204,0.894191658053312,1.4697851636125683,0.9128286119249123,1.005445326936063,0.7589929162633249,1.2376152452743159,0.912828611924912
1Q25,t2_reported_usd_yoy,baskets,-2.439,2.0,-0.8907913003239232,-0.43900000000000006,2.642047141245607,1.6632234885320747,-0.7318547533916766,-1.0703830014692597,-0.9087037220179799,-1.2269322272550396,-1.2655594280468236,-1.1486576143621499,-0.012151031373697219,-0.3506792794512803,-0.1890000000000005,-0.50722850523706,-0.545855706028844,-0.4289538923441705,-0.1889999999999996
2Q25,t2_reported_usd_yoy,baskets,1.311,1.0,2.9198371969562764,2.311,2.120354195530405,-0.1768721791886224,2.815024692750457,3.0794604212859933,3.1609467902558066,2.69317038741443,2.6851285831110197,2.8863154043502117,3.009646349878963,3.2740820784144997,3.3555684473843126,2.8877920445429366,2.8797502402395256,3.0809370614787177,3.355568447384313
3Q25,t2_reported_usd_yoy,baskets,2.026,1.0,4.674896113419713,3.026,1.40042136572065,1.9813176454513266,3.2876053406535704,3.4504807922601737,3.6270901225602197,3.420699791620879,3.3838521201983,3.4355902919405263,3.275652112861976,3.4385275644685795,3.6151368947686255,3.408746563829285,3.3718988924067057,3.423637064148932,3.615136894768625
