quarter,err_from_residual_rule_pp,err_from_new_business_and_interaction_pp,model_exfx_unrounded_pp,actual_exfx_disclosed_pp,target,fx_estimator,model_scored_pp,actual_pp,err_total_pp,err_naive_pp,err_from_rounding_pp,err_from_fx_estimator_pp,err_from_disclosed_identity_gap_pp,check_sum_pp
1Q24,-1.421812401315659,0.057104815899882595,0.6352924145842235,2.0,t1_exfx_integer_fair,none,1.0,2.0,-1.0,-1.5,0.3647075854157765,,,1.1102230246251565e-16
1Q24,-1.421812401315659,0.057104815899882595,0.6352924145842235,2.0,t2_reported_usd_yoy,eur,0.5932924145842234,2.642047141245607,-2.0487547266613837,-2.184047141245607,0.0,-0.642,-0.0420471412456069,4.440892098500626e-16
1Q24,-1.421812401315659,0.057104815899882595,0.6352924145842235,2.0,t2_reported_usd_yoy,baskets,1.4612924145842234,2.642047141245607,-1.1807547266613836,-1.316047141245607,0.0,0.22599999999999998,-0.0420471412456069,2.220446049250313e-16
1Q24,-1.421812401315659,0.057104815899882595,0.6352924145842235,2.0,t2_reported_usd_yoy,midpoint,1.0272924145842235,2.642047141245607,-1.6147547266613835,-1.7500471412456071,0.0,-0.20800000000000002,-0.0420471412456069,2.220446049250313e-16
2Q24,-0.9786004082767397,0.057104815899882595,2.078504407623143,3.0,t1_exfx_integer_fair,none,2.0,3.0,-1.0,-1.0,-0.07850440762314292,,,0.0
2Q24,-0.9786004082767397,0.057104815899882595,2.078504407623143,3.0,t2_reported_usd_yoy,eur,1.0025044076231429,2.120354195530405,-1.1178497879072622,-1.1963541955304051,0.0,-0.17600000000000005,-0.0203541955304049,0.0
2Q24,-0.9786004082767397,0.057104815899882595,2.078504407623143,3.0,t2_reported_usd_yoy,baskets,1.417504407623143,2.120354195530405,-0.7028497879072622,-0.7813541955304051,0.0,0.239,-0.0203541955304049,2.220446049250313e-16
2Q24,-0.9786004082767397,0.057104815899882595,2.078504407623143,3.0,t2_reported_usd_yoy,midpoint,1.2100044076231429,2.120354195530405,-0.9103497879072622,-0.9888541955304051,0.0,0.03149999999999997,-0.0203541955304049,2.220446049250313e-16
3Q24,1.151187011118513,0.057104815899882595,3.208291827018395,2.0,t1_exfx_integer_fair,none,3.0,2.0,1.0,1.0,-0.2082918270183951,,,4.440892098500626e-16
3Q24,1.151187011118513,0.057104815899882595,3.208291827018395,2.0,t2_reported_usd_yoy,eur,3.0652918270183953,1.40042136572065,1.6648704612977454,1.4565786342793503,0.0,0.45699999999999996,-0.0004213657206499,0.0
3Q24,1.151187011118513,0.057104815899882595,3.208291827018395,2.0,t2_reported_usd_yoy,baskets,2.995291827018395,1.40042136572065,1.5948704612977451,1.38657863427935,0.0,0.387,-0.0004213657206499,4.440892098500626e-16
3Q24,1.151187011118513,0.057104815899882595,3.208291827018395,2.0,t2_reported_usd_yoy,midpoint,3.030291827018395,1.40042136572065,1.6298704612977453,1.4215786342793502,0.0,0.422,-0.0004213657206499,2.220446049250313e-16
4Q24,-0.6770564961551662,0.057104815899882595,1.3800483197447164,2.0,t1_exfx_integer_fair,none,1.0,2.0,-1.0,0.0,-0.3800483197447164,,,0.0
4Q24,-0.6770564961551662,0.057104815899882595,1.3800483197447164,2.0,t2_reported_usd_yoy,eur,0.42004831974471646,0.8932559178204569,-0.4732075980757404,0.14674408217954316,0.0,0.14000000000000012,0.006744082179543,-5.551115123125783e-17
4Q24,-0.6770564961551662,0.057104815899882595,1.3800483197447164,2.0,t2_reported_usd_yoy,baskets,0.37504831974471653,0.8932559178204569,-0.5182075980757403,0.10174408217954323,0.0,0.0950000000000002,0.006744082179543,0.0
4Q24,-0.6770564961551662,0.057104815899882595,1.3800483197447164,2.0,t2_reported_usd_yoy,midpoint,0.3975483197447165,0.8932559178204569,-0.4957075980757404,0.12424408217954319,0.0,0.11750000000000016,0.006744082179543,-5.551115123125783e-17
1Q25,0.5288714570710722,0.17827378953725154,1.7071452466083235,1.0,t1_exfx_integer_fair,none,2.0,1.0,1.0,1.0,0.29285475339167655,,,2.220446049250313e-16
1Q25,0.5288714570710722,0.17827378953725154,1.7071452466083235,1.0,t2_reported_usd_yoy,eur,-0.20785475339167658,-0.8907913003239232,0.6829365469322466,0.9757913003239231,0.0,-0.015000000000000124,-0.0092086996760767,2.220446049250313e-16
1Q25,0.5288714570710722,0.17827378953725154,1.7071452466083235,1.0,t2_reported_usd_yoy,baskets,-0.7318547533916766,-0.8907913003239232,0.15893654693224657,0.4517913003239231,0.0,-0.5390000000000001,-0.0092086996760767,2.498001805406602e-16
1Q25,0.5288714570710722,0.17827378953725154,1.7071452466083235,1.0,t2_reported_usd_yoy,midpoint,-0.4698547533916766,-0.8907913003239232,0.4209365469322466,0.7137913003239231,0.0,-0.27700000000000014,-0.0092086996760767,2.7755575615628914e-16
2Q25,0.325750903213206,0.17827378953725154,1.5040246927504572,1.0,t1_exfx_integer_fair,none,2.0,1.0,1.0,0.0,0.49597530724954275,,,2.220446049250313e-16
