model,window,scoring,fx_estimator,ratio_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,strict_criterion_met
v2_measured_last_q,1Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,0.8889569186391615,0.8353852868798487,0.9374957137602412,10,True
v2_measured_last_q,1Q24-2Q26,t1_exfx_integer_fair,none,0.9847319278346619,0.9211323729436766,1.0801234497346435,8,False
v2_measured_last_q,1Q24-2Q26,t2_reported_usd_yoy,eur,0.9163461600083855,0.8711227851703462,0.9688631182720406,10,True
v2_measured_last_q,1Q24-2Q26,t2_reported_usd_yoy,baskets,0.8764049039121374,0.7856711026392679,0.9180234624270853,10,True
v2_measured_last_q,1Q24-2Q26,t2_reported_usd_yoy,midpoint,0.8934579048734853,0.8249446414398767,0.9445747684183187,10,True
v2_measured_last_q,2Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,0.881011684814605,0.7996399681656441,0.949693134951508,9,True
v2_measured_last_q,2Q24-2Q26,t1_exfx_integer_fair,none,1.0801234497346435,1.0,1.1832159566199232,0,False
v2_measured_last_q,2Q24-2Q26,t2_reported_usd_yoy,eur,0.9053688451398634,0.8256152996553161,0.9890838423327626,9,True
v2_measured_last_q,2Q24-2Q26,t2_reported_usd_yoy,baskets,0.8713747315707672,0.7459454629941498,0.9236529428212884,9,True
v2_measured_last_q,2Q24-2Q26,t2_reported_usd_yoy,midpoint,0.8817436473748929,0.768315026214756,0.9552389440855495,9,True
v2_measured_persistence,1Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,0.9941230201207628,0.8700835603116134,1.051595588076546,5,False
v2_measured_persistence,1Q24-2Q26,t1_exfx_integer_fair,none,1.1547005383792517,0.982607368881035,1.2909944487358056,1,False
v2_measured_persistence,1Q24-2Q26,t2_reported_usd_yoy,eur,0.9826802146440734,0.9022370374243972,1.021768699869946,5,False
v2_measured_persistence,1Q24-2Q26,t2_reported_usd_yoy,baskets,0.8917235935732907,0.7840512066103551,0.949070677077309,10,True
v2_measured_persistence,1Q24-2Q26,t2_reported_usd_yoy,midpoint,0.9448012330211409,0.8458091506971971,0.9961966716586511,10,True
v2_measured_persistence,2Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.0422122483210563,0.8777815912172834,1.129722065969925,2,False
v2_measured_persistence,2Q24-2Q26,t1_exfx_integer_fair,none,1.2909944487358056,1.0954451150103321,1.414213562373095,0,False
v2_measured_persistence,2Q24-2Q26,t2_reported_usd_yoy,eur,1.021768699869946,0.9042062140013063,1.0874808219463599,3,False
v2_measured_persistence,2Q24-2Q26,t2_reported_usd_yoy,baskets,0.9053487073653869,0.7710428395188791,0.9899896507100449,9,True
v2_measured_persistence,2Q24-2Q26,t2_reported_usd_yoy,midpoint,0.9712070497496968,0.8329883558425417,1.0578648435076163,6,False
v2_measured_trailing_4q,1Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.044828916304662,0.9331821425119156,1.2208527039613604,3,False
v2_measured_trailing_4q,1Q24-2Q26,t1_exfx_integer_fair,none,1.1009637651263606,0.909717652294684,1.2909944487358056,1,False
v2_measured_trailing_4q,1Q24-2Q26,t2_reported_usd_yoy,eur,0.9912180515008324,0.843249368391106,1.1744769866166413,6,False
v2_measured_trailing_4q,1Q24-2Q26,t2_reported_usd_yoy,baskets,0.8479073538548558,0.7501192535674779,0.9534537625802486,10,True
v2_measured_trailing_4q,1Q24-2Q26,t2_reported_usd_yoy,midpoint,0.9339529162915856,0.8150117299174773,1.0870645076639935,7,False
v2_measured_trailing_4q,2Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.2208527039613604,1.0894165016467776,1.334567060989638,0,False
v2_measured_trailing_4q,2Q24-2Q26,t1_exfx_integer_fair,none,1.2909944487358056,1.0954451150103321,1.414213562373095,0,False
v2_measured_trailing_4q,2Q24-2Q26,t2_reported_usd_yoy,eur,1.1744769866166413,0.9939137418534276,1.3271701127828317,1,False
v2_measured_trailing_4q,2Q24-2Q26,t2_reported_usd_yoy,baskets,0.9432430878948775,0.8430513790066493,1.0967777255567805,7,False
v2_measured_trailing_4q,2Q24-2Q26,t2_reported_usd_yoy,midpoint,1.0870645076639935,0.9449666532383744,1.258807485604698,1,False
v2_measured_blend,1Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,0.955291566541681,0.8763126762120795,1.0757126534965689,7,False
v2_measured_blend,1Q24-2Q26,t1_exfx_integer_fair,none,0.9211323729436767,0.8528028654224418,1.0,9,False
v2_measured_blend,1Q24-2Q26,t2_reported_usd_yoy,eur,0.9630796061575795,0.8528668478677917,1.0814284091507504,8,False
v2_measured_blend,1Q24-2Q26,t2_reported_usd_yoy,baskets,0.8430956696069998,0.7720176587054833,0.9130867012933508,10,True
v2_measured_blend,1Q24-2Q26,t2_reported_usd_yoy,midpoint,0.9124641006961641,0.8314015707287818,1.0133218547259224,9,False
v2_measured_blend,2Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.0757126534965689,0.9799164049999668,1.1712085703629305,2,False
v2_measured_blend,2Q24-2Q26,t1_exfx_integer_fair,none,1.0,0.912870929175277,1.0954451150103321,2,False
v2_measured_blend,2Q24-2Q26,t2_reported_usd_yoy,eur,1.0814284091507504,0.93699034426902,1.1792321534679775,1,False
v2_measured_blend,2Q24-2Q26,t2_reported_usd_yoy,baskets,0.9130867012933508,0.8368552765725299,1.0009164133421704,8,False
v2_measured_blend,2Q24-2Q26,t2_reported_usd_yoy,midpoint,1.0133218547259224,0.91134551133577,1.1192797069742373,4,False
v2_measured_ar1_residual,1Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,0.9147017361916798,0.8127512625098959,1.017541444813277,9,False
v2_measured_ar1_residual,1Q24-2Q26,t1_exfx_integer_fair,none,1.0,0.8944271909999159,1.118033988749895,2,False
v2_measured_ar1_residual,1Q24-2Q26,t2_reported_usd_yoy,eur,1.0514848159701071,0.8987413768620459,1.1835258279100156,2,False
v2_measured_ar1_residual,1Q24-2Q26,t2_reported_usd_yoy,baskets,0.9065289593236351,0.8095639005875457,1.0287648906601017,9,False
v2_measured_ar1_residual,1Q24-2Q26,t2_reported_usd_yoy,midpoint,0.9881314803996276,0.8824392939949111,1.131401991194961,7,False
v2_measured_ar1_residual,2Q24-2Q26,J3 record (unrounded model vs integer ex-FX),none,1.017541444813277,0.9227103512450328,1.1204082444607402,4,False
v2_measured_ar1_residual,2Q24-2Q26,t1_exfx_integer_fair,none,1.0,0.8944271909999159,1.118033988749895,2,False
