arm,horizon_quarters,model,window,comparison,n_origins,n_paired,n_years,measurement_status,model_rmse_musd,street_rmse_musd,rmse_ratio,model_mae_musd,street_mae_musd,model_bias_musd,street_bias_musd,gap_sign_accuracy,actual_gap_mean_musd,predicted_gap_mean_musd,rmse_ratio_year_bootstrap90_lo,rmse_ratio_year_bootstrap90_hi
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,14,4,inherited snapshot diagnostic,84.57568193695109,116.42319980425512,0.7264504160609744,69.94269851026993,90.93404518330514,32.39914974447647,-82.95785718960967,0.8571428571428571,82.95785718960967,115.35700693408614,0.5359143093098467,1.2746817395846524
calendar_minus16,2,fixed,W1,revenue_same_object,14,14,4,inherited snapshot diagnostic,96.58232676383238,107.71059106964101,0.8966836576115939,79.76872303670815,91.57142857142857,51.18612446057942,-67.57142857142857,0.7857142857142857,67.57142857142857,118.75755303200799,0.5760171797391472,1.2469226354473473
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,14,4,inherited snapshot diagnostic,84.57568193695109,81.87534078445981,1.0329811287088262,69.94269851026993,62.142857142857146,32.39914974447647,-11.428571428571429,0.5714285714285714,11.428571428571429,43.8277211730479,0.8223842319104959,1.442041288052044
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,10,3,inherited snapshot diagnostic,77.01234700842336,88.79830493579817,0.8672727149927452,61.07131187195186,71.93120793362672,17.217214495547204,-60.76454474245306,0.8,60.76454474245306,77.98175923800027,0.5719137073811409,1.412213141986109
calendar_minus16,2,fixed,W2,revenue_same_object,10,10,3,inherited snapshot diagnostic,80.95053521524264,92.50351344678752,0.8751076818483148,64.51849475100157,80.5,32.98594109621922,-46.9,0.7,46.9,79.88594109621923,0.5224237544787447,1.2504539585301682
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,10,3,inherited snapshot diagnostic,77.01234700842336,70.30291601349121,1.0954360270581749,61.07131187195186,54.5,17.217214495547204,8.5,0.5,-8.5,8.717214495547205,0.7597510647450526,1.4892008533080137
calendar_minus16,2,guide_growth,W1,guide_common_cushion_proxy,14,14,4,inherited snapshot diagnostic,75.03912526245227,116.42319980425512,0.6445375611443184,66.2290185831403,90.93404518330514,11.769858305410756,-82.95785718960967,0.7857142857142857,82.95785718960967,94.72771549502043,0.5931758082853813,0.8153933517836707
calendar_minus16,2,guide_growth,W1,revenue_same_object,14,14,4,inherited snapshot diagnostic,92.09068838242888,107.71059106964101,0.8549826666802619,78.10110770379741,91.57142857142857,29.98826720631202,-67.57142857142857,0.7142857142857143,67.57142857142857,97.55969577774059,0.6895990068652322,1.1660910669771531
calendar_minus16,2,guide_growth,W1,guide_vs_raw_revenue_different_objects,14,14,4,inherited snapshot diagnostic,75.03912526245227,81.87534078445981,0.9165045854281797,66.2290185831403,62.142857142857146,11.769858305410756,-11.428571428571429,0.6428571428571429,11.428571428571429,23.198429733982184,0.7921803775143708,1.0282347065546544
calendar_minus16,2,guide_growth,W2,guide_common_cushion_proxy,10,10,3,inherited snapshot diagnostic,61.305022225608276,88.79830493579817,0.6903850503670341,57.7264938399609,71.93120793362672,-1.5932536257835181,-60.76454474245306,0.7,60.76454474245306,59.17129111666954,0.5852449392174759,0.9465657435590132
calendar_minus16,2,guide_growth,W2,revenue_same_object,10,10,3,inherited snapshot diagnostic,87.14736667054012,92.50351344678752,0.9420979098342193,75.94041855730771,80.5,13.714341963207744,-46.9,0.6,46.9,60.61434196320774,0.729664862750452,1.2605000872052339
calendar_minus16,2,guide_growth,W2,guide_vs_raw_revenue_different_objects,10,10,3,inherited snapshot diagnostic,61.305022225608276,70.30291601349121,0.8720125096069098,57.7264938399609,54.5,-1.5932536257835181,8.5,0.7,-8.5,-10.093253625783518,0.7555434423072787,1.0886718965680617
calendar_minus16,2,joint,W1,guide_common_cushion_proxy,11,11,4,inherited snapshot diagnostic,64.28731767190047,86.49127137208109,0.7432809883825117,46.25691227699045,70.72144414823892,-27.192744602724527,-60.56993215626285,0.7272727272727273,60.56993215626285,33.37718755353833,0.5476996518746194,1.0753011234480094
calendar_minus16,2,joint,W1,revenue_same_object,11,11,4,inherited snapshot diagnostic,57.442906763497795,89.91561700738188,0.6388535014866422,52.048704392931086,78.45454545454545,-13.739178256666616,-47.90909090909091,0.6363636363636364,47.90909090909091,34.169912652424294,0.5281076857873722,0.8875212813253511
calendar_minus16,2,joint,W1,guide_vs_raw_revenue_different_objects,11,11,4,inherited snapshot diagnostic,64.28731767190047,67.0989770955767,0.95809683626516,46.25691227699045,50.45454545454545,-27.192744602724527,8.636363636363637,0.6363636363636364,-8.636363636363637,-35.829108239088164,0.5277885490216568,1.9921134409166796
calendar_minus16,2,joint,W2,guide_common_cushion_proxy,10,10,3,inherited snapshot diagnostic,63.83111546800376,88.79830493579817,0.7188325893625348,44.01431526886972,71.93120793362672,-23.043730827177207,-60.76454474245306,0.8,60.76454474245306,37.720813915275855,0.5424684263296506,0.9914626680174117
calendar_minus16,2,joint,W2,revenue_same_object,10,10,3,inherited snapshot diagnostic,56.23120856368851,92.50351344678752,0.6078818681415319,50.41466063002181,80.5,-8.274181880130891,-46.9,0.7,46.9,38.62581811986911,0.5083094406106329,0.7674627101797703
calendar_minus16,2,joint,W2,guide_vs_raw_revenue_different_objects,10,10,3,inherited snapshot diagnostic,63.83111546800376,70.30291601349121,0.9079440667262577,44.01431526886972,54.5,-23.043730827177207,8.5,0.6,-8.5,-31.543730827177207,0.5394303662502326,1.4211446908205474
calendar_minus16,2,revenue_growth,W1,guide_common_cushion_proxy,14,14,4,inherited snapshot diagnostic,113.11501683759404,116.42319980425512,0.9715848475885974,90.49536588603965,90.93404518330514,7.862943605387646,-82.95785718960967,0.6428571428571429,82.95785718960967,90.82080079499733,0.7074931087467472,1.7050291295385127
calendar_minus16,2,revenue_growth,W1,revenue_same_object,14,14,4,inherited snapshot diagnostic,123.98622975804783,107.71059106964101,1.1511052768978278,99.20275684469343,91.57142857142857,26.092161996955138,-67.57142857142857,0.5714285714285714,67.57142857142857,93.66359056838371,0.8371578112552748,1.7029609686486387
calendar_minus16,2,revenue_growth,W1,guide_vs_raw_revenue_different_objects,14,14,4,inherited snapshot diagnostic,113.11501683759404,81.87534078445981,1.3815517071907397,90.49536588603965,62.142857142857146,7.862943605387646,-11.428571428571429,0.42857142857142855,11.428571428571429,19.291515033959076,1.0678651071722915,2.0134409969398916
calendar_minus16,2,revenue_growth,W2,guide_common_cushion_proxy,10,10,3,inherited snapshot diagnostic,124.24943389264482,88.79830493579817,1.3992320459549095,101.0653362904247,71.93120793362672,-14.620054902488118,-60.76454474245306,0.5,60.76454474245306,46.14448983996495,1.1526067518748304,1.9813239819637936
calendar_minus16,2,revenue_growth,W2,revenue_same_object,10,10,3,inherited snapshot diagnostic,132.58211691992557,92.50351344678752,1.4332657428865465,102.8171631254183,80.5,0.4623303385847066,-46.9,0.4,46.9,47.362330338584705,1.124156817442363,1.8258822198946216
calendar_minus16,2,revenue_growth,W2,guide_vs_raw_revenue_different_objects,10,10,3,inherited snapshot diagnostic,124.24943389264482,70.30291601349121,1.7673439586602808,101.0653362904247,54.5,-14.620054902488118,8.5,0.4,-8.5,-23.120054902488118,1.5679626712511103,2.1479650088022963
calendar_minus16,3,fixed,W1,guide_common_cushion_proxy,14,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,fixed,W1,revenue_same_object,14,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,fixed,W1,guide_vs_raw_revenue_different_objects,14,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,fixed,W2,guide_common_cushion_proxy,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,fixed,W2,revenue_same_object,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,fixed,W2,guide_vs_raw_revenue_different_objects,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,guide_growth,W1,guide_common_cushion_proxy,13,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,guide_growth,W1,revenue_same_object,13,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,guide_growth,W1,guide_vs_raw_revenue_different_objects,13,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,guide_growth,W2,guide_common_cushion_proxy,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,guide_growth,W2,revenue_same_object,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,guide_growth,W2,guide_vs_raw_revenue_different_objects,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,joint,W1,guide_common_cushion_proxy,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,joint,W1,revenue_same_object,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,joint,W1,guide_vs_raw_revenue_different_objects,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,joint,W2,guide_common_cushion_proxy,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
calendar_minus16,3,joint,W2,revenue_same_object,10,0,0,UNAVAILABLE: no paired quarterly consensus,,,,,,,,,,,,
