snapshot_date,slot,period_end_date,commit,commit_datetime_raw,numeric_fields_checked,all_numeric_equal,timezone
2022-08-07,Current Quarter,2022-09-30,j2s47ospjd1vbouii690hkifso0up7h3,2022-08-08 05:12:37.616,4,True,not encoded in source datetime
2022-08-07,Current Year,2022-12-31,j2s47ospjd1vbouii690hkifso0up7h3,2022-08-08 05:12:37.616,4,True,not encoded in source datetime
2022-08-07,Next Quarter,2022-12-31,j2s47ospjd1vbouii690hkifso0up7h3,2022-08-08 05:12:37.616,4,True,not encoded in source datetime
2022-08-07,Next Year,2023-12-31,j2s47ospjd1vbouii690hkifso0up7h3,2022-08-08 05:12:37.616,4,True,not encoded in source datetime
2024-02-11,Current Quarter,2023-12-31,id6rhl4mfi8lmp791pp2uidgigcd5lb7,2024-02-12 03:32:08.995,4,True,not encoded in source datetime
2024-02-11,Current Year,2023-12-31,id6rhl4mfi8lmp791pp2uidgigcd5lb7,2024-02-12 03:32:08.995,4,True,not encoded in source datetime
2024-02-11,Next Quarter,2024-03-31,id6rhl4mfi8lmp791pp2uidgigcd5lb7,2024-02-12 03:32:08.995,4,True,not encoded in source datetime
2024-02-11,Next Year,2024-12-31,id6rhl4mfi8lmp791pp2uidgigcd5lb7,2024-02-12 03:32:08.995,4,True,not encoded in source datetime
2025-08-03,Current Quarter,2025-06-30,54csabpuanoeoq9ng4k35dub2g8k8f0q,2025-08-04 02:52:49.350,4,True,not encoded in source datetime
2025-08-03,Current Year,2025-12-31,54csabpuanoeoq9ng4k35dub2g8k8f0q,2025-08-04 02:52:49.350,4,True,not encoded in source datetime
2025-08-03,Next Quarter,2025-09-30,54csabpuanoeoq9ng4k35dub2g8k8f0q,2025-08-04 02:52:49.350,4,True,not encoded in source datetime
2025-08-03,Next Year,2026-12-31,54csabpuanoeoq9ng4k35dub2g8k8f0q,2025-08-04 02:52:49.350,4,True,not encoded in source datetime
