source,scenario,period,committed,recomputed,diff
40_lines_quarterly.csv,base,3Q26,359.0948816686723,359.0948816686723,0.0
40_lines_quarterly.csv,base,4Q26,369.0251183313277,369.0251183313277,0.0
40_lines_quarterly.csv,base,1Q27,414.1237900800001,414.12379008000005,5.684341886080802e-14
40_lines_quarterly.csv,base,2Q27,400.79641536,400.79641536,0.0
40_lines_quarterly.csv,base,3Q27,399.65871264,399.65871264000003,-5.684341886080802e-14
40_lines_quarterly.csv,base,4Q27,410.71068192,410.71068191999996,5.684341886080802e-14
40_annual.csv,base,FY26,1477.12,1477.12,0.0
40_annual.csv,base,FY27,1625.2896,1625.2896,0.0
40_lines_quarterly.csv,cost_bull,3Q26,352.50598475732056,352.50598475732056,0.0
40_lines_quarterly.csv,cost_bull,4Q26,362.2540152426795,362.2540152426795,0.0
40_lines_quarterly.csv,cost_bull,1Q27,399.16601088,399.16601088000004,-5.684341886080802e-14
40_lines_quarterly.csv,cost_bull,2Q27,386.32000896000005,386.32000896000005,0.0
40_lines_quarterly.csv,cost_bull,3Q27,385.22339904000006,385.22339904000006,0.0
40_lines_quarterly.csv,cost_bull,4Q27,395.87618112,395.87618112,0.0
40_annual.csv,cost_bull,FY26,1463.76,1463.76,0.0
40_annual.csv,cost_bull,FY27,1566.5856,1566.5856,0.0
40_short_case_quarterly.csv,short,3Q26,359.0948816686723,359.0948816686723,0.0
40_short_case_quarterly.csv,short,4Q26,369.0251183313277,369.0251183313277,0.0
40_short_case_quarterly.csv,short,1Q27,414.1237900800001,414.12379008000005,5.684341886080802e-14
40_short_case_quarterly.csv,short,2Q27,400.79641536,400.79641536,0.0
40_short_case_quarterly.csv,short,3Q27,399.65871264,399.65871264000003,-5.684341886080802e-14
40_short_case_quarterly.csv,short,4Q27,410.71068192,410.71068191999996,5.684341886080802e-14
