line,period,scenario,source,value,note
D1,3Q26,base,memo_v3,146.3,"team base, +9.5%"
D1,3Q26,short,memo_v3,145.0,"short case, +8.5%"
R2,3Q26,base,memo_v3,4804,"team base revenue $M"
R2,3Q26,short,memo_v3,4681,"short case revenue $M"
C6,3Q26,base,memo_v3,2420,"adj. EBITDA $M, 50.4%"
C6,3Q26,short,memo_v3,2290,"adj. EBITDA $M, 48.9%"
R5,4Q26,base,memo_v3,3178,"4Q26 revenue $M (bridge v3)"
R5,4Q26,short,memo_v3,2966,"4Q26 revenue $M short"
R6,FY27,base,memo_v3,15800,"FY27 revenue $M, +10.9%"
R6,FY27,short,memo_v3,14900,"FY27 revenue $M, +4.5%"
C6,FY27,base,memo_v3,5644,"FY27 adj. EBITDA $M, 35.7%"
C6,FY27,short,memo_v3,4761,"FY27 adj. EBITDA $M, 31.9%"
C7,FY27,base,memo_v3,5.93,"FY27 EPS"
C7,FY27,short,memo_v3,4.58,"FY27 EPS short"
R5,4Q26,base,l4_review,3179.34,"ABNB_L4_review.xlsx snapshot_v2, case 'Review with fee mechanics': Revenue!H18 'Revenue used by model' Q4:26 = Summary!E29 'Own conditional revenue R (USD m)', both 3179.3436542864088"
R6,FY27,base,l4_review,15952.23,"ABNB_L4_review.xlsx snapshot_v2, case 'Review with fee mechanics': Summary!F8 'Revenue' FY:27 column = 15952.233240744847"
