case,w,c1,s1,c2,s2,p_le1,p_ge4
base,0.1,3.7,1.6,0.8,1.8,0.0956,0.3868
shock weight 0.05,0.05,3.7,1.6,0.8,1.8,0.0707,0.4062
shock weight 0.20,0.2,3.7,1.6,0.8,1.8,0.1455,0.3481
shock centre 0.0,0.1,3.7,1.6,0.0,1.8,0.1123,0.3844
shock centre +1.5,0.1,3.7,1.6,1.5,1.8,0.0802,0.3913
trend centre 3.1 (FY-implied only),0.1,3.1,1.6,0.8,1.8,0.1396,0.262
trend centre 4.0 (AR path),0.1,4.0,1.6,0.8,1.8,0.0818,0.4538
trend sd 1.2,0.1,3.7,1.2,0.8,1.8,0.0654,0.3649
trend sd 2.2,0.1,3.7,2.2,0.8,1.8,0.1533,0.405
December shutdown realised (trend -1.6),0.1,2.1,1.6,0.8,1.8,0.2757,0.1095
October prints <= +2,0.1,2.0,1.2,0.8,1.8,0.2365,0.0468
October prints >= +4,0.1,4.6,1.2,0.8,1.8,0.0556,0.6261
"joint bear (w .2, c1 3.1, c2 0)",0.2,3.1,1.6,0.0,1.8,0.2179,0.2321
"joint bull (w .05, c1 4.0)",0.05,4.0,1.6,0.8,1.8,0.0561,0.4769
