id,last_scraped,name,host_id,host_since,street,neighbourhood_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month
295240,2015-05-04,Luxury Apartment Oasis w/ Hot Tub  ,1525192,2011-12-21,"Ord St, San Francisco, CA 94114, United States",Castro/Upper Market,San Francisco,CA,94114.0,37.7626741714481,-122.43919495998335,House,Entire home/apt,4,1.0,1.0,2.0,$250.00,"$1,500.00","$5,000.00",2,365,today,2.0,6.0,11.0,215.0,23,2012-02-11,2015-04-01,100.0,1,0.6
4882829,2015-05-04,Private room in Inner Richmond,25118670,2014-12-23,"4th Avenue, San Francisco, CA 94118, United States",Inner Richmond,San Francisco,CA,94118.0,37.77899256458584,-122.46211056987129,Apartment,Private room,2,1.0,1.0,1.0,$89.00,,,2,1125,a week ago,19.0,19.0,19.0,111.0,1,2015-04-22,2015-04-22,,1,1.0
4850420,2015-05-04,Edge of SOMA + the Mission ,1358761,2011-11-01,"12the ave. and Folsom St, San Francisco, CA 94103, United States",South of Market,San Francisco,CA,94103.0,37.77144730083928,-122.41478171116768,Apartment,Private room,2,1.0,1.0,1.0,$164.00,,,1,1125,5 months ago,0.0,0.0,0.0,111.0,0,,,,1,
1278848,2015-05-04,Sunny Nob Hill 1 br (entire apt),6959333,2013-06-17,"Sacramento Street, San Francisco, CA 94109, United States",Nob Hill,San Francisco,CA,94109.0,37.79074514903508,-122.41533401641192,Apartment,Entire home/apt,2,1.0,1.0,2.0,$170.00,"$1,000.00",,2,365,2 days ago,1.0,1.0,5.0,129.0,11,2013-07-18,2015-02-15,85.0,1,0.5
5068275,2015-05-04,Huge & Sunny 1BR Loft ,350767,2011-01-17,"Minnesota Street, San Francisco, CA 94107, United States",Potrero Hill,San Francisco,CA,94107.0,37.75944905468306,-122.38944715451696,Apartment,Entire home/apt,3,1.0,0.0,2.0,$185.00,,,2,29,7 weeks ago,0.0,0.0,0.0,9.0,5,2015-02-07,2015-03-29,88.0,1,1.7
2315086,2015-05-04,"Pacific Heights, 2 rooms & parking!",11804983,2014-01-31,"Lyon Street, San Francisco, CA 94115, United States",Pacific Heights,San Francisco,CA,94115.0,37.78757176562912,-122.44494761509908,Apartment,Private room,3,1.5,1.0,1.0,$135.00,$910.00,"$3,540.00",3,1125,today,0.0,5.0,5.0,207.0,55,2014-03-06,2015-04-26,98.0,1,3.9
4839456,2015-05-04,Single bed in a spacious loft,11186281,2014-01-10,"Mary Street, San Francisco, CA 94103, United States",South of Market,San Francisco,CA,94103.0,37.78041324805447,-122.40647038800132,Loft,Shared room,8,2.0,1.0,1.0,$70.00,$440.00,"$1,500.00",3,1125,3 days ago,19.0,43.0,73.0,348.0,0,,,,12,
3726164,2015-05-04,"Cozy, Quite Studio in Nob Hill",11947801,2014-02-04,"Sacramento Street, San Francisco, CA 94109, United States",Nob Hill,San Francisco,CA,94109.0,37.79259185209518,-122.4213305554224,Apartment,Entire home/apt,1,1.0,0.0,1.0,$125.00,$750.00,"$2,500.00",15,38,today,0.0,0.0,0.0,254.0,0,,,,1,
4258257,2015-05-05,Nob Hill Studio,20189284,2014-08-18,"Sacramento Street, San Francisco, CA 94109, United States",Nob Hill,San Francisco,CA,94109.0,37.79164786448525,-122.41363307448276,Apartment,Entire home/apt,2,1.0,0.0,1.0,$140.00,,,3,1125,today,14.0,24.0,40.0,289.0,14,2014-10-11,2015-04-24,94.0,1,2.0
4045632,2015-05-05,Room with a Cable car view,20130105,2014-08-16,"Mason Street, San Francisco, CA 94133, United States",Nob Hill,San Francisco,CA,94133.0,37.79495196193368,-122.41219797168964,Apartment,Private room,2,1.0,1.0,1.0,$69.00,,,1,21,yesterday,1.0,8.0,14.0,238.0,42,2014-09-06,2015-04-27,92.0,3,5.2
