quarter,vendor,register_id,observed_at,consensus_revenue_musd,revenue_gap_musd,revenue_gap_pct,implied_street_conversion,assumed_street_cushion,implied_street_guide_musd,implied_guide_gap_musd,guide_expectation_status
2026Q3,Alpha Vantage (aggregated sell-side panel),CU-2026Q3-revenue-AlphaVantage,2026-09-11,4737.0,71.36292949391736,1.50650051707657,0.16998803827751197,0.0179049103084942,4653.676342483079,70.10765816257754,"Implied with common cushion, not observed guide expectations"
2026Q3,DoltHub post-no-preference/earnings,PIT-2026Q3-revenue-DHPNP-20260913,2026-09-13,4740.0,68.36292949391736,1.4422558964961363,0.17009569377990433,0.0179049103084942,4656.623572592314,67.160428053342,"Implied with common cushion, not observed guide expectations"
2026Q3,LSEG,PG-2026Q3-revenue,2026-08-06,4610.0,198.36292949391736,4.302883503121846,0.1654306220095694,0.0179049103084942,4528.91026785877,194.87373278688665,"Implied with common cushion, not observed guide expectations"
2026Q3,S&P Global Market Intelligence via StockAnalysis,CU-2026Q3-revenue-SPGlobal-20260910,2026-09-10,4740.0,68.36292949391736,1.4422558964961363,0.17009569377990433,0.0179049103084942,4656.623572592314,67.160428053342,"Implied with common cushion, not observed guide expectations"
2026Q3,Yahoo Finance,CU-2026Q3-revenue-Yahoo-20260911,2026-09-11,4740.0,68.36292949391736,1.4422558964961363,0.17009569377990433,0.0179049103084942,4656.623572592314,67.160428053342,"Implied with common cushion, not observed guide expectations"
2026Q3,Yahoo Finance (LSEG family),CU-2026Q3-revenue-Yahoo-20260913T1520Z,2026-09-13T15:20Z,4744.88187,63.4810594939172,1.3378849301872497,0.17027088050239236,0.0179049103084942,4661.419570676772,62.364429968884,"Implied with common cushion, not observed guide expectations"
2026Q3,Zacks,CU-2026Q3-revenue-Zacks-20260911,2026-09-11,4740.0,68.36292949391736,1.4422558964961363,0.17009569377990433,0.0179049103084942,4656.623572592314,67.160428053342,"Implied with common cushion, not observed guide expectations"
2026Q4,Alpha Vantage (aggregated sell-side panel),CU-2026Q4-revenue-AlphaVantage,2026-09-11,3158.0,21.343654286404217,0.6758598570742347,0.11959537227259685,0.0179049103084942,3102.450894988719,20.968220184669008,"Implied with common cushion, not observed guide expectations"
2026Q4,DoltHub post-no-preference/earnings,PIT-2026Q4-revenue-DHPNP-20260913,2026-09-13,3200.0,-20.656345713595783,-0.6455108035498647,0.12118593770497464,0.0179049103084942,3143.7121165180183,-20.293001344630284,"Implied with common cushion, not observed guide expectations"
2026Q4,S&P Global Market Intelligence via StockAnalysis,CU-2026Q4-revenue-SPGlobal-20260910,2026-09-10,3160.0,19.343654286404217,0.6121409584305182,0.11967111348366247,0.0179049103084942,3104.415715061543,19.003400111845167,"Implied with common cushion, not observed guide expectations"
2026Q4,Yahoo Finance,CU-2026Q4-revenue-Yahoo-20260911,2026-09-11,3160.0,19.343654286404217,0.6121409584305182,0.11967111348366247,0.0179049103084942,3104.415715061543,19.003400111845167,"Implied with common cushion, not observed guide expectations"
2026Q4,Yahoo Finance (LSEG family),CU-2026Q4-revenue-Yahoo-20260913T1520Z,2026-09-13T15:20Z,3161.02149,18.32216428640413,0.5796279571134599,0.11970979792850817,0.0179049103084942,3105.4192370896376,17.999878083750446,"Implied with common cushion, not observed guide expectations"
2026Q4,Zacks,CU-2026Q4-revenue-Zacks-20260911,2026-09-11,3200.0,-20.656345713595783,-0.6455108035498647,0.12118593770497464,0.0179049103084942,3143.7121165180183,-20.293001344630284,"Implied with common cushion, not observed guide expectations"
