bin_lo,count,share
60,8,2e-05
65,32,8e-05
70,106,0.000265
75,260,0.00065
80,522,0.001305
85,970,0.002425
90,1744,0.00436
95,2817,0.0070425
100,4287,0.0107175
105,6102,0.015255
110,8311,0.0207775
115,10651,0.0266275
120,13042,0.032605
125,15421,0.0385525
130,17581,0.0439525
135,19288,0.04822
140,20690,0.051725
145,21528,0.05382
150,22154,0.055385
155,22251,0.0556275
160,21342,0.053355
165,20741,0.0518525
170,19701,0.0492525
175,18740,0.04685
180,16945,0.0423625
185,15500,0.03875
190,14010,0.035025
195,12642,0.031605
200,11087,0.0277175
205,9609,0.0240225
210,8364,0.02091
215,7228,0.01807
220,6117,0.0152925
225,5266,0.013165
230,4444,0.01111
235,3653,0.0091325
240,3014,0.007535
245,2551,0.0063775
250,2063,0.0051575
255,1776,0.00444
260,1494,0.003735
265,1200,0.003
270,912,0.00228
275,781,0.0019525
280,620,0.00155
285,517,0.0012925
290,370,0.000925
295,304,0.00076
300,256,0.00064
305,202,0.000505
310,173,0.0004325
