bin_lo,count,share
60,0,0.0
65,0,0.0
70,0,0.0
75,9,2.25e-05
80,40,0.0001
85,139,0.0003475
90,382,0.000955
95,867,0.0021675
100,1699,0.0042475
105,3079,0.0076975
110,5469,0.0136725
115,8365,0.0209125
120,11942,0.029855
125,15767,0.0394175
130,20028,0.05007
135,23693,0.0592325
140,26613,0.0665325
145,29083,0.0727075
150,29743,0.0743575
155,29590,0.073975
160,28493,0.0712325
165,26571,0.0664275
170,24199,0.0604975
175,21678,0.054195
180,18469,0.0461725
185,15835,0.0395875
190,13002,0.032505
195,10522,0.026305
200,8411,0.0210275
205,6631,0.0165775
210,5190,0.012975
215,3857,0.0096425
220,2985,0.0074625
225,2172,0.00543
230,1573,0.0039325
235,1157,0.0028925
240,810,0.002025
245,568,0.00142
250,425,0.0010625
255,279,0.0006975
260,211,0.0005275
265,134,0.000335
270,125,0.0003125
275,69,0.0001725
280,41,0.0001025
285,26,6.5e-05
290,16,4e-05
295,17,4.25e-05
300,9,2.25e-05
305,10,2.5e-05
310,4,1e-05
