price,cdf_decomp,cdf_anchor,cdf_final
60.0,0.0,7.336922647276998e-07,2.567922926546949e-07
60.25,0.0,8.088884750128905e-07,2.8311096625451165e-07
60.5,0.0,8.911003768358045e-07,3.118851318925316e-07
60.75,0.0,9.809149642262305e-07,3.4332023747918067e-07
61.0,0.0,1.078962318054596e-06,3.7763681131910856e-07
61.25,0.0,1.1859182836767085e-06,4.1507139928684794e-07
61.5,0.0,1.302507280217443e-06,4.5587754807610504e-07
61.75,0.0,1.4295052457736144e-06,5.00326836020765e-07
62.0,0.0,1.567742722831786e-06,5.48709952991125e-07
62.25,0.0,1.7181080882068895e-06,6.013378308724113e-07
62.5,0.0,1.881550931808055e-06,6.585428261328192e-07
62.75,0.0,2.059085588533989e-06,7.206799559868962e-07
63.0,0.0,2.2517948275844067e-06,7.881281896545423e-07
63.25,0.0,2.460833703452975e-06,8.612917962085412e-07
63.5,0.0,2.687433572836075e-06,9.406017504926261e-07
63.75,0.0,2.9329062816516806e-06,1.026517198578088e-06
64.0,0.0,3.1986485263144494e-06,1.1195269842100573e-06
64.25,0.0,3.486146393354313e-06,1.2201512376740095e-06
64.5,0.0,3.796980081399383e-06,1.328943028489784e-06
64.75,0.0,4.1328288094648985e-06,1.4464900833127144e-06
65.0,0.0,4.495475915405185e-06,1.5734165703918148e-06
65.25,0.0,4.886814148285093e-06,1.7103849518997825e-06
65.5,0.0,5.308851158323375e-06,1.8580979054131812e-06
65.75,0.0,5.76371518793901e-06,2.0173003157786534e-06
66.0,0.0,6.253660967306054e-06,2.1887813385571185e-06
66.25,0.0,6.781075817682475e-06,2.373376536188866e-06
66.5,0.0,7.348485965627598e-06,2.5719700879696593e-06
66.75,0.0,7.95856307106522e-06,2.785497074872827e-06
67.0,0.0,8.61413097197655e-06,3.014945840191792e-06
67.25,0.0,9.318172648326577e-06,3.261360426914302e-06
67.5,0.0,1.007383740763334e-05,3.5258430926716686e-06
67.75,0.0,1.088444829439138e-05,3.8095569030369827e-06
68.0,0.0,1.1753509725338738e-05,4.113728403868558e-06
68.25,0.0,1.2684715352345464e-05,4.439650373320912e-06
68.5,0.0,1.3681956154451838e-05,4.788684654058143e-06
68.75,0.0,1.4749328760355625e-05,5.162265066124469e-06
69.0,0.0,1.5891144002383e-05,5.5619004008340494e-06
69.25,0.0,1.711193570271409e-05,5.989177495949932e-06
69.5,0.0,1.8416469692367517e-05,6.445764392328631e-06
69.75,0.0,1.980975306315788e-05,6.9334135721052575e-06
70.0,0.0,2.129704365254856e-05,7.453965278391995e-06
70.25,0.0,2.2883859761025348e-05,8.009350916358872e-06
70.5,0.0,2.457599010130228e-05,8.601596535455798e-06
70.75,0.0,2.6379503978354132e-05,9.232826392423946e-06
71.0,0.0,2.830076169894939e-05,9.905266594632286e-06
71.25,0.0,3.0346425209012715e-05,1.062124882315445e-05
71.5,0.0,3.252346895682041e-05,1.1383214134887144e-05
71.75,0.0,3.483919097967572e-05,1.2193716842886501e-05
72.0,0.0,3.730122421135898e-05,1.3055428473975643e-05
72.25,0.0,3.9917548007290856e-05,1.39711418025518e-05
72.5,0.0,4.2696499883991154e-05,1.4943774959396902e-05
72.75,0.0,4.564678746902616e-05,1.5976375614159155e-05
73.0,0.0,4.877750065728941e-05,1.7072125230051293e-05
73.25,0.0,5.209812396906157e-05,1.8234343389171548e-05
73.5,0.0,5.561854910494548e-05,1.9466492186730916e-05
73.75,0.0,5.934908769234636e-05,2.0772180692321227e-05
74.0,0.0,6.330048421783721e-05,2.215516947624302e-05
74.25,0.0,6.748392913931081e-05,2.3619375198758783e-05
74.5,0.0,7.19110721714779e-05,2.5168875260017262e-05
74.75,0.0,7.659403573785784e-05,2.6807912508250242e-05
75.0,0.0,8.154542858203296e-05,2.8540900003711536e-05
75.25,0.0,8.677835953054126e-05,3.0372425835689437e-05
75.5,0.0,9.230645139943368e-05,3.2307257989801784e-05
75.75,2.5e-06,9.814385503608366e-05,3.5975349262629275e-05
76.0,7.5e-06,0.0001043052634875,4.1381842220625004e-05
76.25,7.5e-06,0.0001108059262861,4.3657074200135e-05
76.5,7.5e-06,0.0001176616638433,4.6056582345155e-05
76.75,1e-05,0.0001248888819411,5.0211108679385e-05
77.0,1.25e-05,0.0001325045863113,5.4501605208955e-05
77.25,1.5e-05,0.0001405263972927,5.8934239052444996e-05
77.5,1.5e-05,0.0001489725645532,6.189039759361999e-05
77.75,1.75e-05,0.0001578619818687,6.6626693654045e-05
78.0,1.75e-05,0.0001672142019435,6.9899970680225e-05
78.25,2.25e-05,0.0001770494512643,7.659230794250499e-05
78.5,2.75e-05,0.0001873886449715,8.3461025740025e-05
78.75,2.75e-05,0.0001982534017388,8.726369060858e-05
79.0,3.25e-05,0.000209666058646,9.45081205261e-05
79.25,3.5e-05,0.0002216496860327,0.000100327390111445
79.5,4e-05,0.0002342281023199,0.00010797983581196501
