bin_lo,count,share
60,0,0.0
65,0,0.0
70,0,0.0
75,19,4.75e-05
80,43,0.0001075
85,147,0.0003675
90,382,0.000955
95,834,0.002085
100,1538,0.003845
105,2763,0.0069075
110,4657,0.0116425
115,7187,0.0179675
120,10172,0.02543
125,13414,0.033535
130,17161,0.0429025
135,20351,0.0508775
140,23601,0.0590025
145,25730,0.064325
150,27364,0.06841
155,27660,0.06915
160,27557,0.0688925
165,26510,0.066275
170,24704,0.06176
175,22808,0.05702
180,20227,0.0505675
185,17602,0.044005
190,15260,0.03815
195,12911,0.0322775
200,10512,0.02628
205,8601,0.0215025
210,7061,0.0176525
215,5569,0.0139225
220,4320,0.0108
225,3373,0.0084325
230,2608,0.00652
235,1988,0.00497
240,1445,0.0036125
245,1057,0.0026425
250,820,0.00205
255,565,0.0014125
260,403,0.0010075
265,304,0.00076
270,233,0.0005825
275,160,0.0004
280,124,0.00031
285,73,0.0001825
290,58,0.000145
295,37,9.25e-05
300,23,5.75e-05
305,25,6.25e-05
310,10,2.5e-05
