sensitivity,day1_mean,day1_sd,S02_p50,S02_le150,S02_le143,S02_ge180,S03_p50,S03_le150,S03_le143,S03_ge180,S04_p
base,-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.299
revision-1 print weights 0.24/0.14/0.10/0.52 (S02-built),-2.545,9.51,161.933,0.334,0.244,0.276,163.072,0.362,0.289,0.338,0.313
P(accel)=0.40 (Street/Kalshi-leaning band),-1.11,9.512,164.232,0.306,0.219,0.302,166.436,0.33,0.261,0.37,0.284
P(accel)=0.22 (R02 alt-data leg only),-2.769,9.509,161.59,0.339,0.248,0.272,162.559,0.367,0.294,0.333,0.318
day-1 conditional means shrunk to zero (market-neutral print),-0.0,9.504,166.143,0.282,0.2,0.325,167.807,0.315,0.245,0.382,0.262
"day-1 conditional means unshrunk (accel +6, flat -1, decel-ok -4, decel-below -8)",-2.292,9.513,162.228,0.331,0.24,0.28,163.929,0.355,0.283,0.347,0.309
no post-print drift in any branch (Astra's construction),-1.84,9.511,164.779,0.3,0.215,0.31,168.426,0.312,0.244,0.389,0.292
revision-1 post-print drifts (-2.0/-1.0/-1.0/-2.5; mid +1/-1/-1/-3),-1.84,9.511,161.517,0.341,0.25,0.272,162.985,0.365,0.294,0.34,0.306
post-print drift doubled,-1.84,9.511,161.36,0.341,0.249,0.268,161.074,0.383,0.309,0.32,0.306
background vol 33% (Oct ATM IV / 2023+ realised ex-print),-1.84,9.511,162.689,0.336,0.251,0.297,164.062,0.361,0.293,0.357,0.305
background vol 26%,-1.84,9.511,163.572,0.297,0.205,0.276,165.548,0.325,0.25,0.349,0.291
within-branch event sd 7.5% (revision 1; unconditional ~8.7%),-1.84,8.676,163.151,0.314,0.225,0.285,164.822,0.343,0.271,0.353,0.293
total drift 3% (revision-1 convention),-1.84,9.511,161.481,0.34,0.248,0.27,162.127,0.371,0.298,0.329,0.309
total drift 0,-1.84,9.511,160.294,0.355,0.261,0.256,160.19,0.391,0.316,0.311,0.317
Feb day-1 means at revision 1 (+4.0/+2.5/+2.5/+2.0; S03 rev 1),-1.84,9.511,163.066,0.32,0.232,0.288,168.027,0.314,0.246,0.385,0.299
Feb day-1 mean at the raw n-6 base rate (+7.9%) in every branch,-1.84,9.511,163.066,0.32,0.232,0.288,176.484,0.241,0.181,0.466,0.299
Feb day-1 mean 0 in every branch,-1.84,9.511,163.066,0.32,0.232,0.288,163.477,0.356,0.283,0.34,0.299
no pre-release seasonal drift,-1.84,9.511,163.066,0.32,0.232,0.288,162.293,0.37,0.297,0.331,0.299
pre-release seasonal at half the measured excess (+3.25%),-1.84,9.511,163.066,0.32,0.232,0.288,167.568,0.32,0.252,0.381,0.299
S04: print chase 0.60,-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.343
S04: print chase 0.20,-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.252
S04: no stale-refresh term,-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.323
S04: residual sd 3.5% (revision 1),-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.271
S04: residual sd 6.68% (Astra's two-regressor residual),-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.327
S04: known lag terms zero (ignore Aug/Sep history),-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.331
S04: base = feed as-is 181.81 (MS action not captured),-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.337
S04: 2023+ tape betas 0.14/0.19/0.10,-1.84,9.511,163.066,0.32,0.232,0.288,164.728,0.346,0.275,0.354,0.321
