bin_lo,count,share
60,19,4.75e-05
65,61,0.0001525
70,142,0.000355
75,354,0.000885
80,613,0.0015325
85,1169,0.0029225
90,1917,0.0047925
95,3124,0.00781
100,4474,0.011185
105,6138,0.015345
110,8102,0.020255
115,10464,0.02616
120,12368,0.03092
125,14536,0.03634
130,16673,0.0416825
135,18332,0.04583
140,19572,0.04893
145,20323,0.0508075
150,21138,0.052845
155,20871,0.0521775
160,20706,0.051765
165,19945,0.0498625
170,19153,0.0478825
175,18284,0.04571
180,16943,0.0423575
185,15358,0.038395
190,14368,0.03592
195,12944,0.03236
200,11631,0.0290775
205,10104,0.02526
210,8945,0.0223625
215,7849,0.0196225
220,6774,0.016935
225,5811,0.0145275
230,5015,0.0125375
235,4339,0.0108475
240,3545,0.0088625
245,3077,0.0076925
250,2659,0.0066475
255,2108,0.00527
260,1778,0.004445
265,1521,0.0038025
270,1278,0.003195
275,948,0.00237
280,870,0.002175
285,696,0.00174
290,586,0.001465
295,452,0.00113
300,379,0.0009475
305,277,0.0006925
310,249,0.0006225
