rank,source_id,lane_source_id,research_lane,causal_proximity_20,pit_vintage_defensibility_20,differentiation_underuse_15,geographic_scalability_15,frequency_lead_time_10,permission_license_clarity_10,operational_reliability_5,free_low_cost_5,total_100,status,historical_class,score_rationale
1,NASA_BLACK_MARBLE_VNP46A2,NASA_BLACK_MARBLE_VNP46A2,physical_world_activity_edge,8,16,15,15,10,8,3,5,80,pending_sync,prospective_only,"Global daily archive with granule metadata is scalable and differentiated, but activity interpretation is indirect and Earthdata authentication is required"
2,NOAA_HMS_SMOKE,NOAA_HMS_SMOKE,physical_world_activity_edge,11,12,13,15,10,8,3,5,77,pending_permission,prospective_only,Daily disruption coverage and explicit cadence are strong; regenerated archives and satellite-regime changes reduce strict vintage confidence
3,WSF_FERRY_RIDERSHIP,WSF_FERRY_RIDERSHIP,physical_world_activity_edge,18,18,13,7,7,5,4,5,77,pending_permission,backtestable_now,Route-level rider segments and dated quarterly PDFs are unusually close to island visitation; geographic ceiling and automation-permission gap limit score
4,NYC_OSE_STR_SNAPSHOTS,SCW-005,supply_scarcity_web_edge,19,17,13,8,5,2,5,5,74,pending_permission,backtestable_now,Direct legally active host-supply and regulatory-friction measures; annual official reports and dated 2026 snapshots are real vintages. Short regime history and one-city coverage cap scale.
5,ORANGE_FL_TDT_RELEASES,SCW-006,supply_scarcity_web_edge,15,19,11,10,6,2,5,5,73,pending_permission,backtestable_now,Direct realized lodging-tax receipt proxy in a globally material leisure market; exact release timestamps and separate monthly PDFs create unusually defensible vintages. Lag and hotel-heavy composition limit lead value.
6,VANCOUVER_STR_LICENSES,SCW-004,supply_scarcity_web_edge,19,10,13,6,8,7,4,5,72,pending_permission,prospective_only,Licence issuance/expiry/revision events are close to active supply and difficult to standardize across jurisdictions. Current 2026 extract can encode status survivorship; robots path remains unresolved.
7,NPS_VISITOR_USE,NPS_VISITOR_USE,physical_world_activity_edge,15,10,10,14,6,8,3,5,71,pending_permission,prospective_only,Direct recreation visits across 400-plus parks; preliminary values revise until annual finalization and the current API is not a vintage store
8,NYC_OSE_ENFORCEMENT_REPORTS,SCW-010,supply_scarcity_web_edge,15,19,12,8,2,2,5,5,68,pending_permission,backtestable_now,"Annual point-in-time enforcement reports from 2016 onward provide a defensible regulation-intensity history, but annual cadence and policy endogeneity reduce forecast lead."
9,FTA_NTD_MONTHLY_RIDERSHIP,FTA_NTD_MONTHLY_RIDERSHIP,physical_world_activity_edge,11,11,8,15,5,8,4,5,67,pending_permission,prospective_only,"Broad U.S. scale and fixed release schedule, but two-month lag and agency/mode rather than station detail weaken causal proximity"
10,NOLA_STR_PERMIT_EVENTS,SCW-002,supply_scarcity_web_edge,19,9,13,6,8,2,4,5,66,pending_permission,prospective_only,Applications and issue/expiration dates map directly to supply pipeline. Present extract and overwritten current status are not historical vintages; source permission evidence is incomplete.
11,NOLA_STR_ENFORCEMENT_HEARINGS,SCW-003,supply_scarcity_web_edge,17,9,14,6,7,2,4,5,64,pending_permission,prospective_only,STR hearing/case dates provide non-obvious enforcement friction at event level. Current judgment/open-violation fields can revise and one-city materiality is limited.
12,SAN_DIEGO_STRO_ACTIVE,SCW-008,supply_scarcity_web_edge,18,3,11,6,8,8,4,5,63,prospective_only,prospective_only,"Daily active STRO licences are close to supply and openly licensed, but the file is an active-only snapshot with no issue date; historical backfill would be leakage."
13,MARINECADASTRE_AIS,MARINECADASTRE_AIS,physical_world_activity_edge,13,7,15,11,3,7,1,5,62,prospective_only,prospective_only,"Passenger-vessel movement is highly differentiated, but the subset service is unavailable and annual bulk timing is too late or unclear for quarterly cutoffs"
14,NYC_311_TOURISM_STRESS,NYC_311_TOURISM_STRESS,physical_world_activity_edge,10,7,12,5,10,8,3,5,60,prospective_only,prospective_only,Daily no-PII complaint events are novel but reflect reporting/enforcement behavior and mutable fields rather than visitor counts
15,MELB_PED_HOURLY,MELB_PED_HOURLY,physical_world_activity_edge,16,7,14,4,8,1,3,5,58,pending_permission,prospective_only,Direct dense-city activity and long hourly history; portal terms are undefined and current history lacks true publication vintages
