rank,source_id,lane_source_id,research_lane,dataset,provider,edge_family,economic_mechanism,predicted_direction,potential_abnb_target,measurement_type,why_underused,geographic_coverage,plausible_abnb_materiality,unit_of_observation,granularity,frequency,history,publication_schedule_and_lag,earliest_verifiable_public_availability,revision_or_snapshot_policy,true_vintage_support,access_method,exact_source_urls,terms_url,robots_url,credential_requirement,environment_variables,cost,license_or_reuse,collection_restrictions,sensor_methodology_survivorship_risks,point_in_time_leakage_risk,leakage_mitigation,historical_guidance_cutoff_coverage,strict_cutoff_eligible_now,smallest_lawful_validation_sample,status,historical_class,selected_historical_pilot,selected_moonshot,primary_feature_formula_if_selected,sensitivity_if_selected,biggest_failure_reason,ex_ante_score_100,citations,collection_timestamp_utc,analyst_notes
1,NASA_BLACK_MARBLE_VNP46A2,NASA_BLACK_MARBLE_VNP46A2,physical_world_activity_edge,VIIRS/NPP Black Marble daily gap-filled BRDF-adjusted nighttime lights VNP46A2,NASA LAADS DAAC,Remote sensing,Cloud-screened nighttime radiance anomalies over fixed tourism-dependent resort footprints may proxy nighttime occupancy and activity while avoiding property-level collection,Positive for activity radiance; disruption-dependent negative shocks,Nights booked; geographic mix; quarterly revenue,Experimental realized activity,"500 m daily global processing, quality layers and authenticated granule archive are technically demanding and unlikely to be standard in sell-side models",Global land surface at 500 m,High if a preregistered basket covers many globally material leisure markets,Daily 500 m sinusoidal-grid tile/pixel with corrected radiance and quality flags,500 m pixel and fixed destination polygon,Daily,January 2012-present per LAADS official materials,Daily product; exact production latency and collection-specific reprocessing schedule need granule-metadata verification,2012-01-01 observation history; public product availability evidenced by NASA archive materials,Collection versions may be reprocessed; quality layers and granule production timestamps are essential,Potentially yes through collection version and granule production metadata; not yet verified from authenticated listing,LAADS archive/API after Earthdata Login; CMR metadata discovery,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/; https://www.earthdata.nasa.gov/data/catalog/lpcloud-vnp46a2-001,,,Free Earthdata Login required,EARTHDATA_TOKEN,Free,NASA open-data policy; attribution expected,No access before approved credential sync; token only in ignored .env; never log URLs/headers containing it,Clouds; moonlight; snow; fires; power outages; infrastructure changes; stray light; 500 m mixed pixels; collection reprocessing,Using a later reprocessed collection or post-cutoff granule version; fitting cloud/gap-fill thresholds on full sample,,"History spans 23/23 events, but 0/23 strict eligible until credentialed granule production/vintage audit",false,One metadata query and one granule header after credential approval,pending_sync,prospective_only,false,true,Median quality-screened radiance YoY change across fixed resort polygons minus matched resident-control polygons over the last 28 eligible days.,Fraction of valid pixels with positive YoY radiance change under identical masks.,Radiance may be dominated by stable infrastructure and environmental artifacts rather than lodging occupancy,80,https://www.earthdata.nasa.gov/s3fs-public/2023-05/LAADS%20DAAC%20Webinar%20_Final%20Presentation_4_26_23_0.pdf; https://urs.earthdata.nasa.gov/documentation/what_do_i_need_to_know; https://forum.earthdata.nasa.gov/viewtopic.php?t=4253,2026-09-03T06:40:30Z,"Raw ex-ante score 80/100, but operational rank 2 because access is pending sync and the occupancy mechanism is experimental"
2,NOAA_HMS_SMOKE,NOAA_HMS_SMOKE,physical_world_activity_edge,NOAA Hazard Mapping System daily fire and smoke analysis,NOAA NESDIS Office of Satellite and Product Operations,Remote sensing and travel disruption,"Smoke polygons and active-fire detections over destination and access-corridor footprints measure realized environmental disruption capable of suppressing trips, closures and outdoor amenity value",Negative when destination exposure rises,Nights booked; geographic mix; quarterly revenue; guidance downside risk,Disruption,Manual analyst smoke classification plus high-frequency geospatial archives are operationally awkward and usually used for air-quality rather than travel forecasting,North America including Hawaii and Caribbean,High for U.S./Canada destination basket but episodic rather than continuous,"Daily smoke polygon with start/end, density and satellite; fire point with FRP",Polygon or point intersected with fixed destination polygons,Daily with intraday updates,Smoke archive 2005-present,"Fire detections typically online by 08:00 ET and updated continuously; first smoke classification 11:00-12:00 ET, second 19:00-20:00 ET",2005 archive start; daily availability schedule documented by NOAA,Forward-processing system does not backfill gaps; 2022 system/format regime change; annual bundles were regenerated in 2025 and therefore are not literal historical vintages,Partial: dated daily operational files existed,Official KML/shapefile archive and product page; current regenerated annual bundles are not historical snapshots.,https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/,,,None,,Free,NOAA-produced data generally public domain/CC0 with attribution and no implied endorsement,No automated request until path-specific robots status is verified; cache daily files and metadata; no tactical safety inference.,Cloud cover; analyst subjectivity; satellite additions/removals; missing data not backfilled; 2022 classification/format change; regenerated archive timestamps.,Treating regenerated annual bundles as original vintages or assigning end-of-day smoke information to an earlier cutoff.,Use dated single-day operational files only; exclude annual regenerated-bundle timestamps; preserve a 2022 regime break.,"Observation history spans 23/23 events, but 0/23 are strict-eligible until daily-file availability and vintage handling are locked.",false,"One product metadata page and one single-day archive file; gate denied, so zero requests.",pending_permission,prospective_only,false,false,,,"Smoke is sparse, highly seasonal, and may proxy widely known wildfire news rather than incremental destination demand.",77,https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/Annual_Bundles/; https://www.ospo.noaa.gov/data/messages/2022/05/MSG_20220527_1253.html,2026-09-03T06:40:30Z,Conditional only after permission and daily-file provenance audit; never use regenerated annual-bundle timestamps as historical availability.
3,WSF_FERRY_RIDERSHIP,WSF_FERRY_RIDERSHIP,physical_world_activity_edge,Washington State Ferries traffic statistics rider-segment reports,Washington State Department of Transportation,Maritime and island activity,"Ferry riders—especially Anacortes/San Juan, Bainbridge, Vashon and other leisure-sensitive route segments—measure realized movement into island/coastal destinations; foot/vehicle mix and service completion help separate demand from capacity disruption",Positive for rider growth; negative for cancellations or lost sailings,Nights booked; geographic mix; quarterly revenue; next-quarter guidance,Realized travel and transport capacity,Ticket-booth operational counts split by route and fare/rider segment are less standardized than airport totals and require route-level commuter controls,Washington Puget Sound and Salish Sea; nine routes and twenty ports,"Material to a regional leisure market, not consolidated ABNB alone; best as one node in a multi-market destination-ingress mesh","Quarter-route rider totals with vehicles, vehicle passengers, foot passengers and fare categories",Route and rider segment,Quarterly dated reports; dashboard has daily/by-sailing detail,Annual 2002-present; quarterly 2009-present,"Quarter-end reports appear generated about five to ten days after period end; examples: 2020Q4 report 2021-01-05 08:33:30, 2023Q1 report 2023-04-05 16:00:02, 2025Q2 report 2025-07-05 16:00:02",2021-01-05T08:33:30-08:00 for verified sample in modeled cohort,Dated PDF snapshots appear static; dashboard may be overwritten; later corrections policy not located,Yes for dated PDF report artifacts; no conclusion yet for dashboard,Official WSDOT landing page and linked PDFs; dashboard for discovery only,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf,,,None,,Free,Public government reports; WSDOT open-data/reuse language requires source attribution and planning-use caveats; exact automation permission unresolved,No automated request until exact terms and path-specific robots rules allow it; cache exact PDFs; do not scrape reservations,Route/service changes; canceled sailings; fare collection direction; commuter mix; suspended Sidney service; altered fleet capacity; route coding changes,Using dashboard restatements or treating printed report generation time as web publication without corroboration,,Estimated 23/23 target events have a preceding completed-quarter report by cadence; exact per-report availability must be audited before eligibility,false,"One report landing page plus one dated quarterly PDF, but gate denied so zero requests",pending_permission,backtestable_now,true,false,Latest dated report strictly before cutoff: YoY change in fixed leisure-route foot passengers minus YoY change in fixed Seattle/Bainbridge and Seattle/Bremerton commuter-control foot passengers.,Use total riders instead of foot passengers with the same fixed route sets.,Single-region materiality may be too small and route counts may mostly reflect commuter/service-supply dynamics,77,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/about/data/multimodal-mobility-dashboard/dashboard/WSF/ridership-utilization.htm; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf; https://wsdot.wa.gov/sites/default/files/2021-10/WashingtonStateFerries-TrafficStatistics-2020Quarterly.pdf,2026-09-03T06:40:30Z,Operational rank 1 despite raw score tie because dated report artifacts offer the cleanest current PIT path; no ABNB outcome inspected
4,NYC_OSE_STR_SNAPSHOTS,SCW-005,supply_scarcity_web_edge,Short-Term Rental Registration annual reports and dated registration datasets,NYC Mayor's Office of Special Enforcement,supply,Registrations granted less refusals/revocations measure legally executable host supply under Local Law 18.,More active registrations/net approvals should raise legal supply and potential nights; more revocations/refusals should lower it.,nights booked; revenue; geographic mix; next-quarter guidance,supply,Registration determinations and processing friction are hard to normalize and arrive outside standard hotel/airline datasets.,New York City; annual council-district aggregates and registration-level snapshots,"NYC is a major global destination, though Local Law 18 sharply changed the addressable STR market.",registration/application/renewal or annual aggregate count,registration record and fiscal-year council district,annual_reports_plus_irregular_snapshots,FY23 onward; registration regime opened March 2023; dated snapshot verified Jan. 7 2026,Annual report due around Sep. 1 for year ended June 30; dated snapshot publication schedule appears irregular.,2023-09-15,Annual append-only reports; downloaded registration files are dated snapshots.,yes,Official report PDFs and dated downloadable datasets; aggregate before retention.,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,https://www.nyc.gov/home/terms-of-use.page,https://www.nyc.gov/robots.txt,none,,free,Public government records; exact automation licence not established,No direct request until terms and robots affirm intended paths; do not retain address/unit/listing URL or host information; retain borough/council-district aggregates only.,Major policy regime break in Sep. 2023; short history; status definitions and renewal wave change in Oct. 2026.,Current status snapshots can overwrite historical states; treating 2026 file as 2023 supply would leak.,Use only a dated snapshot/report actually published before cutoff; never infer pre-regime observations; keep annual and snapshot series separate.,Approximately 11 of 23 guidance events have post-regime context; high-frequency snapshots only verified in 2026.,false,After permission resolution: one annual report plus one dated snapshot; retain only aggregate counts and release metadata.,pending_permission,backtestable_now,true,false,"Percent change in unique active registration numbers between consecutive dated OSE snapshots released strictly before the cutoff, aggregated citywide and never retaining addresses or listing identifiers.",Use the grant-to-application ratio from the latest dated annual registration report strictly before the cutoff.,The regime is too new and NYC's legal home-share segment may be too small to explain consolidated ABNB.,74,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page | https://www.nyc.gov/site/specialenforcement/about/data-reports.page | https://www.nyc.gov/site/specialenforcement/registration-law/enforcement.page | https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=584F2A6A-6793-480E-A315-F0C8BDA98092&ID=4950986,2026-09-03T06:33:17Z,
5,ORANGE_FL_TDT_RELEASES,SCW-006,supply_scarcity_web_edge,Tourist Development Tax monthly collections,"Orange County Comptroller, Florida",realized_travel_and_price,Tax remittances capture realized paid transient-lodging receipts in Orlando before many conventional annual statistics.,Higher year-on-year TDT receipts imply stronger realized destination lodging demand and potentially higher ABNB revenue/nights.,quarterly revenue; nights booked; U.S. leisure demand; guidance direction,realized_travel_and_price,Release-specific county tax receipts are scattered across dated PDFs and require vintage-safe parsing; often omitted from national tourism models.,"Orange County/Orlando, Florida","Orlando is a very large leisure destination with meaningful STR and theme-park demand, but one county cannot represent consolidated ABNB.",USD TDT collections per collection month,county-month,monthly,Official indexed PDFs verified from at least Apr. 2019 through Oct. 2025/2026 reporting cycle,Typically roughly 1-2 months after collection month; many PDFs include exact FOR RELEASE ON time.,2019-04,Separate release PDFs; some later reports contain historical comparisons but the original files remain available.,yes,Official monthly PDF archive/quick links and fiscal-year XLSX remittance files.,https://www.occompt.com/quicklinks.aspx?CID=39,,https://www.occompt.com/robots.txt,none,,free,Public official reports; exact site licence/automation terms not located,No automated request until exact terms and robots allow; cache original PDFs; redistribution terms unresolved.,Tax rate/budget changes; late or amended remittances; platform tax-collection policy; hotel-heavy mix; hurricanes/theme-park closures; collection-month versus booking-month lag.,Using a later cumulative table or current workbook could silently include revisions; using collection month before release leaks.,"Use the original report release timestamp, not file metadata; latest release must be strictly before cutoff; prefer monthly actual, not cumulative restatement.",Likely 23/23 events have at least one prior monthly release; exact event-level audit remains required.,false,After permission resolution: quick-links index plus one monthly PDF with explicit release timestamp; cache and checksum both.,pending_permission,backtestable_now,true,false,YoY percent change in the trailing three-month sum of Orange County TDT collections from PDFs released strictly before the cutoff.,Use the latest single released collection month YoY instead of the trailing three-month sum.,TDT is a lagging all-lodging/price signal dominated by hotels and theme parks rather than an early Airbnb-specific signal.,73,https://www.occompt.com/quicklinks.aspx?CID=39 | https://www.occompt.com/DocumentCenter/View/19761/2019-04-April-TDT_Collection-PDF | https://www.occompt.com/DocumentCenter/View/19745/2020-05-May-TDT_Collection-PDF | https://www.occompt.com/DocumentCenter/View/19735/2021-12-December-TDT_Collection-PDF,2026-09-03T06:33:17Z,
6,VANCOUVER_STR_LICENSES,SCW-004,supply_scarcity_web_edge,Business licences filtered to Short-term Rental Operator,City of Vancouver Open Data Portal,supply,"Licence issuance, expiry and non-renewal measure legal active host supply and regulatory attrition.",Faster net issuance or renewal survival should increase legal supply/nights; expiry attrition should reduce them.,active host supply; nights booked; geographic mix; revenue,supply,"Annual folder years, licence revisions and local-area detail are operational records that require careful event reconstruction and privacy aggregation.","Vancouver, British Columbia; local area","Major international urban destination, but one Canadian city is a limited share of ABNB.",licence record,licence-local-area-year with issue/expiry timestamps,continuous_extract_with_annual_folderyear,Folder years visible at least 2024-2025; full API may contain additional years but was not requested.,Current extract refreshed periodically; exact lag from licence system to portal unverified.,unverified,Current extract contains historical event dates and licence revision numbers but extractdate is 2026.,partial,OpenDataSoft Explore API filter on businesstype; no-key.,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,https://vancouver.ca/your-government/terms-of-use.aspx,https://opendata.vancouver.ca/robots.txt,none,,free,Open Government Licence – Vancouver,Terms permit Open Data use; exact robots allowance for API path is unresolved; collect only licence type/status/dates/local area and exclude names/addresses.,Annual licence-type taxonomy changes; business-type consolidation; revisions; current extract survivorship; non-renewal may reflect data cleanup.,A 2026 extract can revise or omit licences that existed at historical cutoffs.,Require archived extracts or provider confirmation that issue/expiry events are append-only; otherwise prospective snapshots only.,0/23 verified from current extract; event dates span the cohort in principle.,false,"After robots resolution: one API call limit=2 filtered to Short-term Rental Operator, excluding personal/address fields.",pending_permission,prospective_only,false,false,,,Historical status survivorship cannot be ruled out from the present extract.,72,https://opendata.vancouver.ca/explore/dataset/business-licences/api/ | https://vancouver.ca/your-government/terms-of-use.aspx | https://council.vancouver.ca/20230510/documents/cfsc3_000.pdf,2026-09-03T06:33:17Z,
7,NPS_VISITOR_USE,NPS_VISITOR_USE,physical_world_activity_edge,NPS Visitor Use Statistics monthly visitation and overnight stays,National Park Service Social Science Program,Physical tourism-presence mesh,"Monthly recreation visits, visitor hours and overnight-stay categories across tourism-dependent parks directly measure realized leisure presence and park lodging/camping pressure",Positive,Nights booked; geographic mix; quarterly revenue,Realized travel and overnight activity,Park counting procedures vary and require a fixed park basket plus procedure-change controls; this complexity and noncommercial portal reduce standard investor use,More than 400 U.S. national parks; monthly standardized series from 1979,Potentially broad U.S. leisure coverage but only park-adjacent demand,"Park-month recreation visits, recreation visitor hours and multiple overnight-stay categories",Park-month,Monthly,Monthly 1979-present; annual recreation visits 1904-present,Preliminary monthly data generally available by the 15th of following month; parks can edit until calendar year is finalized in Q1 of following year,Monthly series available from 1979; API/service public by at least 2010 Data.gov catalog,Preliminary values revised until annual finalization; final annual tables locked afterward,No public API vintage endpoint identified; current API likely returns latest/finalized values,NPS IRMA REST Stats service and custom query portal,https://irmaservices.nps.gov/v3/rest/Stats/help; https://home.nps.gov/subjects/socialscience/statistics-faq.htm,,,None,,Free,U.S. federal public data; attribution and DOI/citation where supplied,No automated request until path-specific robots status is verified; use aggregate park data only,Counter equipment failures; estimated data; procedure changes; closures; vehicle-to-person factors; park redesignations; double visits,Backfilling a preliminary historical month with its later finalized value; ignoring counting-procedure changes,,History spans 23/23 events; 0/23 recent-month observations strict eligible without archived preliminary vintages; finalized prior-year values may be eligible with conservative Q1-finalization evidence,false,One API help response and one park-month row,pending_permission,prospective_only,false,false,,,Lack of preliminary vintages means the most decision-relevant recent months cannot yet meet strict cutoff rules,71,https://home.nps.gov/subjects/socialscience/visitor-use-statistics-dashboard.htm; https://home.nps.gov/subjects/socialscience/statistics-faq.htm; https://irmaservices.nps.gov/v3/rest/Stats/help,2026-09-03T06:40:30Z,"Strong mechanism, but current-history API alone is insufficient for historical guidance replay"
8,NYC_OSE_ENFORCEMENT_REPORTS,SCW-010,supply_scarcity_web_edge,Annual Reports of Short-Term Rental Enforcement,NYC Mayor's Office of Special Enforcement,supply_withdrawal_and_regulatory_friction,"Complaints, inspections, summonses and violations measure regulatory friction and forced supply withdrawal.","Higher enforcement intensity should reduce illegal active supply and potential nights, conditional on reporting and policy changes.",nights booked; revenue; active supply; geographic mix,supply_withdrawal_and_regulatory_friction,"Municipal enforcement intensity is policy-specific, annual, and rarely standardized in travel-demand models.",New York City; borough/city aggregates," ""NYC is globally important but its post-2023 legal market is unusually constrained.""",annual complaint/inspection/summons/violation count,city or borough-year,annual,Official page lists annual enforcement reports 2016-2024; FY26 release announced separately.,Annual; exact publication date varies and must be verified per report.,2016,Separate annual report PDFs retained by the agency.,yes,Official annual report PDF downloads.,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,https://www.nyc.gov/home/terms-of-use.page,https://www.nyc.gov/robots.txt,none,,free,Official page states materials are available for public and research use; automation terms unresolved,No direct automated request until terms and robots resolve; aggregate only; no respondent or address data.,"Enforcement priorities, complaint channels, staffing and Local Law 18 create structural breaks; annual frequency.",Later reports may restate earlier totals; report-year values are not available until publication.,Use the first published annual report strictly before cutoff; preserve report version; do not backdate report-year totals.,All 23 events have some previously published annual enforcement context in principle; exact release calendar audit required.,false,After permission resolution: report index plus one annual report PDF; cache and checksum.,pending_permission,backtestable_now,false,false,,,Annual policy-driven counts may measure enforcement effort rather than economically material supply removal.,68,https://www.nyc.gov/site/specialenforcement/about/data-reports.page | https://www.nyc.gov/site/specialenforcement/news/new-yorkers-registered-to-host-surpassed-3500-for-first-time.page,2026-09-03T06:33:17Z,
9,FTA_NTD_MONTHLY_RIDERSHIP,FTA_NTD_MONTHLY_RIDERSHIP,physical_world_activity_edge,Raw Monthly Ridership no adjustments or estimates,Federal Transit Administration National Transit Database,Physical tourism-presence mesh,"Unlinked passenger trips on fixed airport-rail, ferry, inclined-plane and tourism-sensitive transit modes can proxy realized urban arrivals while system bus/heavy-rail totals act as local commuter controls",Positive for tourist-mode residual,Nights booked; domestic geographic mix; quarterly revenue,Realized travel,"The NTD is familiar, but constructing fixed tourism-mode residuals across agencies and separating service supply from trips is uncommon in sell-side lodging models",United States urban full reporters,High U.S. city coverage but no station-level segmentation,"Agency-mode-month unlinked passenger trips, vehicle revenue miles/hours and vehicles operated in maximum service",Agency-mode-month,Monthly,Monthly time series back to 2002; current modal time-series file from 2014-present,Published on fixed monthly cycle around the 4th-7th with a two-month lag; reporters submit by end of following month,At least 2002 for monthly ridership history,Raw file has no estimates/adjustments but reporters can correct submissions; complete file includes estimates and historical adjustments; current file overwritten monthly,No dated public release-vintage archive identified,FTA downloadable Excel/CSV products and DOT data portal,https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/data-product/monthly-modal-time-series-safety-and-service,,,None,,Free,U.S. federal open-data products,No automated request until path-specific robots status is verified; prefer raw file; cache each monthly release prospectively,Agency/mode reporting changes; service cuts; late reporters; unlinked-trip double counting; pandemic regime; no station detail,Using current corrected raw file as if it were the historical release; using estimated complete file without vintage proof,,"History spans 23/23 events, but 0/23 strict eligible until dated historical raw releases are located; prospective collector can establish vintages",false,Landing page and header of one raw release file,pending_permission,prospective_only,false,false,,,Two-month lag and no station detail may leave little incremental information after broader mobility/transport data,67,https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/ntd-data-products-frequently-asked-questions-0; https://www.transit.dot.gov/sites/fta.dot.gov/files/2024-11/2024%20NTD%20Annual%20Reporting%20User%20Guide.pdf,2026-09-03T06:40:30Z,Best treated as a broad control unless historical releases are recovered
10,NOLA_STR_PERMIT_EVENTS,SCW-002,supply_scarcity_web_edge,Short-Term Rental Permit Applications,City of New Orleans Department of Safety and Permits,supply,"Applications, approvals, expirations and denials map the legal STR supply pipeline.",Rising net issuance and renewal survival should increase active supply/nights; denials and expirations should reduce them.,active supply; nights booked; revenue; U.S. geographic mix,supply,Application workflow events are city operational exhaust and require de-duplication of reapplications and conservative availability rules.,"New Orleans, Louisiana","A material event/leisure market, but small relative to consolidated ABNB and highly seasonal.",permit application,permit-event date; aggregate to quarter/city,near_daily_current_portal,Applications shown from May 2017 onward.,Current portal refreshed frequently; exact event-to-publication lag unverified.,2017-05-04,Application/issue/expiration dates plus overwritten current status; no changelog archive.,partial,Socrata SODA API view en36-xvxg and CSV export.,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,https://data.nola.gov/robots.txt,none,,free,Portal marks public access; exact dataset licence/automation terms unresolved,No direct request until terms and robots allow; exclude owner/operator/contact/address fields; aggregate by quarter and permit type.,"Duplicate/re-filed applications, policy changes in 2023, corrected permit types, overwritten status, missing expiry/issue dates.",Current statuses and disappeared rows can create survivorship; event dates do not prove public availability on those dates.,Use application/issue dates only after prompt publication or archived snapshots are proven; never reconstruct historical active stock from current status.,Event dates cover 23/23 in principle; 0/23 publication timing verified.,false,After permission resolution: one two-row SODA projection containing only permit type/status and event dates.,pending_permission,prospective_only,false,false,,,A present extract may not preserve the historical state or prove when each event was public.,66,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh | https://data.nola.gov/w/en36-xvxg/szxj-vdyi | https://data.nola.gov/stories/s/Examining-Short-Term-Rentals-in-New-Orleans/6kd7-6nca/,2026-09-03T06:33:17Z,
