source_id,planned_endpoint_or_file,planned_request_count,actual_request_count,collection_utc,http_status,response_checksum,cache_path,selectors_or_fields,decision,stop_reason
NASA_BLACK_MARBLE_VNP46A2,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/; https://www.earthdata.nasa.gov/data/catalog/lpcloud-vnp46a2-001,2,0,,,,,One metadata query and one granule header after credential approval,not_collected,Deterministic gate blocked: Robots guidance unclear and authentication required
NOAA_HMS_SMOKE,https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/,2,0,,,,,"One product metadata page and one single-day archive file; gate denied, so zero requests.",not_collected,Deterministic gate blocked: Robots guidance unclear
WSF_FERRY_RIDERSHIP,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf,2,0,,,,,"One report landing page plus one dated quarterly PDF, but gate denied so zero requests",not_collected,Deterministic gate blocked: Terms do not clearly permit automation; robots guidance unclear
NYC_OSE_STR_SNAPSHOTS,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,2,0,,,,,After permission resolution: one annual report plus one dated snapshot; retain only aggregate counts and release metadata.,not_collected,Deterministic gate blocked: terms do not clearly permit automation | robots guidance does not clearly allow the intended paths
ORANGE_FL_TDT_RELEASES,https://www.occompt.com/quicklinks.aspx?CID=39,2,0,,,,,After permission resolution: quick-links index plus one monthly PDF with explicit release timestamp; cache and checksum both.,not_collected,Deterministic gate blocked: terms URL is missing | terms do not clearly permit automation | robots guidance does not clearly allow the intended paths
VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,2,0,,,,,"After robots resolution: one API call limit=2 filtered to Short-term Rental Operator, excluding personal/address fields.",not_collected,Deterministic gate blocked: robots guidance does not clearly allow the intended API path
NPS_VISITOR_USE,https://irmaservices.nps.gov/v3/rest/Stats/help; https://home.nps.gov/subjects/socialscience/statistics-faq.htm,2,0,,,,,One API help response and one park-month row,not_collected,Deterministic gate blocked: Robots guidance unclear
NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,2,0,,,,,After permission resolution: report index plus one annual report PDF; cache and checksum.,not_collected,Deterministic gate blocked: terms do not clearly permit automation | robots guidance does not clearly allow the intended paths
FTA_NTD_MONTHLY_RIDERSHIP,https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/data-product/monthly-modal-time-series-safety-and-service,2,0,,,,,Landing page and header of one raw release file,not_collected,Deterministic gate blocked: Robots guidance unclear
NOLA_STR_PERMIT_EVENTS,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,2,0,,,,,After permission resolution: one two-row SODA projection containing only permit type/status and event dates.,not_collected,Deterministic gate blocked: terms do not clearly permit automation | robots guidance does not clearly allow the intended paths
NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,2,0,,,,,After permission resolution: one two-row SODA projection with agency/type/event dates/counts only.,not_collected,Deterministic gate blocked: terms do not clearly permit automation | robots guidance does not clearly allow the intended paths
SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/datasets/stro-licenses/,2,0,,,,,"After robots resolution: one CSV or MapServer query returning only tier, planning area and expiration for at most two records.",not_collected,Deterministic gate blocked: robots guidance does not clearly allow the intended paths
MARINECADASTRE_AIS,https://marinecadastre.gov/ais/; https://marinecadastre.gov/accessais/,2,0,,,,,One bulk index and one tiny pre-aggregated port-day if service returns,not_collected,Deterministic gate blocked: Robots guidance unclear; subset service unavailable
NYC_311_TOURISM_STRESS,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9; https://opendata.cityofnewyork.us/311-service-requests-from-2010-to-present-updates/,2,0,,,,,"One metadata response plus one server-side aggregate count with no location microdata; gate denied, so zero requests.",not_collected,Deterministic gate blocked: Robots guidance unclear
MELB_PED_HOURLY,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/information/; https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-sensor-locations/,2,0,,,,,One metadata page and one row,not_collected,Deterministic gate blocked: Terms do not clearly permit automation; robots guidance unclear
