scenario,year,basis,nights_total,blended_adr,blended_take_pct,rev_total,dm13_revenue,rev_vs_dm13_musd,new_business_rev_share_pct,seats_share_pct,hotel_share_pct
Bear,2025,actual total; line split assumed,533.0,171.29455909943715,13.407447973713033,12241.0,12241.0,,,,
Bear,2026,1H26 actual + forecast,579.0973809959089,179.16220884548545,13.41236239126262,13915.643306144342,13933.34896091384,-17.705654769497414,3.5976149057291305,1.5196062508288515,3.8749959396135707
Bear,2027,forecast,611.2228428485834,176.66954065542305,13.105691336556173,14152.10987280856,14180.974130696897,-28.864257888337306,4.1492038126932185,1.817849453945169,4.258741358337689
Bear,2028,annual growth (13 FY28 conventions),641.7839849910125,178.3471820652791,13.008248272162039,14949.288480751244,14970.670879315685,-21.382398564441246,5.0565192098272975,2.0775422330801936,4.704895214925446
Base,2025,actual total; line split assumed,533.0,171.29455909943715,13.407447973713033,12241.0,12241.0,,,,
Base,2026,1H26 actual + forecast,585.6972685563485,180.28383603656368,13.435082870866628,14186.33916183238,14232.53180246914,-46.19264063676019,4.155709226418599,1.9350155689249187,4.310247179780255
Base,2027,forecast,637.644504969055,184.88060471115975,13.239543869482837,15727.846937424314,15842.035910510536,-114.18897308622218,6.06708120879661,2.8507699252673633,5.146833344324466
Base,2028,annual growth (13 FY28 conventions),688.6560653665795,189.12111637002135,13.294361912431752,17664.497704017194,17947.13582233434,-282.638118317147,8.490991216541127,3.991671644430553,5.956983037412576
Bull,2025,actual total; line split assumed,533.0,171.29455909943715,13.407447973713033,12241.0,12241.0,,,,
Bull,2026,1H26 actual + forecast,591.8111034965035,181.43529982584963,13.457597138678649,14450.15212286863,14526.58234767154,-76.43022480290892,4.72657101591703,2.3881494027117105,4.739688024485623
Bull,2027,forecast,660.8910774203026,190.95328612113474,13.39677924736131,17156.644714181322,17420.63249368946,-263.98777950813746,8.202315663385862,4.287141149480879,6.154191120079802
Bull,2028,annual growth (13 FY28 conventions),723.6757297752314,196.2174261019721,13.589967012863031,19997.452688030804,20874.231493168933,-876.7788051381285,12.902858934633516,7.102628689228597,7.868372208321207
