scenario,walk,order,term,value_pts,kind
bear,q4,0,4Q25 adj. EBITDA margin,28.3,start
bear,q4,1,Revenue per night: ADR ex-FX,1.36,step
bear,q4,2,Revenue per night: FX,-0.29,step
bear,q4,3,Revenue per night: Take-rate / timing,-1.36,step
bear,q4,4,Cost of revenue per night,-0.99,step
bear,q4,5,Ops & support per night,0.31,step
bear,q4,6,Product dev (cash) per night,-0.62,step
bear,q4,7,Brand & perf marketing per night,-2.37,step
bear,q4,8,Field ops & policy (cash) per night,-0.65,step
bear,q4,9,G&A (cash) per night,0.18,step
bear,q4,10,D&A and add-backs,-0.15,step
bear,q4,11,4Q26 adj. EBITDA margin,23.69,end
bear,fy,0,FY26 adj. EBITDA margin,34.01,start
bear,fy,1,Revenue per night: ADR ex-FX,0.62,step
bear,fy,2,Revenue per night: FX,-1.64,step
bear,fy,3,Revenue per night: Take-rate / timing,-0.62,step
bear,fy,4,Cost of revenue per night,-0.1,step
bear,fy,5,Ops & support per night,0.27,step
bear,fy,6,Product dev (cash) per night,-0.5,step
bear,fy,7,Brand & perf marketing per night,-1.21,step
bear,fy,8,Field ops & policy (cash) per night,-0.28,step
bear,fy,9,G&A (cash) per night,0.01,step
bear,fy,10,D&A and add-backs,-0.01,step
bear,fy,11,FY27 adj. EBITDA margin,30.56,end
base,q4,0,4Q25 adj. EBITDA margin,28.3,start
base,q4,1,Revenue per night: ADR ex-FX,1.92,step
base,q4,2,Revenue per night: FX,-0.28,step
base,q4,3,Revenue per night: Take-rate / timing,-0.33,step
base,q4,4,Cost of revenue per night,-0.78,step
base,q4,5,Ops & support per night,0.52,step
base,q4,6,Product dev (cash) per night,-0.11,step
base,q4,7,Brand & perf marketing per night,-0.01,step
base,q4,8,Field ops & policy (cash) per night,-0.0,step
base,q4,9,G&A (cash) per night,0.66,step
base,q4,10,D&A and add-backs,-0.19,step
base,q4,11,4Q26 adj. EBITDA margin,29.7,end
base,fy,0,FY26 adj. EBITDA margin,36.19,start
base,fy,1,Revenue per night: ADR ex-FX,1.81,step
base,fy,2,Revenue per night: FX,-0.37,step
base,fy,3,Revenue per night: Take-rate / timing,0.0,step
base,fy,4,Cost of revenue per night,-0.55,step
base,fy,5,Ops & support per night,0.44,step
base,fy,6,Product dev (cash) per night,-0.09,step
base,fy,7,Brand & perf marketing per night,-0.88,step
base,fy,8,Field ops & policy (cash) per night,-0.29,step
base,fy,9,G&A (cash) per night,0.22,step
base,fy,10,D&A and add-backs,-0.05,step
base,fy,11,FY27 adj. EBITDA margin,36.43,end
bull,q4,0,4Q25 adj. EBITDA margin,28.3,start
bull,q4,1,Revenue per night: ADR ex-FX,2.49,step
bull,q4,2,Revenue per night: FX,-0.27,step
bull,q4,3,Revenue per night: Take-rate / timing,0.62,step
bull,q4,4,Cost of revenue per night,-0.56,step
bull,q4,5,Ops & support per night,0.72,step
bull,q4,6,Product dev (cash) per night,0.22,step
bull,q4,7,Brand & perf marketing per night,0.86,step
bull,q4,8,Field ops & policy (cash) per night,0.45,step
bull,q4,9,G&A (cash) per night,0.96,step
bull,q4,10,D&A and add-backs,-0.21,step
bull,q4,11,4Q26 adj. EBITDA margin,33.57,end
bull,fy,0,FY26 adj. EBITDA margin,38.0,start
bull,fy,1,Revenue per night: ADR ex-FX,2.18,step
bull,fy,2,Revenue per night: FX,0.53,step
bull,fy,3,Revenue per night: Take-rate / timing,0.27,step
bull,fy,4,Cost of revenue per night,-0.63,step
bull,fy,5,Ops & support per night,0.5,step
bull,fy,6,Product dev (cash) per night,0.21,step
bull,fy,7,Brand & perf marketing per night,-0.07,step
bull,fy,8,Field ops & policy (cash) per night,-0.03,step
bull,fy,9,G&A (cash) per night,0.37,step
bull,fy,10,D&A and add-backs,-0.07,step
bull,fy,11,FY27 adj. EBITDA margin,41.26,end
