scenario,multiple_x,price_on_ev_ebitda,price_on_ev_fcf,price_on_p_sbc_adj_fcf,price_on_p_earnings_proxy,upside_on_ev_ebitda_pct
Bear,12,124.06,115.81,52.17,59.31,-31.81
Bear,14,141.25,131.63,60.86,69.20,-22.36
Bear,16,158.44,147.44,69.56,79.08,-12.91
Bear,18,175.63,163.26,78.25,88.97,-3.47
Bear,20,192.82,179.07,86.95,98.85,5.98
Bear,22,210.01,194.89,95.64,108.74,15.43
Bear,24,227.20,210.70,104.34,118.62,24.88
Bear,26,244.39,226.52,113.03,128.51,34.33
Base,12,145.08,145.08,79.38,75.05,-20.26
Base,14,165.63,165.63,92.61,87.56,-8.96
Base,16,186.18,186.18,105.84,100.07,2.33
Base,18,206.73,206.73,119.06,112.58,13.62
Base,20,227.28,227.28,132.29,125.09,24.92
Base,22,247.82,247.82,145.52,137.60,36.21
Base,24,268.37,268.37,158.75,150.11,47.51
Base,26,288.92,288.92,171.98,162.61,58.80
Bull,12,165.49,172.57,106.05,91.17,-9.04
Bull,14,189.10,197.37,123.73,106.36,3.94
Bull,16,212.72,222.16,141.41,121.56,16.92
Bull,18,236.33,246.96,159.08,136.75,29.90
Bull,20,259.95,271.75,176.76,151.94,42.87
Bull,22,283.56,296.55,194.43,167.14,55.85
Bull,24,307.18,321.35,212.11,182.33,68.83
Bull,26,330.79,346.14,229.78,197.53,81.81
