quarter,reaction_date,side,excess_1d_pct,ws03_driver_class,publisher,headline,article_date,url,driver_sentence,press_driver_class,matches_ws03,verification,notes
2026Q2,2026-08-07,best,16.3,guide,Reuters (via Yahoo Finance),"Airbnb tops Q2 estimates, lifts 2026 outlook on strong travel demand",2026-08-06,https://finance.yahoo.com/news/airbnb-tops-q2-estimates-lifts-2026-outlook-strong-travel-demand/,"For the third quarter, Airbnb forecast revenue of $4.69 billion ... It also forecast a full-year adjusted EBITDA margin of at least 35.5%.",guide,yes,search-snippet,"Corroborated by MarketScreener 7 Aug 2026 (""These results allowed Airbnb to raise its full-year targets: it now expects an adjusted EBITDA margin of at least 35.5% (rather than 35%)"") and Barron's 7 Aug 2026 (""Airbnb Raises Guidance After Second-Quarter Earnings Beat""). Press leads with the raise, exactly as WS03 classified."
2026Q2,2026-08-07,best,16.3,guide,MarketScreener,Airbnb in top form after its summer results,2026-08-07,https://www.marketscreener.com/news/airbnb-in-top-form-after-its-summer-results,"$1.26 expected by the consensus, along with adjusted EBITDA up 21%, to $1.26bn, [analyst]s on average were looking for around $1.23bn.",guide,yes,search-snippet,"Second source for the same print; also independently corroborates WS04's TIKR-derived $1,225.6m 2Q26 adjusted-EBITDA consensus."
2024Q4,2025-02-14,best,14.0,KPI,Reuters,"Airbnb shares jump on strong quarterly results, expansion plans",2025-02-14,https://www.reuters.com/business/airbnb-shares-jump-strong-quarterly-results-expansion-plans-2025-02-14/,"Feb 14 (Reuters) - Airbnb shares rose as much as 13.3% in premarket trade on Friday [after strong quarterly results and expansion plans].",KPI + strategy,partial,search-snippet,"Reuters' headline pairs the KPI beat with the 2025 expansion plans, which WS03's KPI class does not capture. Corroborated by ""Airbnb Soars as Q4 Profits, Bookings Surge; Baird, Goldman Sachs Upgrade Outlook"" (14 Feb 2025) - two same-day upgrades are part of the day-1 move and appear in neither WS03 nor WS04."
2021Q3,2021-11-05,best,12.9,guide,MarketWatch (Levi Sumagaysay),"Airbnb has best quarter on record, shares turn higher after hours",2021-11-04,https://www.techmeme.com/211105/p2,"Airbnb has best quarter on record, shares turn higher after hours",KPI,no,search-snippet,"Contemporaneous coverage leads with the record reported quarter, not the accelerating Q4 GBV guide that WS03 used as the driver quote. Indexed by Techmeme on 5 Nov 2021. WS03's own press_cited_driver text already mentions the record quarter first, so the mismatch is in the driver_class label only."
2020Q4,2021-02-26,best,12.9,margin,The Globe and Mail,What every Canadian investor needs to know today,2021-02-26,https://www.theglobeandmail.com/investing/markets/inside-the-market/,"shares of Airbnb Inc. shares rose about 2 per cent in premarket trading after the company posted better-than-expected gross bookings in its [fourth quarter]",KPI,no,search-snippet,"MISMATCH. No contemporaneous outlet found attributes the +12.9% to the ""30% EBITDA margins or greater"" ambition WS03 quotes. Every same-day recap (CNBC $859m vs $748m; MarketWatch ""sales held up better than expected""; IBD) attributes it to the revenue / gross-bookings beat and the reopening narrative. The margin quote is a plausible but unsourced attribution."
2022Q4,2023-02-15,best,12.6,guide,Reuters (via Moneycontrol),Airbnb clocks first profitable year on strong travel demand,2023-02-15,https://www.moneycontrol.com/news/world/airbnb-clocks-first-profitable-year-on-strong-travel-demand-10087841.html,Airbnb clocks first profitable year on strong travel demand,profitability + guide,yes,search-snippet,"The guide leg is explicit in the same-day recaps: T3 Live 15 Feb 2023, ""Airbnb forecast Q1 revenue between $1.75 billion and $1.82 billion vs $1.68 billion expected."" CNBC/NBC 15 Feb 2023: ""the Nasdaq Composite rose 0.92%, boosted by shares of Airbnb, which surged 13.35% after beating earnings expectations."" WS03's guide class is right; the profitability milestone is the co-driver."
2024Q2,2024-08-07,worst,-12.3,macro,Reuters,Airbnb forecasts lower third-quarter revenue as economic uncertainty weighs,2024-08-06,https://www.reuters.com/markets/technology/airbnb-forecasts-lower-third-quarter-revenue-economic-uncertainty-weighs-2024-08-06/,"It expects third-quarter revenue to be between $3.67 billion and $3.73 billion, below analysts' estimate of $3.84 billion.",guide,partial,search-snippet,"IMPORTANT. Reuters' lede is the below-Street guide, not the macro sentence. This is also the source that fills WS04's single next-quarter consensus gap. CNBC's same-day headline (""Airbnb shares fall 14% on earnings miss, fear of slowing demand"") supports the macro reading as the stated CAUSE, but the mechanism the market priced was a guide 3.6% below Street - the largest in the sample. WS03's 'macro' class should be 'guide, cause macro'."
2023Q1,2023-05-10,worst,-12.0,KPI,Investing.com,"Stock market today: Dow ends lower as energy slips, but tech gains",2023-05-10,https://www.investing.com/news/stock-market-news/stock-market-today-dow-ends-lower-as-energy-slips-but-tech-gains-3068216,The company forecast bookings to grow more slowly than revenue in the second quarter,guide,partial,search-snippet,"Press frames the driver as the Q2 outlook, not the reported quarter. CNBC's midday-movers piece for 10 May 2023 uses the same framing (""second quarter and slower...""). Barron's weekend wrap (15 May 2023): ""Airbnb shares fell after it beat..."". The underlying fact is identical to WS03's quote; only the class label differs."
2022Q3,2022-11-02,worst,-10.0,KPI,Bloomberg,Airbnb Shares Fall on Muted Fourth-Quarter Bookings Forecast,2022-11-01,https://www.bloomberg.com/news/articles/2022-11-01/airbnb-sees-muted-fourth-quarter-bookings-shares-fall,Airbnb Shares Fall on Muted Fourth-Quarter Bookings Forecast,guide,no,search-snippet,"Headline is unambiguous: the driver is the Q4 bookings FORECAST, i.e. the guide. WS03 classes it as KPI. Corroborated by The Globe and Mail market movers 2 Nov 2022 (""Airbnb Inc (ABNB-Q) forecast fourth-quarter ...""). Note the Fed hiked 75bp the same day (QQQ -3.4%), which WS03 already flags and the press does not."
2024Q3,2024-11-08,worst,-8.8,investment spend,Investopedia,"Airbnb's Revenue Tops Expectations, But Profits Fall Short",2024-11-07,https://www.investopedia.com/airbnb-3q-fy-2024-earnings-8741677,"Airbnb reported third-quarter revenue that beat expectations, but profits fell short.",EPS miss / mixed quarter,partial,search-snippet,"Press stops at ""profits fell short"" and ""mixed financial results"" (Yahoo Finance stock movers, 8 Nov 2024; StockStory ""Why Airbnb (ABNB) Stock Is Trading Lower Today"", 8 Nov 2024: ""Overall, this was a mixed but weaker quarter""). No contemporaneous outlet located isolates S&M +27.5% / product development +25% as the driver. WS03's investment-spend reading is an analyst inference, defensible but not press-supported."
