period,source_name,metric,value,unit,source
2019,Skift Research,Airbnb share of global STR revenue,0.28,share,https://skift.com/2025/03/14/short-term-rentals-airbnbs-dominance-and-bookings-gains-in-1-chart/
2019,Skift Research,Booking.com share of global STR revenue,0.14,share,same
2019,Skift Research,Vrbo share of global STR revenue,0.11,share,same
2024,Skift Research,Airbnb share of global STR revenue,0.44,share,same
2024,Skift Research,Booking.com share of global STR revenue,0.18,share,same
2024,Skift Research,Vrbo share of global STR revenue,0.09,share,same
2024,Skift Research,Big-3 OTA share of global STR revenue,0.71,share,same
2024,Skift Research,Global STR revenue,183.0,USD bn,same
2025,Phocuswright (Aug 2026),Global STR gross bookings,219.9,USD bn,https://www.phocuswright.com/Travel-Research/Research-Updates/2026/shortterm-rentals-enter-a-new-phase-of-scrutiny-and-structural-growth
2029,Phocuswright (Aug 2026),Global STR gross bookings forecast (5.3% CAGR 2025-29),270.6,USD bn,same
2025,Phocuswright (Aug 2026),North America STR gross bookings (+4% y/y),78.0,USD bn,"same, via search summary; 2026 forecast $81.8bn (+5%)"
2025,Airbnb,"Airbnb GBV (all categories incl. hotels, experiences, services)",91.3,USD bn,4Q25 letter; abnb_vs_bkng_annual.csv
2025,Eurostat,"EU-27 platform STR nights (Airbnb, Booking, Expedia, Tripadvisor)",951.6,m nights (+11.4% y/y),data/processed/eurostat_platform_nights_quarterly.csv; https://logos-pres.md/en/news/new-rental-record-airbnb-effect-could-not-be-stopped/
1Q26,Eurostat,EU-27 platform STR nights y/y,0.097,growth,data/processed/eurostat_platform_nights_quarterly.csv (144.3m nights)
2026,AirDNA (Jul 2026 midyear),US STR demand growth forecast,0.027,growth,https://www.prnewswire.com/news-releases/steady-demand-and-slower-new-supply-define-us-short-term-rentals-in-2026-airdna-finds-302820776.html
2026,Vrbo,Vrbo bookable listings,2.0,m (company claim 'over 2 million'),https://www.businessofapps.com/data/vrbo-statistics/
2025,Marriott,Homes & Villas by Marriott Bonvoy homes,0.18,"m (180,000+, Aug 2025)",https://www.businesswire.com/news/home/20250814071977/en
2026,derived (bear),Airbnb implied share of global STR gross bookings,0.453,share,"Airbnb GBV $105bn (FY25 $91.3bn x nights +9.5% x ADR +5.0% path, model/assumptions.md) / Phocuswright market $232bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2027,derived (bear),Airbnb implied share of global STR gross bookings,0.452,share,"Airbnb GBV $110bn (FY25 $91.3bn x nights +6.0% x ADR -1.0% path, model/assumptions.md) / Phocuswright market $244bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2028,derived (bear),Airbnb implied share of global STR gross bookings,0.446,share,"Airbnb GBV $115bn (FY25 $91.3bn x nights +5.0% x ADR -1.0% path, model/assumptions.md) / Phocuswright market $257bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2029,derived (bear),Airbnb implied share of global STR gross bookings,0.436,share,"Airbnb GBV $118bn (FY25 $91.3bn x nights +4.0% x ADR -1.0% path, model/assumptions.md) / Phocuswright market $270bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2026,derived (base),Airbnb implied share of global STR gross bookings,0.458,share,"Airbnb GBV $106bn (FY25 $91.3bn x nights +10.0% x ADR +5.5% path, model/assumptions.md) / Phocuswright market $232bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2027,derived (base),Airbnb implied share of global STR gross bookings,0.488,share,"Airbnb GBV $119bn (FY25 $91.3bn x nights +9.0% x ADR +3.0% path, model/assumptions.md) / Phocuswright market $244bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2028,derived (base),Airbnb implied share of global STR gross bookings,0.515,share,"Airbnb GBV $132bn (FY25 $91.3bn x nights +8.0% x ADR +3.0% path, model/assumptions.md) / Phocuswright market $257bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2029,derived (base),Airbnb implied share of global STR gross bookings,0.539,share,"Airbnb GBV $146bn (FY25 $91.3bn x nights +7.0% x ADR +3.0% path, model/assumptions.md) / Phocuswright market $270bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2026,derived (bull),Airbnb implied share of global STR gross bookings,0.462,share,"Airbnb GBV $107bn (FY25 $91.3bn x nights +10.5% x ADR +6.0% path, model/assumptions.md) / Phocuswright market $232bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2027,derived (bull),Airbnb implied share of global STR gross bookings,0.502,share,"Airbnb GBV $122bn (FY25 $91.3bn x nights +10.0% x ADR +4.0% path, model/assumptions.md) / Phocuswright market $244bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2028,derived (bull),Airbnb implied share of global STR gross bookings,0.54,share,"Airbnb GBV $139bn (FY25 $91.3bn x nights +9.0% x ADR +4.0% path, model/assumptions.md) / Phocuswright market $257bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
2029,derived (bull),Airbnb implied share of global STR gross bookings,0.576,share,"Airbnb GBV $156bn (FY25 $91.3bn x nights +8.0% x ADR +4.0% path, model/assumptions.md) / Phocuswright market $270bn (5.3% CAGR from $219.9bn 2025). 2025 actual share 0.415"
