Date,ABNB,BKNG,DASH,EXPE,H,HLT,IVE,IVW,IWM,JETS,MAR,MTUM,QQQ,SPY,TRIP,UBER,UUP,XLY,^TNX,^VIX
2020-12-01,,80.399,,124.4941,72.1043,103.3978,112.5953,59.947,170.5644,22.0711,123.2117,147.2224,293.2608,338.4223,27.59,49.63,21.2077,75.6462,0.934,20.77
2020-12-02,,81.4075,,126.1215,72.5575,105.2815,113.3211,59.8893,170.7417,22.3863,123.4034,146.5068,293.6377,339.1342,28.62,53.09,21.1818,75.1735,0.948,21.17
2020-12-03,,82.1208,,125.6087,73.4837,107.6584,113.5899,59.8026,171.7033,23.2333,126.8547,146.9682,294.0533,339.0418,28.6,52.52,21.0697,75.3836,0.92,21.28
2020-12-04,,83.2332,,126.8218,74.5971,109.3251,114.8533,60.1877,175.699,23.1545,130.0088,147.731,295.2516,341.9635,30.94,54.86,21.0956,75.4552,0.969,20.79
2020-12-07,,83.38,,124.79,72.794,108.3192,114.1902,60.2262,175.8671,23.0856,127.4683,149.0587,296.9234,341.2608,30.0,53.8,21.1301,75.2833,0.928,21.3
2020-12-08,,81.7299,,124.5533,72.7152,107.5499,114.7278,60.3514,178.1263,23.125,127.0752,149.7273,297.9286,342.2594,29.49,53.01,21.156,75.1258,0.913,20.68
2020-12-09,,82.5313,189.51,127.0783,72.7841,105.2322,114.6114,59.533,176.8287,22.8196,125.0811,146.0642,291.1831,339.1897,29.39,53.79,21.1646,75.0541,0.941,22.27
2020-12-10,144.71,82.4435,186.0,128.686,73.5428,105.8831,114.3336,59.5619,178.5371,23.1053,126.3275,147.5897,292.3525,339.0788,29.38,54.35,21.1042,74.9873,0.908,22.52
2020-12-11,139.25,81.8302,175.0,121.3378,72.4984,103.2992,113.9483,59.5426,177.6595,22.6128,123.2021,147.4014,291.705,338.6812,28.41,52.63,21.156,74.6292,0.893,23.31
2020-12-14,130.0,80.9215,160.0,121.6436,69.9465,101.6226,112.7231,59.5359,177.8674,22.2484,121.3902,148.3355,293.8214,337.1648,27.53,51.46,21.0956,74.739,0.892,24.72
2020-12-15,124.8,82.1764,158.89,124.2771,71.9368,103.526,114.3188,60.3272,182.3157,22.6916,124.9757,149.7413,296.9622,341.7231,27.84,51.0,21.0266,75.7465,0.923,22.89
2020-12-16,137.99,82.2022,158.05,123.271,71.7397,102.9737,113.9311,60.5975,181.6602,22.3666,125.0524,150.4301,298.5954,342.2594,27.32,50.49,21.0008,76.243,0.92,22.5
2020-12-17,147.05,82.7788,154.21,122.7779,72.0649,103.2597,114.5983,60.9449,183.8235,22.4158,124.9086,152.4494,300.5474,344.1732,26.75,50.63,20.8887,76.7635,0.93,21.93
2020-12-18,157.3,82.2391,166.35,123.8234,71.8186,103.171,113.9221,60.8677,182.9339,22.1893,123.4993,152.7701,299.639,342.799,26.99,50.62,20.9146,76.3911,0.948,21.57
2020-12-21,163.02,81.0072,160.23,121.6732,71.2865,102.5595,113.4714,60.6457,182.8401,21.6772,122.0613,152.6758,299.0785,341.5733,26.05,51.8,20.9577,75.5281,0.941,25.16
2020-12-22,163.19,80.4048,156.79,121.4661,70.2717,101.5338,112.5698,60.8098,184.9192,21.3325,121.045,153.6571,299.8917,340.9976,25.88,53.78,21.0697,75.2028,0.918,24.23
2020-12-23,158.01,82.2861,158.22,124.7604,71.8383,105.0448,113.4082,60.5106,186.4925,21.9037,123.298,152.1757,298.3814,341.3041,26.12,53.71,20.9749,75.3655,0.955,23.31
2020-12-24,154.84,81.7965,158.46,125.224,71.7496,105.4196,113.7058,60.8291,186.3708,21.8249,123.4322,152.6097,299.698,342.6318,26.0,52.88,20.9922,75.5233,0.928,21.53
2020-12-28,149.0,83.738,147.89,126.7232,72.1536,105.9029,114.2106,61.5529,185.6777,21.9923,123.02,151.921,302.7186,345.5754,27.21,51.97,20.9922,76.3844,0.933,21.7
2020-12-29,150.0,85.5977,141.27,129.5046,71.8678,106.465,114.0033,61.4274,182.0816,21.9027,123.6719,151.4775,302.9897,344.9161,27.75,52.27,20.9232,76.4083,0.935,23.08
2020-12-30,148.43,86.3756,140.2,130.3134,72.5575,108.6644,114.4901,61.3599,183.9359,22.1391,125.0811,152.0342,302.9994,345.4082,28.07,53.15,20.837,76.8675,0.926,22.77
