index,target,method,window,n,pearson_r,perm_p,loo_rmse,loo_mean_rmse,wf_n,wf_first,wf_last,wf_rmse,wf_rmse_naive,wf_rmse_ar1,wf_rmse_prior_year,wf_ratio_vs_naive,wf_ratio_vs_ar1,wf_ratio_vs_prior_year,wf_sign_acc,wf_sign_acc_ar1,wf_sign_n,last_weights
Demand index (equal-weight z),nights_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.8568274246001909,0.0,8.881422260411947,12.494090695661635,14,2023Q1,2026Q2,5.013346281428024,2.8766200777003164,3.9731774728756766,12.303396798677765,1.7427905479391255,1.261797721257969,0.40747659881755616,0.5714285714285714,0.35714285714285715,14,
Demand index (equal-weight z),nights_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.3915831866174543,0.17,3.156609062273787,3.026527590232389,10,2024Q1,2026Q2,3.6015448062007627,2.1591433023308118,2.274257911327153,3.668825534145771,1.668043432926785,1.5836131813647583,0.9816615079352162,0.5,0.6,10,
Demand index (equal-weight z),nights_yoy,"NNLS weights, expanding",,,,,,,12,2023Q3,2026Q2,3.1741461206412067,2.1492407768015824,3.0759228139862316,5.2790122339947905,1.4768685551205896,1.0319329556022516,,0.3333333333333333,,12,tr_ww_airbnb_yoy:0.63
Demand index (equal-weight z),gbv_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.8336579015147412,0.0,10.520097066757407,13.792831126761085,14,2023Q1,2026Q2,6.314908546012081,3.6624310037382077,4.759345270870723,14.84645803117459,1.7242395937470263,1.326843964160803,0.4253478191735724,0.5714285714285714,0.42857142857142855,14,
Demand index (equal-weight z),gbv_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.32214471392209953,0.287,3.789526756150863,3.6047078922106404,10,2024Q1,2026Q2,4.408954101268322,3.4232519334691105,3.878117183801887,5.678456295508489,1.2879432150938144,1.136880061201769,0.776435332390546,0.5,0.5,10,
Demand index (equal-weight z),gbv_yoy,"NNLS weights, expanding",,,,,,,12,2023Q3,2026Q2,5.241127391168848,3.5113341718877553,3.7910609466851315,6.67150052461963,1.4926313288920392,1.3824962101312672,,0.4166666666666667,,12,tr_ww_airbnb_yoy:2.72
Demand index (equal-weight z),rev_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.9185227488163542,0.0,8.093045328407305,17.146127892396642,14,2023Q1,2026Q2,7.0893006102296905,3.8245266934055286,3.5026224280819482,18.23256512985174,1.853641294347213,2.023997948905907,0.38882628745543596,0.7142857142857143,0.7142857142857143,14,
Demand index (equal-weight z),rev_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.5011073932764312,0.093,4.35528641130531,4.417228366723525,10,2024Q1,2026Q2,5.530380386709388,4.289404678973528,4.365975387181369,6.669190880459189,1.2893118744004426,1.266699854274659,0.829243079983431,0.7,0.6,10,
Demand index (equal-weight z),rev_yoy,"NNLS weights, expanding",,,,,,,12,2023Q3,2026Q2,7.123062386266813,3.9311017327631363,3.642292761230853,7.220201197565988,1.811976099957117,1.9556534450184315,,0.5833333333333334,,12,tr_ww_airbnb_yoy:1.40
"Demand index, z baseline from 2023Q1",nights_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",11.0,0.3609784224640024,0.261,1.7342118768690997,1.6364499870145746,7,2024Q4,2026Q2,1.8437489099117172,2.377357506620684,2.334710627487647,1.7171161039037854,0.7755454973755843,0.789711961818477,1.073747375451222,0.8571428571428571,0.5714285714285714,7,
"Demand index, z baseline from 2023Q1",nights_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",11.0,0.3609784224640024,0.261,1.7342118768690997,1.6364499870145746,7,2024Q4,2026Q2,1.8437489099117172,2.377357506620684,1.8558025261745896,1.7171161039037854,0.7755454973755843,0.9935049036237068,1.073747375451222,0.8571428571428571,0.8571428571428571,7,
"Demand index, z baseline from 2023Q1",nights_yoy,"NNLS weights, expanding",,,,,,,5,2025Q2,2026Q2,0.9690992973338033,0.9993068597783168,1.7009973833801755,1.8996623384170148,0.9697714849558676,0.569724155252982,,0.6,,5,eu_platform_yoy_lag1:0.03|pr_hotel_revpar_yoy:0.00|tr_ww_airbnb_yoy:0.71
"Demand index, z baseline from 2023Q1",gbv_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",11.0,0.44787078833025146,0.146,3.6511737137432743,3.5406691006079622,7,2024Q4,2026Q2,3.851966248785893,3.9225002412819743,3.475128191311126,5.662548782508254,0.9820181037202361,1.1084386062122764,0.680253079794157,0.7142857142857143,0.7142857142857143,7,
"Demand index, z baseline from 2023Q1",gbv_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",11.0,0.44787078833025146,0.146,3.6511737137432743,3.5406691006079622,7,2024Q4,2026Q2,3.851966248785893,3.9225002412819743,3.657959613447442,5.662548782508254,0.9820181037202361,1.0530368445362932,0.680253079794157,0.7142857142857143,0.7142857142857143,7,
"Demand index, z baseline from 2023Q1",gbv_yoy,"NNLS weights, expanding",,,,,,,5,2025Q2,2026Q2,3.573726121733536,3.189871219971114,2.286388012544415,6.246504590569033,1.120335548143507,1.56304446232488,,0.8,,5,mx_bea_hotels_nominal_yoy:0.52|tr_ww_airbnb_yoy:2.66
"Demand index, z baseline from 2023Q1",rev_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",11.0,0.5477591274590536,0.077,4.0661597676977745,4.049601402607422,7,2024Q4,2026Q2,3.48286086193278,4.312610561729735,3.966677682781889,6.7576525932773865,0.8075992051867181,0.8780297116276407,0.5153950745259651,1.0,0.7142857142857143,7,
"Demand index, z baseline from 2023Q1",rev_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",11.0,0.5477591274590536,0.077,4.0661597676977745,4.049601402607422,7,2024Q4,2026Q2,3.48286086193278,4.312610561729735,4.3417775394649905,6.7576525932773865,0.8075992051867181,0.8021739553155344,0.5153950745259651,1.0,0.5714285714285714,7,
"Demand index, z baseline from 2023Q1",rev_yoy,"NNLS weights, expanding",,,,,,,5,2025Q2,2026Q2,4.590228838227445,4.322168899985284,3.8506498244030456,5.6297223199728075,1.0620197739711361,1.192066027177388,,0.6,,5,mx_bea_hotels_nominal_yoy:0.95|tr_ww_airbnb_yoy:1.18
Demand index ex Inside Airbnb,nights_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.865244065741076,0.0,8.790581828098878,12.494090695661635,14,2023Q1,2026Q2,4.651368263513465,2.8766200777003164,3.9731774728756766,12.303396798677765,1.6169560588035499,1.1706922973533656,0.37805561664184834,0.5714285714285714,0.35714285714285715,14,
Demand index ex Inside Airbnb,nights_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.36992759358423144,0.186,3.2117211385716864,3.026527590232389,10,2024Q1,2026Q2,3.463370118837354,2.1591433023308118,2.274257911327153,3.668825534145771,1.6040482885497314,1.5228572368981184,0.9439996769003478,0.4,0.6,10,
Demand index ex Inside Airbnb,gbv_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.832775397896492,0.0,10.649056449876975,13.792831126761085,14,2023Q1,2026Q2,6.280896958407431,3.6624310037382077,4.759345270870723,14.84645803117459,1.714952978498866,1.3196976896904855,0.42305693015928814,0.5,0.42857142857142855,14,
Demand index ex Inside Airbnb,gbv_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.14668236093600606,0.632,3.9243633831544082,3.6047078922106404,10,2024Q1,2026Q2,4.4749281975847905,3.4232519334691105,3.878117183801887,5.678456295508489,1.3072155612718563,1.1538919494943738,0.7880536478064192,0.5,0.5,10,
Demand index ex Inside Airbnb,rev_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.9175607583059401,0.0,8.109425002275772,17.146127892396642,14,2023Q1,2026Q2,7.090517228762019,3.8245266934055286,3.5026224280819482,18.23256512985174,1.8539594039147123,2.024345293947318,0.3888930152320085,0.6428571428571429,0.7142857142857143,14,
Demand index ex Inside Airbnb,rev_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.33682182943836236,0.262,4.729667522817392,4.417228366723525,10,2024Q1,2026Q2,5.476647770125928,4.289404678973528,4.365975387181369,6.669190880459189,1.2767850506090537,1.2543927265841959,0.8211862380746326,0.7,0.6,10,
Supply index (equal-weight z),nights_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",9.0,-0.1181049735831422,0.724,1.5815411926238838,1.5597381490974696,5,2025Q2,2026Q2,1.1730318332903165,0.9993068597783168,1.7009973833801755,1.8996623384170148,1.173845472801556,0.6896141315392853,0.6174949145266531,0.4,0.6,5,
Supply index (equal-weight z),nights_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",9.0,-0.1181049735831422,0.724,1.5815411926238838,1.5597381490974696,5,2025Q2,2026Q2,1.1730318332903165,0.9993068597783168,1.3125266565905054,1.8996623384170148,1.173845472801556,0.8937203883823978,0.6174949145266531,0.4,0.8,5,
Supply index (equal-weight z),adr_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",9.0,-0.2934066408835741,0.468,3.213208538547272,3.223729449333489,5,2025Q2,2026Q2,4.423151986873553,2.9242147663945617,3.6456459311502045,5.309459162664311,1.512594778504289,1.2132697662929777,0.833070158628736,0.4,0.4,5,
Supply index (equal-weight z),adr_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",9.0,-0.2934066408835741,0.468,3.213208538547272,3.223729449333489,5,2025Q2,2026Q2,4.423151986873553,2.9242147663945617,3.541060331612528,5.309459162664311,1.512594778504289,1.2491038199451796,0.833070158628736,0.4,0.2,5,
Price index (equal-weight z),adr_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.5952897566723032,0.008,2.302502937848367,2.6142100667996058,14,2023Q1,2026Q2,2.091801308439605,1.9345933496658745,3.0333666466584304,3.805578461754721,1.081261500666733,0.6895972535149822,0.5496671082889966,0.5714285714285714,0.5714285714285714,14,
Price index (equal-weight z),adr_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.7099517331268186,0.0,2.07085824866739,2.680237117479937,10,2024Q1,2026Q2,2.4040965515087365,2.167756397753216,2.682293601978847,4.071289230698306,1.1090252364151603,0.8962838929098321,0.5905000640537609,0.4,0.2,10,
Price index (equal-weight z),adr_yoy,"NNLS weights, expanding",,,,,,,12,2023Q3,2026Q2,2.4343483581869467,2.051083270697056,2.5936047489711958,3.8543293407111263,1.1868598379039184,0.9385965071017774,,0.5,,12,mx_cpi_lodging_yoy:0.44|px_fx_contribution_fitted:1.57
Price index (equal-weight z),adr_exfx_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",17.0,-0.205964214345044,0.428,3.2164651381212543,2.91514097000471,13,2023Q2,2026Q2,3.0803782649860807,0.9405399431259602,1.8032910446222186,4.0,3.2751169022638162,1.7081980605251694,0.7700945662465202,0.4444444444444444,0.5555555555555556,9,
Price index (equal-weight z),adr_exfx_yoy,equal-weight z / single,"2023Q1..2026Q2, WF from 2024Q1",14.0,0.44535557106629153,0.11,1.182117216348582,1.194167284327694,10,2024Q1,2026Q2,1.2726350148797685,0.9082951062292475,1.1443892382688556,1.746424919657298,1.401125037613672,1.1120648222845169,0.7287086897096603,0.42857142857142855,0.42857142857142855,7,
Price index (equal-weight z),adr_exfx_yoy,"NNLS weights, expanding",,,,,,,11,2023Q4,2026Q2,1.8976490693780963,0.8660254037844386,0.858704422185245,2.147937700129211,2.1912164020657734,2.2098978651454106,,0.5714285714285714,,7,mx_bea_hotels_price_yoy:0.42
FX contribution alone,adr_yoy,equal-weight z / single,"2022Q1..2026Q2, WF from 2023Q1",18.0,0.6492134665618172,0.004,2.278881249153151,2.6142100667996058,14,2023Q1,2026Q2,2.0869489588791588,1.9345933496658745,3.0333666466584304,3.805578461754721,1.0787532993637128,0.6879975954038232,0.5483920460062947,0.5,0.5714285714285714,14,
