group,value,n_claims,kept,partly,missed,too_early,unverifiable,n_closed,hit_rate_strict_pct,hit_rate_incl_partly_pct
theme,ai,2,1,0,0,1,0,1,100.0,100.0
theme,buybacks_sbc,6,5,0,0,1,0,5,100.0,100.0
theme,competition,2,0,0,0,2,0,0,,
theme,demand_macro,10,7,1,2,0,0,10,70.0,75.0
theme,international,3,0,1,1,0,1,2,0.0,25.0
theme,long_term_targets,4,2,0,0,2,0,2,100.0,100.0
theme,margins,19,13,0,4,1,1,17,76.5,76.5
theme,marketing,8,7,0,1,0,0,8,87.5,87.5
theme,new_businesses,8,3,0,3,1,1,6,50.0,50.0
theme,pricing_adr,8,0,2,5,0,1,7,0.0,14.3
theme,regulation,1,0,1,0,0,0,1,0.0,50.0
theme,supply_hosts,1,0,1,0,0,0,1,0.0,50.0
theme,take_rate_fees,11,3,1,2,3,2,6,50.0,58.3
role,ceo,26,8,3,8,4,3,19,42.1,50.0
role,cfo,49,27,3,9,7,3,39,69.2,73.1
role,company,8,6,1,1,0,0,8,75.0,81.2
speaker,Brian Chesky,26,8,3,8,4,3,19,42.1,50.0
speaker,Dave Stephenson,24,17,2,4,0,1,23,73.9,78.3
speaker,Ellie Mertz,25,10,1,5,7,2,16,62.5,65.6
speaker,shareholder letter,8,6,1,1,0,0,8,75.0,81.2
horizon,multi_year,25,5,4,10,3,3,19,26.3,36.8
horizon,next_q,15,12,2,1,0,0,15,80.0,86.7
horizon,open,3,2,0,0,0,1,2,100.0,100.0
horizon,this_year,40,22,1,7,8,2,30,73.3,75.0
quantified,no,45,19,6,14,3,3,39,48.7,56.4
quantified,yes,38,22,1,4,8,3,27,81.5,83.3
source,call_prepared,17,10,0,0,6,1,10,100.0,100.0
source,call_qa,58,25,6,17,5,5,48,52.1,58.3
source,letter,8,6,1,1,0,0,8,75.0,81.2
ALL,all claims,83,41,7,18,11,6,66,62.1,67.4
