quarter,supply_eq,supply_n_components,z_ia_listings_yoy,z_cc_survival_yoy_pts
2021Q1,,0,,
2021Q2,,0,,
2021Q3,,0,,
2021Q4,,0,,
2022Q1,,0,,
2022Q2,,0,,
2022Q3,,0,,
2022Q4,,0,,
2023Q1,,0,,
2023Q2,,0,,
2023Q3,,0,,
2023Q4,,0,,
2024Q1,,0,,
2024Q2,1.269,1,,1.269
2024Q3,0.472,2,-0.022,0.967
2024Q4,-0.303,2,-1.128,0.522
2025Q1,-0.749,2,-2.009,0.51
2025Q2,-0.397,2,-1.696,0.903
2025Q3,-0.27,2,-1.415,0.876
2025Q4,-1.561,1,-1.561,
2026Q1,-0.528,2,-1.733,0.678
2026Q2,-0.167,2,-0.809,0.475
2026Q3,-0.432,2,-0.944,0.08
