id,initiative,category,first_announced,cost_line,claimed_effect,claim_source,evidence_of_realisation,quantified_effect,verdict,score
OPS-01,"Permanent marketing reset: brand-led, ~90% direct or unpaid traffic",Marketing,"2020-Q4 (policy), ongoing",Sales & marketing,Marketing stays a far smaller share of revenue than 2019 forever,"Chesky, 4Q20 call: 'We don't intend to ever again spend the amount of money as a percentage of revenue on marketing... as we did in 2019'; 10-K S&M split table","Brand and performance marketing was 23.7% of revenue in 2019 ($1,140M / $4,805M) and has been 12.1-13.1% every year 2021-2025 (13.0% in 2025). But 1H26 it is 17.4% of revenue against 15.4% in 1H25, $1,091M vs $824M, +32% y/y.","Worth about 11 points of margin against the 2019 cost structure; but brand and performance marketing is +2.0 points of revenue higher in 1H26 than in 1H25, so the reset is being spent back.","Realised 2021-2025, eroding in 2026",realised
OPS-02,2020 workforce reduction and functional reorganisation,Organisation,2020-05,All people lines,Fixed-cost base reset; grow revenue without growing headcount,"FY2020 10-K; Stephenson, 4Q22 call","May 2020 workforce reduction (~1,900 roles) and the move to a functional organisation. Headcount at end-2022 (6,811) was still about 5% below 2019 on 75% more revenue (Stephenson, 4Q22 call).","The single largest lever in the record and it predates the window: it is the base on which every later percentage sits, not a repeatable one.",Realised (pre-window base effect),realised
OPS-03,Headcount discipline / revenue per employee,Organisation,2022 onward,"Ops & support, product dev, G&A",Headcount grows slower than revenue,10-K Item 1 Human Capital counts; 4Q25 call ('headcount growth lower than 2025' for 2026),"Revenue per employee $977k (2021) -> $1,521k (2024) -> $1,493k (2025), the first decline. Headcount 6,811 (2022) -> 7,300 -> 8,200, +12% in 2025. 1H26 10-Q attributes the increase in every people line (ops +$41M, product dev +$132M, S&M payroll, G&A +$38M) to higher average headcount.",Productivity gain stalled: revenue per employee -1.8% in 2025 after +56% 2021-24.,"Realised 2021-2024, lapsed 2025, unproven 2026",realised
OPS-04,"Payments: in-house platform, processor mix, chargeback controls",Payments,2020-2021,Cost of revenue,Lower merchant fees and chargebacks per dollar of GBV,"FY2021 10-K MD&A (merchant fees 3% of GBV in 2020, 2% in 2021); Chesky on the payments platform","Merchant fees plus chargebacks as a percent of GBV: 2.51% (2020), 1.80% (2021), then 1.89% / 1.87% / 1.84% / 1.82%. Levels after 2021 are derived from the MD&A deltas, not disclosed. Cost of revenue per $100 of GBV was $2.29 in 2Q22 and $2.33 in 2Q26.",-71 bps of GBV taken out in 2021 (~1.5 points of margin); flat +-4 bps since. Not a forward lever.,"Realised once (2021), flat since",realised
OPS-05,Payment-processor incentive,Payments,2023-Q2,Cost of revenue,Lower cost of revenue,"2Q23 letter cost-of-revenue commentary; Mertz, 2Q24 call ('will not recur')",2Q23 cost of revenue carried a payment-processor incentive; Mertz on the 2Q24 call flagged 'the one-time benefit that we had in payment processing a year ago that will not recur this year'. Cost of revenue per $100 GBV was $2.26 in 2Q23 vs $2.39 in 2Q24 and $2.29 in 2Q22.,"One quarter, not a run-rate lever. Never sized by the company.",Realised but one-off (explicitly non-recurring),realised
OPS-06,Third-party (contingent) community-support network,Customer support,2021 onward,Operations & support,"Variable, lower-cost support capacity","10-K Item 1 (11,000 workers 2022-2024, 13,000 in 2025)","Third-party (contingent) community-support workers: 11,000 in 2022-2024, 13,000 in 2025 (10-K Item 1). Operations and support cash cost per night $2.32 (2Q22) -> $2.30 (2Q25) -> $2.18 (2Q26).",Ops and support cash per night -6% over four years while ADR rose; ~0.8 points of margin 2022-2025 (abnb_margin_bridge.csv).,Realised,realised
OPS-07,AI customer-service assistant,Customer support / AI,"2025-Q2 (US launch), scaled 2025-Q4 to 2026-Q2",Operations & support,"Support cost per booking falls, keeps falling as languages and voice roll out","3Q25 letter (US, -15% need for a human agent); 4Q25 letter (~1/3 resolved); 1Q26 letter (>40%); 2Q26 letter (~45%, 50+ languages, cost per booking -16%); 2Q26 10-Q (third-party -$17M)","Disclosed: AI assistant resolves ~1/3 of issues without an agent (4Q25 letter), over 40% (1Q26 letter), nearly 45% in 50+ languages (2Q26 letter). Customer-support cost per booking -10% y/y (1Q26 call) and -16% y/y (2Q26 letter and call). 2Q26 10-Q: third-party service-provider costs -$17M in the quarter and -$15M in 1H26 'due to lower agent contact volume resulting from increased use of artificial intelligence'. Independently: ops and support cash per night $2.13 (1H25) -> $2.05 (1H26), -3.8%.","Ops and support cash per night -3.8% y/y in 1H26 = about +0.39 points of margin. Partly offset inside the same line by payroll +$41M, customer relations +$14M and insurance +$9M, so the reported line still grew 8%.",Realised,realised
OPS-08,AI engineering productivity (60% of code AI-authored),Product / AI,2026-Q1,Product development,More output per engineer; implied product-dev leverage,"1Q26 call (60% of code); 2Q26 call (80% more features shipped, concept-to-launch -60%)","Claims: 60% of code AI-authored (1Q26 call), 80% more features shipped y/y and concept-to-launch time down as much as 60% (2Q26 call). Product development cash cost 1H25 $669M -> 1H26 $749M, +12%; the 10-Q says the whole increase is payroll on higher average headcount. Cash product development was 10.9% of revenue in 2Q22 and 10.4% in 2Q26.","Zero measurable P&L saving so far. It shows up as output (features shipped), not cost. Treat as a growth option, not a margin lever.",Not evidenced in the P&L,not evidenced
OPS-09,"Cloud and hosting optimisation, reserved-instance purchases",Infrastructure,2022 onward,Cost of revenue,Contain hosting cost growth below volume growth,"10-K MD&A cost-of-revenue deltas; 2Q26 10-Q (server costs +$15M, reserved-instance amortisation); 10-K purchase obligations","10-K MD&A gives only the increase in cloud / data-hosting cost: +$25M, +$31M, +$26M, +$27M. 1H26 10-Q: server costs +$15M 'driven by higher amortization related to reserved instance purchases and increased infrastructure spend'. Non-cancelable purchase obligations at year end: $1,068M (2022), $934M, $719M, $1,749M. The data-hosting commitment went from 'at least $672 million... through 2027' (FY2024 10-K) to 'at least $1.7 billion... through 2031' (FY2025 10-K).","No disclosed saving, and the direction has reversed: committed compute is 2.4x higher at end-2025 than end-2024 and now runs to 2031. Reserved instances convert a variable cost into a fixed one. This is where the AI build is visible before it reaches the P&L.",Not evidenced (cost is rising),not evidenced
OPS-10,G&A discipline and lapping of non-income tax reserves,G&A,2024 onward,G&A,G&A grows near zero while revenue compounds,10-K / 10-Q MD&A G&A commentary; FY2024 non-income taxes -$656M; 1H26 -$38M,"G&A cash cost 8.9% of revenue in 2Q22 -> 6.2% in 2Q26. 1H26 10-Q: G&A up $4M, or 1%, with payroll +$38M offset by non-income taxes -$38M. FY2024 carried a -$656M non-income-tax swing as the 2023 Italy withholding settlement reversed.","The cleanest line in the P&L: roughly 2.7 points of revenue taken out since 2022, but ~1 point of it is lapping tax reserves, not operating discipline.",Realised,realised
