quarter,demand_p22_eq,demand_p22_n_components,z_eu_platform_yoy_lag1,z_pr_hotel_revpar_yoy,z_mx_air_rpm_yoy_lag1,z_mx_bea_hotels_nominal_yoy,z_ia_reviews_ltm_matched_yoy,z_tr_us_share_yoy_pts,z_tr_ww_airbnb_yoy
2023Q1,,0,,,,,,,
2023Q2,,0,,,,,,,
2023Q3,,0,,,,,,,
2023Q4,-0.35,6,-1.284,-0.706,-0.942,-0.783,,1.279,0.34
2024Q1,-0.316,6,-0.425,-0.767,-1.142,-0.762,,1.158,0.042
2024Q2,-0.158,6,0.145,-0.55,-1.288,-0.857,,0.767,0.837
2024Q3,-0.878,7,-1.04,-0.711,-1.062,-0.954,-1.212,-0.926,-0.241
2024Q4,-0.833,7,-0.755,-0.478,-1.314,-0.86,-1.181,-1.251,0.008
2025Q1,-1.022,7,-0.749,-0.606,-1.253,-1.043,-0.778,-1.074,-1.651
2025Q2,-1.079,7,-1.612,-0.752,-1.266,-0.726,-0.857,-0.835,-1.507
2025Q3,-0.745,7,-0.425,-0.776,-1.204,-0.612,-0.862,-1.724,0.389
2025Q4,-0.489,7,-1.134,-0.578,-0.969,-0.483,-0.166,-1.67,1.577
2026Q1,-0.516,7,-0.942,-0.262,-0.947,-0.094,-0.517,-1.424,0.576
2026Q2,-0.546,7,-0.988,-0.281,-0.74,0.179,-0.122,-1.82,-0.049
2026Q3,-0.357,4,,,,0.166,0.145,-0.119,-1.623
