item,when,what_changed,source
Nights and Experiences Booked -> Nights and Seats Booked,2Q25,"rename with Services/Experiences relaunch (May 2025); series continuous, no restatement",2Q25 letter headline
Nights/GBV definition,4Q20,net of cancellations and alterations; management warned y/y comps 'volatile and unreliable' through 2021,4Q20/1Q21 Outlook
Growth comparisons indexed to 2019,4Q21-2Q22,management asked to index 2022 growth to 2019; y/y comps 'regain relevance' from 3Q22,"4Q21, 1Q22, 2Q22 Outlook"
China domestic listings removed,3Q22,all mainland China listings taken down Jul-2022; supply growth quoted ex-China from 4Q22,4Q22 letter
Presentation thousands -> millions,2Q23,financial tables re-rounded; 'certain immaterial amounts in prior periods reclassified',2Q23 letter
Active listings growth %,1Q24 last,exact y/y growth disclosed 3Q22-1Q24 (15-19%); from 2Q24 only 'over 8 million'; from 1Q25 only 'in line with nights',letters
Cross-border share and growth,1Q24 last,share (20%->46%) and growth disclosed 1Q21-1Q24; dropped from 2Q24 (only APAC cross-border growth 4Q24),letters
High-density urban share,4Q23 last,share disclosed 1Q21-4Q23; 1Q24 gives non-urban growth only; dropped from 2Q24,letters
Long-term stays share,1Q24 last,28+ night share disclosed 1Q21-1Q24 (24%->17%); from 2Q24 only 'short-term outpaced long-term',letters
Regional nights growth exact %,3Q24 last,exact % for LatAm/APAC 3Q22-3Q24 (NA/EMEA only 3Q22-4Q22); from 4Q24 buckets ('mid-single digit'),letters
Regional ADR y/y,2Q23 start,NA/EMEA from 2Q23; all four regions with ex-FX from 1Q25,letters
App share of nights,3Q23 start,new metric; rises 48% (3Q22 comp) -> 64% (2Q26),letters
App nights growth,1Q24 start,17-23% y/y every quarter since,letters
First-time booker growth (global %),4Q25 start,"8%, 10%, 11%; earlier letters gave country-level only",letters
Expansion vs core market growth ratio,1Q24 start,'more than double' every quarter; never a level,letters
Bedroom Nights Booked,2Q26 start,new metric (nights x bedrooms) +12% vs nights +10%,2Q26 letter
Guest travel insurance revenue growth,4Q25 start,"+40% FY25, +45% 1Q26; not repeated 2Q26",letters
Removed low-quality listings cumulative,3Q24-4Q25,300k -> 450k -> 550k; not in 1Q26/2Q26,letters
Y/2Y and Y/3Y and Y/4Y comparisons,4Q23 last,vs-2019 comparisons carried through 4Q23 headline tables then dropped,letters
Take-rate guide,4Q22 start,'implied take rate' guided each quarter from 4Q22 letter,letters
FY adj. EBITDA margin floor,4Q23 start,'at least 35%' FY24; 'at least 34.5%' FY25; 'stable' then 'at least 35%' then 'at least 35.5%' FY26,letters
FY revenue growth guide,4Q25 start,"first FY revenue guide: 'at least low double digits' FY26, raised twice",letters
Hedging language in revenue guide,2Q25 start,'after factoring in our hedging program' appears from 2Q25,letters
