date,source,headline,url,relevance,category,found_or_absent
2026-09-04,Reuters (draft obtained; syndicated by Global Banking & Finance and AP),"Proposed EU rules to curb Airbnb, short-term rental homes - draft",https://www.globalbankingandfinance.com/proposed-eu-rules-curb-airbnb-short-term-rental-homes-draft/,"HIGH. The EU short-term-rental legislative proposal WS11 flagged for 9 Sep leaked on 4 Sep. Draft would let member states cap short-term rentals in areas facing housing shortages, gives them criteria for declaring a shortage severe enough to justify restrictions, and requires any restriction to satisfy non-discrimination, proportionality and public interest. This is an ENABLING framework for national/city action, not an EU-level cap - i.e. materially softer than a direct restriction, and consistent with the ""proportionality"" line the Commission has run since Dec 2025.",regulatory,found
2026-09-05,Associated Press (via DotDotNews),"EU plans tighter Airbnb rules, threatening to shrink short-term rental options in Europe's popular cities",https://english.dotdotnews.com/a/202609/05/AP6a9bdd06e4b02724bdb384a4.html,"HIGH. Same draft, next-day wire write-up; the only ABNB-relevant item dated after 4 Sep. Also restates the July 2026 Spanish action: a EUR 64m fine on Airbnb and an order to remove 65,000 non-compliant listings.",regulatory,found
2026-08-25,Airbnb IR (PRNewswire),Airbnb to Participate in the Goldman Sachs Communacopia + Technology Conference 2026,https://www.sahmcapital.com/news/content/airbnb-to-participate-in-the-goldman-sachs-communacopia-technology-conference-2026-2026-08-25,"HIGH and IMMINENT. Brian Chesky speaks Tuesday 8 September 2026, 3:05pm PT / 6:05pm ET, public live webcast. This is the next scheduled public management appearance before the 5 Nov print and the only chance before then to hear intra-quarter commentary on nights, the single-fee migration and the direct-booking pilot.",calendar,found
2026-09-03,Bank of America Securities (Justin Post) via stockanalysis.com,Hold reiterated; price target raised $175 -> $195,https://stockanalysis.com/stocks/abnb/forecast/,"MEDIUM. Latest rating action on the tape. A +11% target raise on an unchanged Hold - the highest-conviction bear-ish-neutral house is marking up to spot rather than upgrading.",analyst,found
2026-09-03,Piper Sandler (Thomas Champion) via stockanalysis.com,Hold maintained; price target $170,https://stockanalysis.com/stocks/abnb/forecast/,"MEDIUM. $170 is 6.6% below the 4 Sep close.",analyst,found
2026-08-31,Rosenblatt Securities (Scott Devitt) via stockanalysis.com,Buy initiated; price target $220,https://stockanalysis.com/stocks/abnb/forecast/,"MEDIUM. New coverage at the top of the range. $220 is the high target WS12 uses (implies ~19.3x FY27 EBITDA).",analyst,found
2026-08-31,D.A. Davidson (Tom White) via stockanalysis.com,Buy maintained; price target $175 -> $220,https://stockanalysis.com/stocks/abnb/forecast/,MEDIUM. Second $220 on the tape; the high end is no longer a single outlier.,analyst,found
2026-08-31,Deutsche Bank (Benjamin Black) via stockanalysis.com,Buy maintained; price target $190,https://stockanalysis.com/stocks/abnb/forecast/,LOW-MEDIUM. Consistent with the $178.96 average.,analyst,found
2026-09-04,stockanalysis.com / S&P Global Market Intelligence,ABNB last close $181.94 (4 Sep 2026); consensus PT $178.96 from 46 analysts,https://stockanalysis.com/stocks/abnb/forecast/,"CONFIRMATION. 4 Sep 2026 was a Friday; 5-6 Sep are a weekend, so there is no market data and essentially no company news after the overnight run's cut-off. Third-party trackers quoting a $185.25 ""5 September"" price (vcpscanner.com) are stale - the verified close is $181.94.",market,found
2026-08-28,CoStar / STR (via DSH Hotel Advisors),"U.S. hotel results for week ending Aug. 22, 2026",https://www.dshhoteladvisors.com/us-hotel-performance-august-2026-revpar-growth/,"HIGH for the Q3 nowcast. U.S. hotel performance positive for a 19th consecutive week, with occupancy, ADR and RevPAR all up y/y through 22 Aug. Week ending 15 Aug: occupancy 68.0% (+2.6%), ADR $163.56 (+3.5%). Weeks ending 1 and 8 Aug: RevPAR +7.3% and +7.2%.",macro,found
2026-08-10,CoStar / Tourism Economics (via Hotel News Resource),CoStar U.S. Hotel Forecast Assumptions - August 2026,https://www.hotelnewsresource.com/article142436.html,"MEDIUM-HIGH. FY26 U.S. RevPAR forecast raised to +4.4% (demand +1.7%, ADR +3.1%), up 1.6pp and 1.1pp respectively, on World Cup pricing premiums. FY27 RevPAR forecast +2.1% (demand +1.1%, ADR +1.6%). This is the cleanest external cross-check on WS06's hotel price monitor and WS05's ADR path.",macro,found
2026-09-06,CoStar / STR,Full-month August 2026 U.S. hotel data,https://www.costar.com/products/str-benchmark,"NOT YET PUBLISHED as of 6 Sep 2026. STR's monthly release runs about three weeks after month end (the July 2026 print appeared 26 Aug 2026), so August data is due around 22-25 Sep 2026. Only weekly data exists today.",macro,absent
2026-09-06,NTTO / BEA,August 2026 U.S. inbound arrivals,https://www.trade.gov/national-travel-and-tourism-office,"NOT YET PUBLISHED as of 6 Sep 2026. NTTO monthly overseas-arrivals runs roughly 6-8 weeks behind; August 2026 is due mid-to-late October 2026, i.e. before the 5 Nov print but after this run. BEA travel-services trade for August publishes early October.",macro,absent
2026-11-04,TipRanks (estimated, not company-confirmed),Booking Holdings Q3 2026 earnings - estimated 4 November 2026,https://www.tipranks.com/stocks/bkng/earnings,"HIGH for the card if it holds: BKNG would report the DAY BEFORE ABNB. NOT CONFIRMED by the company - TipRanks says ""estimated ... based on past reporting schedules"" and BKNG IR had not posted a date as of 4 Sep 2026. Zacks Q3-26 BKNG consensus is $4.46 EPS.",calendar,found (unconfirmed)
2026-10-29,TipRanks (estimated, not company-confirmed),Marriott International Q3 2026 earnings - estimated 29 October 2026,https://www.tipranks.com/stocks/mar/earnings,MEDIUM. Estimated only; no company confirmation located.,calendar,found (unconfirmed)
2026-09-06,Expedia Group and Hilton IR,EXPE and HLT Q3 2026 earnings dates,https://ir.expediagroup.com/financial-information/quarterly-results/default.aspx,"NOT CONFIRMED. Neither company had announced a Q3 2026 date as of 6 Sep 2026. Zacks Q3-26 HLT consensus is $2.35 EPS. On the 2025 pattern EXPE reports in the first week of November and HLT in the last week of October.",calendar,absent
2026-08-28,Airbnb Community forum (host-visible product text),airbnb pilot direct booking link for reduced 6% service fee?,https://community.withairbnb.com/t5/Ask-about-your-listing/airbnb-pilot-direct-booking-link-for-reduced-6-service-fee/m-p/2292163,"HIGH. Airbnb's own in-product copy, quoted by hosts: ""Share your direct booking links with potential guests through social media and other marketing channels. These bookings will receive the same benefits as other bookings on Airbnb, including AirCover for Hosts... You can also share your savings with guests by offering a new direct booking discount in the Listing editor. *This is a pilot program."" Replaces the paywalled Skift article as the primary source.",company,found
2026-08-31,RSU by PriceLabs (Rental Scale-up),Airbnb Direct Booking Links: 6% to 10% Host Fee Explained,https://www.rentalscaleup.com/airbnb-direct-booking-links/,"HIGH. Full readable account of the pilot: invite-only email (""Get a lower service fee with direct bookings""), a Listing-editor toggle generating a tracked URL, host fee cut from 15.5% to 6% or 10% on bookings through that link, savings passable to the guest via a capped discount slider, transaction still entirely on Airbnb. No Airbnb help-centre article or newsroom post exists. Also reports Q2'26 S&M of $875m, +27% y/y.",company,found
2026-04-16,AirROI (Jun Zhou),Airbnb vs Hotel 2026: All-In Price Math Across 28 US Markets,https://www.airroi.com/blog/airbnb-vs-hotel-all-in-pricing-2026,"MEDIUM. the original source of the ""55.9% median checkout markup"" figure WS06 flagged. See the note: it is a MODELLED total (ADR x nights + cleaning fee + 14% guest service fee + lodging tax) measured against the nightly-rate subtotal, not scraped checkout data, and it assumes the pre-migration split-fee structure.",third-party,found
