quarter,scenario,prior_quarter,year,nights,nights_yoy_pct,adr_exfx_pct,adr_fx_pp,adr,adr_yoy_pct,gbv,gbv_yoy_pct,take_rate_pct,rev_fx_pp,fx_wedge_pp,core_revenue,prior_revenue,new_business_incr,revenue,revenue_yoy_pct,adj_ebitda_margin_pct,adj_ebitda,na_nights_m,na_growth_pct,na_reg_drag_pp,emea_nights_m,emea_growth_pct,emea_reg_drag_pp,latam_nights_m,latam_growth_pct,latam_reg_drag_pp,apac_nights_m,apac_growth_pct,apac_reg_drag_pp
3Q26,Bear,3Q25,2026,144.176,7.9161,2.0,0.8,176.1135,2.816,25391.3371,10.8792,17.83,3.0,2.1825,4626.085,4095.0,6.2702,4632.3551,13.1222,48.3,2237.4275,43.0454,5.0,0.0501,56.3251,6.0,0.6012,20.7414,15.0,0.0,24.064,14.0,0.0
4Q26,Bear,4Q25,2026,130.4214,6.9905,2.0,-1.42,168.434,0.5516,21967.3993,7.6833,13.57,-0.43,1.0043,3010.9129,2778.0,4.081,3014.9938,8.5311,26.5,798.9734,37.9765,4.0,0.0501,50.854,5.0,0.6012,19.4358,14.0,0.0,22.1551,13.0,0.0
1Q27,Bear,1Q26,2027,164.836,5.5288,1.0,-2.68,183.6314,-1.7068,30269.0589,3.6612,9.02,-1.56,1.1508,2761.6902,2678.0,4.7056,2766.3959,3.3008,13.3184,368.4408,47.1014,3.0,0.0835,63.7566,4.0,1.1857,25.7168,12.0,0.0,28.2613,11.0,0.0
2Q27,Bear,2Q26,2027,156.5047,5.5325,1.0,-2.81,180.3529,-1.8381,28226.0776,3.7723,13.11,-2.48,0.3395,3713.0033,3608.0,6.3266,3719.3299,3.0856,28.9184,1075.5722,44.7639,3.0,0.0835,60.44,4.0,1.1857,24.6068,12.0,0.0,26.694,11.0,0.0
3Q27,Bear,3Q26,2027,152.1526,5.5325,1.0,-2.38,173.6412,-1.4038,26419.9583,4.0511,17.68,-3.18,-0.8195,4632.7692,4626.085,7.8938,4640.663,0.3151,42.2184,1959.2156,44.3008,3.0,0.0835,57.9103,4.0,1.1857,23.2304,12.0,0.0,26.7111,11.0,0.0
4Q27,Bear,4Q26,2027,137.7295,5.6035,1.0,-1.31,167.8898,-0.3231,23123.3826,5.2623,13.42,-3.02,-1.7327,3049.3896,3010.9129,5.1959,3054.5854,1.4505,20.4184,623.6987,39.0841,3.0,0.0835,52.2852,4.0,1.1857,21.7681,12.0,0.0,24.5922,11.0,0.0
3Q26,Base,3Q25,2026,147.2394,10.2091,3.0,0.8,177.8401,3.824,26185.0758,14.3453,17.88,3.0,2.1825,4784.0757,4095.0,16.9621,4801.0378,17.2415,49.0,2352.5085,43.8657,7.0,0.0501,57.3939,8.0,0.6012,21.2825,18.0,0.0,24.6973,17.0,0.0
4Q26,Base,4Q25,2026,133.9579,9.8916,3.0,-0.36,171.9142,2.6292,23029.2544,12.8885,13.62,-0.43,-0.0703,3134.3809,2778.0,11.1131,3145.494,13.2287,32.5,1022.2855,39.0725,7.0,0.0501,51.8282,7.0,0.6012,20.1178,18.0,0.0,22.9394,17.0,0.0
1Q27,Base,1Q26,2027,170.0062,8.8388,2.5,-0.4,190.7245,2.09,32424.3585,11.0423,9.17,-1.03,-0.6325,2954.5066,2678.0,37.1382,2991.6448,11.7119,19.1495,572.8858,48.4744,6.0,0.0835,65.6169,7.0,1.1857,26.6352,16.0,0.0,29.2797,15.0,0.0
2Q27,Base,2Q26,2027,161.4139,8.8428,2.5,0.02,188.3609,2.5205,30404.0759,11.7797,13.26,-0.8,-0.8198,3998.5281,3608.0,50.2616,4048.7897,12.217,34.7495,1406.9353,46.0688,6.0,0.0835,62.2036,7.0,1.1857,25.4856,16.0,0.0,27.6559,15.0,0.0
