scenario,year,basis,nights_total,home_nights,hotel_nights,exp_seats,svc_seats,home_adr,hotel_adr,home_gbv,hotel_gbv,exp_gbv,svc_gbv,gbv_total,stays_take_pct,stays_rev,hotels_rev,experiences_rev,services_rev,ads_rev,rev_total,blended_adr,blended_take_pct,dm13_revenue,nights_total_yoy_pct,home_nights_yoy_pct,rev_total_yoy_pct,gbv_total_yoy_pct,blended_adr_yoy_pct,home_adr_yoy_pct,stays_rev_yoy_pct,hotels_rev_yoy_pct,experiences_rev_yoy_pct,services_rev_yoy_pct,seats_share_pct,hotel_share_pct,new_business_rev_share_pct,rev_vs_dm13_musd
Bear,2025,actual total; line split assumed,533.0,507.63333333333327,18.7,6.0,0.6666666666666666,173.6528990741349,140.0,88152.0,2618.0,450.0,80.0,91300.0,13.443846991560033,11851.02,287.98,90.0,12.0,0.0,12241.0,171.29455909943715,13.407447973713033,12241.0,,,,,,,,,,,,,,
Bear,2026,1H26 actual + forecast,579.0973809959089,547.8573809959089,22.439999999999998,7.466666666666667,1.3333333333333333,182.0588177146252,146.6175960568868,99742.26706034614,3290.0988555165395,560.0,160.0,103752.36591586268,13.449676294421938,13415.012048334396,364.6312578099469,112.0,24.0,0.0,13915.643306144342,179.16220884548545,13.41236239126262,13933.34896091384,8.648664351952885,7.923838924927895,13.680608660602411,13.638955000944897,4.593052918558316,4.840644000364036,13.197109179922029,26.61686846654172,24.444444444444446,100.0,1.5196062508288515,3.8749959396135707,3.5976149057291305,-17.705654769497414
Bear,2027,forecast,611.2228428485834,574.0813317374723,26.030399999999997,9.0,2.111111111111111,179.9126953674674,144.89234886109668,103284.51975303383,3771.6057977938904,675.0,253.33333333333334,107984.45888416105,13.133536393280275,13564.909990389453,414.19988241910613,135.0,38.0,0.0,14152.10987280856,176.66954065542305,13.105691336556173,14180.974130696897,5.547505982055445,4.786638211187877,1.6992859148653894,4.079032734280341,-1.3912912807477973,-1.1788071427124347,1.1173895447501137,13.594178652395028,20.535714285714278,58.33333333333333,1.817849453945169,4.258741358337689,4.1492038126932185,-28.864257888337306
Bear,2028,annual growth (13 FY28 conventions),641.7839849910125,598.2553876576792,30.195263999999995,10.333333333333334,3.0,182.0274080164631,146.59542869241952,108898.87754721168,4426.487670560781,775.0,360.0,114460.36521777246,13.033536393280276,14193.374836989558,486.91364376168593,155.0,54.0,60.0,14949.288480751244,178.3471820652791,13.008248272162039,14970.670879315685,5.000000000000004,4.210911343701684,5.6329311679127025,5.997072542224191,0.9495928973563883,1.175410464879345,4.633018921949095,17.5552346654229,14.814814814814813,42.10526315789473,2.0775422330801936,4.704895214925446,5.0565192098272975,-21.382398564441246
Base,2025,actual total; line split assumed,533.0,507.63333333333327,18.7,6.0,0.6666666666666666,173.6528990741349,140.0,88152.0,2618.0,450.0,80.0,91300.0,13.443846991560033,11851.02,287.98,90.0,12.0,0.0,12241.0,171.29455909943715,13.407447973713033,12241.0,,,,,,,,,,,,,,
Base,2026,1H26 actual + forecast,585.6972685563485,549.1189352230151,25.245,9.0,2.3333333333333335,183.75981416429826,147.78200993453552,100905.9934906786,3730.7568407973495,675.0,280.0,105591.75033147594,13.474716105589021,13596.796156393077,412.5430054393032,135.0,42.0,0.0,14186.33916183238,180.28383603656368,13.435082870866628,14232.53180246914,9.886917177551302,8.17235574686752,15.891995440179564,15.65361482089369,5.247847324740906,5.820182181841127,14.731020253050598,43.25404730859892,50.0,250.0,1.9350155689249187,4.310247179780255,4.155709226418599,-46.19264063676019
Base,2027,forecast,637.644504969055,586.6482271912773,32.8185,13.066666666666666,5.111111111111111,189.70139968851305,152.5596390183449,111287.9898229701,5006.778513123552,980.0,613.3333333333334,117888.101669427,13.275130330628219,14773.62569133555,546.2212460887637,196.0,92.0,120.0,15727.846937424314,184.88060471115975,13.239543869482837,15842.035910510536,8.869298048930329,6.834455991400179,10.866142124525545,11.645181843610008,2.549739774598425,3.233343237331776,8.65519730829487,32.4034679747172,45.1851851851852,119.04761904761907,2.8507699252673633,5.146833344324466,6.06708120879661,-114.18897308622218
Base,2028,annual growth (13 FY28 conventions),688.6560653665795,620.1440514776906,41.023125,18.266666666666666,9.222222222222223,195.6145235033206,157.31502846796977,121309.18313322717,6453.554077220082,1370.0,1106.6666666666667,130239.40387711392,13.325130330628218,16164.606755522984,709.890948494209,274.0,166.0,350.0,17664.497704017194,189.12111637002135,13.294361912431752,17947.13582233434,8.000000000000007,5.709694964354162,12.313514839622663,10.477140638265192,2.293648739134424,3.1170691542164786,9.415299218005902,29.963994183201038,39.79591836734695,80.43478260869566,3.991671644430553,5.956983037412576,8.490991216541127,-282.638118317147
Bull,2025,actual total; line split assumed,533.0,507.63333333333327,18.7,6.0,0.6666666666666666,173.6528990741349,140.0,88152.0,2618.0,450.0,80.0,91300.0,13.443846991560033,11851.02,287.98,90.0,12.0,0.0,12241.0,171.29455909943715,13.407447973713033,12241.0,,,,,,,,,,,,,,
Bull,2026,1H26 actual + forecast,591.8111034965035,549.6277701631702,28.049999999999997,10.8,3.333333333333333,185.55655406332357,148.96220870476833,101987.03504898628,4178.3899541687515,810.0,400.0,107375.42500315503,13.498927009948451,13767.155420873201,460.99670199542817,162.00000000000003,60.0,0.0,14450.15212286863,181.43529982584963,13.457597138678649,14526.58234767154,11.03397814193312,8.272592454495431,18.047154014121645,17.60725630137463,5.920060029767638,6.854855319234754,16.16852744213748,60.079415930074354,80.00000000000003,400.0,2.3881494027117105,4.739688024485623,4.72657101591703,-76.43022480290892
