quarter,bkng_alt_accom_mix,bkng_alt_accom_nights_yoy,bkng_alt_accom_listings_m,source,airbnb_nights_yoy,bkng_room_nights_yoy,expe_room_nights_yoy
2Q22,0.32,,,Booking.com Q2'22 (rentalscaleup 32% article),0.24789410348977148,0.56,0.20600000000000002
4Q22,0.29,,,"BKNG Q4'22 call (via Stockopine summary, https://www.stockopine.com/p/booking-holdings-riding-the-travel-momentum)",0.20163487738419605,0.39,0.18600000000000003
3Q23,0.34,,,BKNG Q3'23 call (via PhocusWire),0.1354062186559679,0.15,0.094
2Q24,0.36,,,BKNG Q2'25 slides: 37% vs ~36% in Q2'24 (https://www.investing.com/news/company-news/booking-holdings-q2-2025-slides-revenue-jumps-16-adjusted-ebitda-up-28-93CH-4158985),0.08688097306689846,0.07,0.10300000000000001
3Q24,,0.14,,BKNG Q3'24 call: alt-accom room nights +14% (https://www.rentalscaleup.com/booking-coms-alternative-accommodations-keep-growing-and-so-does-its-grip-on-host-payments/),0.08480565371024729,0.08,0.091
4Q24,0.33,0.19,7.9,"BKNG Q4'24 call: +19%, 33% of room nights, 7.9m listings +8% (same rentalscaleup article, 28 Feb 2025)",0.12348178137651833,0.13,0.11599999999999999
1Q25,0.37,,,BKNG Q1'25 slides (https://www.investing.com/news/company-news/booking-holdings-q1-2025-slides-alternative-accommodations-drive-8-revenue-growth-93CH-4012009),0.07918552036199089,0.07,0.064
2Q25,0.37,0.1,8.4,"BKNG Q2'25 slides/call: +10%, 37%, 8.4m listings (+8%)",0.07434052757793785,0.08,0.067
3Q25,0.36,0.1,8.6,"BKNG Q3'25 call: ~+10%, 36%, 8.6m listings (+10%) (https://www.rentalscaleup.com/booking-com-alternative-accommodations-q3-2025/)",0.08794788273615639,0.08,0.111
1Q26,0.38,0.055,8.8,"BKNG Q1'26 call: +5.5%, 38% vs 37%, 8.8m listings (+9%) (https://www.rentalscaleup.com/booking-com-q1-2026-results/)",0.09154437456324249,0.06,0.057999999999999996
2Q26,0.37,0.04,9.1,"BKNG Q2'26 8-K and call: +4%, ~37% flat, 9.1m listings (+8%) (https://www.sec.gov/Archives/edgar/data/0001075531/000107553126000036/q2-26bkngearningsrelease.htm; https://www.rentalscaleup.com/booking-com-q2-2026-earnings/)",0.10342261904761907,0.05,0.057
