id,audit_finding,source_workstream,area,artefact,item,before,after,effect,evidence
C01,A07/WS25 5c,WS25,cost stack,analysis/src/abnb_exsbc_stack.py,SBC-by-function footnote column selection,nearest total to an XBRL target that is itself FY-less-9M,prefer the column whose header YEAR matches the quarter; nearest-total only as fallback,4Q23 stopped taking the Dec-2022 column ($254M) where the letter's own Adjusted EBITDA reconciliation adds back Dec-2023 ($290M),new helper header_years(); data/processed/overnight/25_history_reconciliation.csv
C02,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,4Q23 identity_gap ($M), -36.0,0.0,the gap closes exactly,22 quarters re-parsed; only 4Q23 changed
C03,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,4Q23 product development cash cost ($M),282.0,253.0, -29.0 (was overstated),"same file, pd_cash"
C04,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,4Q23 G&A cash cost ($M),1151.0,1142.0, -9.0 (was overstated),"same file, ga_cash"
C05,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,4Q23 operations & support cash cost ($M),255.0,254.0, -1.0,"same file, ops_cash"
C06,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,4Q23 sales & marketing cash cost ($M),388.0,391.0, +3.0 (was understated),"same file, sm_cash"
C07,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,4Q23 SBC by function ops/pd/sm/ga ($M),16 / 150 / 36 / 52 (total 254),17 / 179 / 33 / 61 (total 290),the letter's 31-Dec-2023 column,"4Q23 letter footnote, four columns"
C08,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,"4Q23 cash cost % of revenue, pd / ga",12.7% / 51.9%,11.4% / 51.5%,follows C03/C04,same file
C09,A07/WS25 5c,WS26,cost stack,data/processed/abnb_quarterly_cost_stack_exsbc.csv,"4Q23 cash cost per night, pd / ga ($)",2.85 / 11.65,2.56 / 11.56,follows C03/C04,same file
C10,A07/WS25 5c,WS26,margin bridge,data/processed/abnb_margin_bridge.csv,FY2023->FY2025 product development contribution (pts of margin), -0.68, -0.97,the 4Q23 base was too high,abnb_margin_bridge.py re-run
C11,A07/WS25 5c,WS26,margin bridge,data/processed/abnb_margin_bridge.csv,FY2023->FY2025 G&A contribution (pts of margin), +9.15, +9.06,same cause,same
C12,A07/WS25 5c,WS26,margin bridge,data/processed/abnb_margin_bridge.csv,FY2023->FY2025 sales & marketing / ops & support (pts), -3.71 / +0.79, -3.68 / +0.78,same cause,same
C13,A07/WS25 5c,WS26,margin bridge,data/processed/abnb_margin_bridge.csv,"FY2023->FY2025 residual (identity gaps in the stack), pts", -0.36,0.00,the bridge now closes without a residual,same
C14,A07/WS25 5c,WS26,cost lines,data/processed/overnight/07_cost_lines_per_night.csv,4Q23 brand+performance marketing ($M) and % of revenue,2460.0 / 24.90%,2424.0 / 24.53%,4Q23 row only,07_cost_lines_per_night.py re-run
C15,A07/WS25 5c,WS26,KPI panel,data/processed/overnight/02_kpi_panel_quarterly.csv,4Q23 ex-SBC cost columns,pd 282 / ga 1151 / ops 255 / sm 388,pd 253 / ga 1142 / ops 254 / sm 391,4Q23 row only; adj_ebitda_margin_pct unchanged at 33.3,02_kpi_panel.py re-run
C16,A07/WS25 5c,WS26,driver model,data/processed/overnight/13_model_annual.csv,"every driver-model output, cost-stack fix alone", -, -,NO CHANGE: re-running 13_driver_model.py on the corrected 02/07 files with the pre-fix regulatory input reproduced 13_model_annual.csv and 13_model_quarterly.csv byte-identically,"isolation run, 7 Sep 2026"
C17,A07/WS25 5c,WS26,margin levers,data/processed/overnight/07_margin_levers_fy26_fy28.csv,every lever output, -, -,NO CHANGE: byte-identical after the re-run,07_margin_lever_model.py re-run
M01,A06,WS22,model input,analysis/src/overnight/13_driver_model.py,"REG_DRAG_PP[2028]['emea'], incremental pp of y/y growth",1.00,0.96,cumulative EMEA median drag at 2028 fell 2.07% -> 2.03% on the repaired sampler,22_regulatory_delta.csv; 11_regulatory_overlay.csv
