quarter,nights_m,gbv_busd,adr_usd,revenue_musd,adj_ebitda_musd,sbc_musd,fcf_musd,buybacks_musd,diluted_wa_shares_m,rsu_tax_withholding_musd,cost_of_revenue_musd,ops_support_musd,product_dev_musd,sales_marketing_musd,g_and_a_musd,restructuring_musd,operating_income_musd,cfo_musd,capex_musd,basic_wa_shares_m,net_income_musd,income_tax_musd,cfo_musd_xbrl,capex_musd_xbrl,revenue_musd_xbrl,diluted_wa_shares_m_xbrl,cash_and_equivalents_musd,short_term_investments_musd,restricted_cash_musd,funds_held_for_clients_musd,unearned_fees_musd,long_term_debt_musd,cash_plus_st_investments_musd,revenue_yoy_reported_pct,revenue_yoy_exfx_pct,gbv_yoy_reported_pct,gbv_yoy_exfx_pct,adr_yoy_exfx_pct,nights_yoy_na_pct,nights_yoy_emea_pct,nights_yoy_latam_pct,nights_yoy_apac_pct,nights_yoy_na_pct_qual,nights_yoy_emea_pct_qual,cross_border_share_pct,cross_border_nights_yoy_pct,urban_share_pct,urban_nights_yoy_pct,non_urban_nights_yoy_pct,long_term_stays_share_pct,active_listings_m,active_listings_yoy_pct,active_listings_yoy_ex_removals_pct,active_listings_yoy_qual,app_share_of_nights_pct,app_nights_yoy_pct,first_time_bookers_yoy_pct,guest_arrivals_cumulative_b,guest_arrivals_in_quarter_m,fully_diluted_shares_letter_m,buyback_authorization_announced_busd,adr_yoy_na_pct,adr_yoy_emea_pct,adr_yoy_emea_exfx_pct,adr_yoy_latam_pct,adr_yoy_apac_pct,marketing_commentary,active_listings_ex_china_yoy_pct,nights_ex_china_yoy_pct,na_share_of_nights_pct,nights_yoy_ex_na_pct,travel_insurance_revenue_yoy_pct,removed_listings_cum_k,cash_investments_restricted_letter_busd,funds_held_letter_busd,bedroom_nights_yoy_pct,experiences_supply_yoy_pct,single_fee_pct,cross_currency_share_of_gbv_pct,gbv_musd,take_rate_pct,adj_ebitda_margin_pct,fcf_margin_pct,net_income_margin_pct,sbc_pct_revenue,cost_of_revenue_pct_rev,ops_support_pct_rev,product_dev_pct_rev,sales_marketing_pct_rev,g_and_a_pct_rev,exsbc__cor_cash,exsbc__ops_cash,exsbc__pd_cash,exsbc__sm_cash,exsbc__ga_cash,exsbc__cor_cash_pct_rev,exsbc__ops_cash_pct_rev,exsbc__pd_cash_pct_rev,exsbc__sm_cash_pct_rev,exsbc__ga_cash_pct_rev,exsbc__cor_cash_per_night,exsbc__ops_cash_per_night,exsbc__pd_cash_per_night,exsbc__sm_cash_per_night,exsbc__ga_cash_per_night,nights_yoy_pct,gbv_yoy_pct,adr_yoy_pct,revenue_yoy_pct,adj_ebitda_yoy_pct,fcf_yoy_pct,sbc_yoy_pct,sales_marketing_yoy_pct,unearned_fees_yoy_pct,funds_held_yoy_pct,nights_yoy_accel_pts,fx_pts_revenue,adr_yoy_reported_pct,fx_pts_adr
3Q20,61.8,8.03,129.92,1342.3,501.0,,,,,,227.3,166.1,213.9,113.5,180.0,22.7,418.7,,,,219.3,87.7,,,1342.3,299.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8029.3,16.72,37.3,,16.3,,16.9,12.4,15.9,8.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Q20,46.3,5.91,127.55,859.1,-21.0,,,,,,209.7,329.2,2062.3,629.5,713.9,14.4,-3100.0,,,,-3888.1,-104.4,-249.4,7.5,859.1,20.3,5480.6,910.7,33.8,2181.3,407.9,1815.6,6391.3,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,we launched our first large-scale marketing campaign in five years,,,,,,,,,,,,,5905.7,14.55,-2.4,,-452.6,,24.4,38.3,240.1,73.3,83.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Q21,64.4,10.3,159.82,887.0,-59.0,229.5,598.7,,601.0,130.4,254.5,185.4,363.1,229.1,189.8,112.0,-446.9,606.4,7.7,601.0,-1172.2,6.3,606.4,7.7,886.9,601.0,4482.6,2086.7,19.9,4014.9,946.2,1979.4,6569.3,5.0,3.0,,,,,,,,,,20.0,,41.0,,,24.0,,,,,,,,,,,,,,,,,Our strategy is to increase brand marketing and use the strength of our brand to,,,,,,,,,,,,,10300.0,8.61,-6.7,67.5,-132.2,25.9,28.7,20.9,40.9,25.8,21.4,254.5,174.0,219.4,203.2,141.3,28.7,19.6,24.7,22.9,15.9,3.95,2.7,3.41,3.16,2.19,,,,,,,,,,,,2.0,,
2Q21,83.1,13.4,161.45,1335.0,217.0,232.9,782.0,,611.7,8.5,294.4,208.1,349.7,315.3,218.3,0.6,-51.3,789.7,7.7,611.7,-68.2,11.2,,,1335.2,611.7,5672.7,1755.3,14.8,6301.7,1483.9,1980.5,7428.0,299.0,,320.0,301.0,,,,,,,,27.0,,40.0,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,13400.0,9.96,16.3,58.6,-5.1,17.4,22.1,15.6,26.2,23.6,16.4,294.4,193.9,205.9,291.2,167.6,22.0,14.5,15.4,21.8,12.6,3.54,2.33,2.48,3.5,2.02,,,,,,,,,,,,,,
3Q21,79.7,11.9,149.15,2237.0,1101.0,210.8,529.2,,681.9,15.7,311.6,228.3,344.4,290.9,210.7,-0.5,852.0,534.7,5.5,621.0,833.9,16.6,,,2237.4,681.9,5994.7,1926.0,14.8,3940.5,892.4,1981.5,7920.7,67.0,64.0,48.0,46.0,,,,,,,,33.0,,46.0,,,20.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,11900.0,18.8,49.2,23.7,37.3,9.4,13.9,10.2,15.4,13.0,9.4,311.6,217.1,213.1,267.2,166.0,13.9,9.7,9.5,11.9,7.4,3.91,2.72,2.67,3.35,2.08,28.96,48.21,14.8,66.65,119.76,,,156.3,,,,3.0,14.8,
4Q21,73.4,11.3,153.61,1532.0,333.0,225.9,378.1,0.0,569.4,22.4,295.5,225.1,367.8,350.7,217.2,0.9,75.2,382.2,4.1,630.3,54.5,17.9,382.2,4.1,1532.4,4.7,6067.0,2255.0,15.0,3715.0,904.0,1983.0,8322.0,78.0,79.0,91.0,93.0,,,,,,,,35.0,,49.0,,,22.0,6.0,,,,,,,,,703.0,,,,,,,sales and marketing expense as a percent of revenue is expected to remain relati,,,,,,,,,,,,,11300.0,13.56,21.7,24.7,3.6,14.7,19.3,14.7,24.0,22.9,14.2,295.5,213.4,241.5,324.4,155.8,19.3,13.9,15.8,21.2,10.2,4.03,2.91,3.29,4.42,2.12,58.53,91.34,20.43,78.33,-1685.71,,,-44.29,121.62,70.31,29.57,-1.0,20.4,
1Q22,102.1,17.2,168.07,1509.0,229.0,195.0,1196.0,0.0,635.0,205.0,363.0,232.7,363.0,345.0,210.0,0.3,-5.0,1202.0,6.0,635.0,-19.0,10.7,1202.0,6.0,1509.0,635.0,6886.6,2435.7,14.8,6104.7,1747.7,1983.6,9322.3,70.0,74.0,67.0,71.0,,,,,,,,39.0,,46.0,80.0,,21.0,6.0,,,,,,,,,706.0,,,,,,,,,,,,,,,,,,,,17200.0,8.77,15.2,79.3,-1.3,12.9,24.1,15.4,24.1,22.9,13.9,363.0,221.0,245.1,323.8,165.9,24.1,14.6,16.2,21.5,11.0,3.56,2.16,2.4,3.17,1.62,58.54,66.99,5.16,70.12,-488.14,99.77,-15.03,50.59,84.71,52.05,0.01,-4.0,5.2,
2Q22,103.7,17.0,163.74,2104.0,711.0,247.0,796.0,0.0,684.0,140.0,390.0,258.0,375.0,379.0,244.0,89.0,369.0,801.0,5.0,638.0,379.0,4.0,,,2104.0,684.0,7838.0,2057.5,14.8,7465.5,1980.9,1984.6,9895.5,58.0,64.0,27.0,34.0,7.0,,,,,,,43.0,,47.0,,,19.0,,,,,,,,,,705.0,2.0,,,,,,,,,,,,,,,,,,,17000.0,12.38,33.8,37.8,18.0,11.7,18.5,12.3,17.8,18.0,11.6,390.0,241.1,230.1,349.9,187.8,18.5,11.5,10.9,16.6,8.9,3.76,2.32,2.22,3.37,1.81,24.79,26.87,1.42,57.6,227.65,1.79,6.05,20.2,33.49,18.47,-33.75,-6.0,1.4,-5.6
3Q22,99.7,15.6,156.44,2884.0,1457.0,234.0,958.0,1000.0,680.0,146.0,401.0,290.0,366.0,384.0,240.0,0.0,1203.0,964.0,6.0,639.0,1214.0,56.0,,,2884.0,680.0,7523.7,2103.9,1.5,4805.4,1220.3,1985.7,9627.6,29.0,36.0,31.0,40.0,12.0,20.0,20.0,33.0,65.0,,,43.0,58.0,48.0,27.0,,20.0,,15.0,,,48.0,,,,90.0,698.0,,,,,,,,,,,,,,,,,,,,15600.0,18.49,50.5,33.2,42.1,8.1,13.9,10.1,12.7,13.3,8.3,401.0,272.1,230.1,356.6,186.9,13.9,9.4,8.0,12.4,6.5,4.02,2.73,2.31,3.58,1.87,25.09,31.09,4.89,28.92,32.33,81.03,11.01,32.0,36.74,21.95,0.3,-7.0,4.9,-7.1
4Q22,88.2,13.5,152.81,1902.0,506.0,254.0,455.0,500.0,721.0,116.0,345.0,260.0,398.0,408.0,256.0,0.0,235.0,463.0,8.0,636.0,319.1,25.0,463.0,8.0,1902.0,-3.0,7378.0,2244.0,17.0,4783.0,1182.0,1987.0,9622.0,24.0,31.0,20.0,26.0,5.0,,25.0,,40.0,North America remained strong with continued growth in Night,,44.0,49.0,51.0,22.0,,21.0,6.6,16.0,,,50.0,,,1.4,,694.0,,,,,,,,26.0,24.0,,,,,,,,,,,13500.0,14.09,26.6,23.9,16.8,13.4,18.1,13.7,20.9,21.5,13.5,345.0,243.0,249.0,372.0,204.0,18.1,12.8,13.1,19.6,10.7,3.91,2.76,2.82,4.22,2.31,20.16,19.47,-0.52,24.15,51.95,20.34,12.44,16.34,30.75,28.75,-4.93,-7.0,-0.5,-5.5
