city,pairs_all,pairs_eligible,pairs_excluded,retention_mean_all,retention_mean_eligible,retention_min_all,retention_min_eligible,matched_reviews_yoy_mean_all,matched_reviews_yoy_mean_eligible,pairs_eligible_pit,retention_mean_delta_pts,matched_reviews_yoy_delta_pts
austin,11,5,6,0.5098,0.5558,0.3683,0.4893,0.0018,-0.0068,1,4.6056,-0.8562
barcelona,3,3,0,0.6296,0.6296,0.6269,0.6269,0.1046,0.1046,2,0.0,0.0
chicago,9,7,2,0.6658,0.7419,0.3963,0.6493,0.111,0.1209,7,7.6095,0.9886
london,3,3,0,0.7095,0.7095,0.6956,0.6956,0.0972,0.0972,3,0.0,0.0
los-angeles,9,9,0,0.7005,0.7005,0.6491,0.6491,0.0612,0.0612,9,0.0,0.0
mexico-city,6,4,2,0.7051,0.7368,0.64,0.6773,0.1056,0.1063,6,3.1683,0.0692
nashville,11,5,6,0.6124,0.7524,0.4413,0.7225,0.0673,0.0512,6,14.0004,-1.6069
new-orleans,6,5,1,0.6793,0.7327,0.4124,0.6886,0.0717,0.0608,5,5.3383,-1.0887
new-york-city,2,2,0,0.6986,0.6986,0.6948,0.6948,0.0421,0.0421,2,0.0,0.0
paris,13,7,6,0.5975,0.7316,0.3315,0.6932,0.0987,0.0649,7,13.4097,-3.3782
rome,17,15,2,0.7734,0.7911,0.6338,0.728,0.0756,0.0755,15,1.7673,-0.0101
san-diego,10,10,0,0.7315,0.7315,0.6589,0.6589,0.0624,0.0624,10,0.0,0.0
sydney,3,3,0,0.7533,0.7533,0.7405,0.7405,0.0537,0.0537,3,0.0,0.0
