,avg,avg,avg,avg,avg,avg,avg,avg,avg,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct
ccy,AUD,BRL,CAD,EUR,GBP,INR,JPY,KRW,MXN,AUD,BRL,CAD,EUR,GBP,INR,JPY,KRW,MXN
1Q18,0.7858693548387097,0.3079857370208189,0.7903773956373709,1.228916129032258,1.3919677419354837,0.015533645264898156,0.009240368241214696,0.0009336741436494636,0.053440248004453045,,,,,,,,,
2Q18,0.756809375,0.27800950383736983,0.7749679535554871,1.19221875,1.3612140625,0.014929664961130296,0.009163425294089641,0.0009264463796255375,0.0516123373282492,,,,,,,,,
3Q18,0.731515873015873,0.25361487955930473,0.7651323312596656,1.1628904761904761,1.3029571428571427,0.014269341927215856,0.008968793809820056,0.0008922234961670694,0.052796455402202055,,,,,,,,,
4Q18,0.71739,0.26287006475465374,0.7577153150263176,1.14142,1.2870116666666667,0.013868101908798754,0.008868195846235244,0.0008875356866843337,0.05050652385814707,,,,,,,,,
1Q19,0.7121694915254237,0.2653665446873505,0.7520674879664957,1.1353677966101694,1.3030610169491526,0.0142033802208656,0.009076169734369234,0.0008890756102729093,0.05207594206593996,-9.38,-13.84,-4.85,-7.61,-6.39,-8.56,-1.78,-4.78,-2.55
2Q19,0.7002640625,0.2553961920649218,0.7475238066197181,1.1236921875,1.2858546875,0.014382680273528408,0.009096757346445267,0.0008578572215454078,0.05233235821659821,-7.47,-8.13,-3.54,-5.75,-5.54,-3.66,-0.73,-7.4,1.4
3Q19,0.6857109375,0.25236199716806007,0.7573081744627155,1.1120421875,1.23285625,0.014212392305901161,0.00931775418555046,0.0008377318120696935,0.051504642091837624,-6.26,-0.49,-1.02,-4.37,-5.38,-0.4,3.89,-6.11,-2.45
4Q19,0.6837145161290323,0.2432459649780973,0.7577857963220186,1.1074645161290324,1.2879612903225806,0.014043817652828264,0.009201308649762893,0.0008507875215428091,0.051961614672718655,-4.69,-7.47,0.01,-2.97,0.07,1.27,3.76,-4.14,2.88
1Q20,0.6569290322580644,0.22492208122059387,0.743825264207426,1.1022016129032257,1.278751612903226,0.013797064218044035,0.009182706913624508,0.0008379524945423217,0.05024719043628085,-7.76,-15.24,-1.1,-2.92,-1.87,-2.86,1.17,-5.75,-3.51
2Q20,0.6578015625,0.18652082760562308,0.7220509462954748,1.101575,1.2418484375,0.013184247924974843,0.009301435188395933,0.0008203346313334003,0.04293715594969624,-6.06,-26.97,-3.41,-1.97,-3.42,-8.33,2.25,-4.37,-17.95
3Q20,0.7153921875,0.1860301385668849,0.7507846089872691,1.1698171875,1.292665625,0.013451374391736687,0.009425260957299817,0.0008420907188650674,0.04528781210222361,4.33,-26.28,-0.86,5.2,4.85,-5.35,1.15,0.52,-12.07
4Q20,0.7309699999999999,0.18536602283952194,0.7675479700211201,1.1925416666666666,1.3204416666666667,0.013553559560273872,0.009572327309408657,0.0008948614908642923,0.04865563433135443,6.91,-23.79,1.29,7.68,2.52,-3.49,4.03,5.18,-6.36
1Q21,0.77287,0.18245650190133578,0.7901852792868052,1.2045333333333335,1.37979,0.0137172365768404,0.00942252587133544,0.000897178778628176,0.04910185648586321,17.65,-18.88,6.23,9.28,7.9,-0.58,2.61,7.07,-2.28
2Q21,0.7700578125,0.1892574736278295,0.8142061152989019,1.2050421875,1.3981296875,0.01355438670700732,0.009138643239757726,0.0008918616555190675,0.04997428103532398,17.07,1.47,12.76,9.39,12.58,2.81,-1.75,8.72,16.39
3Q21,0.7343828125,0.19126459522204287,0.7936923761284257,1.1784140625,1.3779171875,0.013496379744489815,0.009085159111065425,0.0008621335346273575,0.049928836678898816,2.65,2.81,5.72,0.73,6.6,0.33,-3.61,2.38,10.25
4Q21,0.728911475409836,0.17896761406210207,0.7935963440374969,1.1436590163934426,1.3485770491803277,0.013345036899857726,0.008800088057834433,0.0008451305034453015,0.048213039504706005,-0.28,-3.45,3.39,-4.1,2.13,-1.54,-8.07,-5.56,-0.91
1Q22,0.7248629032258064,0.19192973663272442,0.7897118028319147,1.1216016129032258,1.3407032258064515,0.013292316475499596,0.008598041384368975,0.0008291698188233351,0.04877624313471456,-6.21,5.19,-0.06,-6.88,-2.83,-3.1,-8.75,-7.58,-0.66
2Q22,0.7143698412698413,0.20349922718623112,0.7835864205496368,1.0645777777777776,1.2564079365079366,0.012957608986298028,0.007714679370760694,0.0007936678580507165,0.04987825758751875,-7.23,7.53,-3.76,-11.66,-10.14,-4.4,-15.58,-11.01,-0.19
3Q22,0.6833046875,0.1907391035660605,0.7658880648311571,1.006565625,1.17665,0.012535561719700855,0.0072334487229141625,0.0007463880886480771,0.04943068355453593,-6.96,-0.27,-3.5,-14.58,-14.61,-7.12,-20.38,-13.43,-1.0
4Q22,0.6574295081967213,0.19033965567822994,0.7365880544086933,1.0218049180327868,1.1753704918032786,0.012172878482123705,0.0070852827074136876,0.0007370411585795141,0.05081940328492499,-9.81,6.35,-7.18,-10.65,-12.84,-8.78,-19.49,-12.79,5.41
1Q23,0.6832677419354839,0.19254560367329773,0.739254335997772,1.0729709677419357,1.215341935483871,0.012166088124719277,0.00755325841060324,0.000784004647509417,0.05363287428061569,-5.74,0.32,-6.39,-4.34,-9.35,-8.47,-12.15,-5.45,9.96
2Q23,0.6680777777777778,0.20202591590272467,0.7446890285993771,1.0888285714285713,1.2519492063492064,0.012170212880334241,0.0072857165853980575,0.0007601946013434383,0.05655625581264214,-6.48,-0.72,-4.96,2.28,-0.35,-6.08,-5.56,-4.22,13.39
3Q23,0.6547634920634922,0.20492602228580506,0.7458002229455715,1.0884174603174603,1.2662555555555557,0.012094290369875,0.006922085147630141,0.0007617953011159086,0.05864633233549057,-4.18,7.44,-2.62,8.13,7.62,-3.52,-4.3,2.06,18.64
4Q23,0.6513196721311475,0.20196201598281843,0.7346987336584855,1.0761147540983607,1.2419147540983606,0.01201275856761003,0.006769663125062707,0.0007567820936379224,0.057027645969506977,-0.93,6.11,-0.26,5.32,5.66,-1.32,-4.45,2.68,12.22
