city,dump_date,listings,reviews_ltm,reviews_l30d,n_avail,blocked_30,blocked_90,entire_share,partial_scope
austin,2024-06-17,15159,156834,12832,13779,0.5203546459588262,0.4354307279192975,0.811926908107395,False
austin,2024-09-13,15244,155897,9790,13901,0.5755221446898304,0.4896266455650673,0.8153371818420362,False
austin,2024-12-14,15500,156528,10439,14183,0.49515617288302893,0.4259293207047561,0.8138064516129032,False
austin,2025-03-06,15431,152877,10994,14084,0.6486320174192938,0.5500418126163653,0.8137515391095846,False
austin,2025-06-13,15187,148169,10758,13856,0.5486191301000769,0.44082948421862966,0.8116151972081386,False
austin,2025-09-16,10533,137621,9138,10448,0.4791794282797346,0.35908520503658337,0.8618627171745942,True
austin,2025-12-22,11251,141768,8207,11170,0.40064458370635625,0.311889983089625,0.8441916274108968,True
austin,2026-01-18,11374,141110,8447,11293,0.42186014935505767,0.3401546680834736,0.8449094425883594,False
austin,2026-02-19,10422,133561,7123,10357,0.4847832383894951,0.34673597030457126,0.8524275570907696,False
austin,2026-03-25,8170,124235,10839,8141,0.44253367727142445,0.30670133344252004,0.8712362301101592,True
austin,2026-04-23,8290,125547,10844,8259,0.4425111999031359,0.33015430977654014,0.8756332931242461,True
austin,2026-05-25,8568,127535,11401,8539,0.40616387555139155,0.3004033779651534,0.8545751633986928,True
austin,2026-06-22,11295,137348,10823,11224,0.48382929436920885,0.3627138275124733,0.8281540504648074,False
austin,2026-07-18,11172,136834,11041,11108,0.4767014764133958,0.3753410955067419,0.8302900107411385,False
austin,2026-08-25,11079,136702,9535,10947,0.4798483602813557,0.403984856327964,0.8302193338748984,False
barcelona,2025-09-14,19410,220224,17244,18346,0.7078255023801736,0.5282731930666085,0.6073673364245235,False
barcelona,2025-12-14,18177,203594,13572,17153,0.5656503235585612,0.47470413338774553,0.6461462287506189,False
barcelona,2026-01-18,17099,204367,13064,16096,0.6380177269715043,0.5181245858184228,0.6478741446868238,False
barcelona,2026-02-18,12786,182711,11803,12690,0.6355161544523247,0.5182216968741791,0.7530893164398561,True
barcelona,2026-03-21,16107,198456,14734,14577,0.7066062975920971,0.5986965767990671,0.659899422611287,False
barcelona,2026-04-20,7277,178632,14743,7233,0.7127056546384626,0.5247645820851958,0.85625944757455,True
barcelona,2026-05-24,14399,202030,16672,14299,0.716469683194629,0.5617898687553908,0.7166469893742621,True
barcelona,2026-06-24,15293,201980,16737,15129,0.6720690946746866,0.5181050374189379,0.7090825868044204,False
barcelona,2026-07-16,15777,204982,15761,12073,0.6571274745299428,0.5263250411846453,0.6988020536223617,False
barcelona,2026-08-23,16227,216064,18081,12633,0.6777461146732104,0.5585151763019254,0.6903925556171813,False
chicago,2025-03-11,8748,123475,5921,8649,0.5508112691255251,0.47562081679320667,0.7613168724279835,False
chicago,2025-06-17,8604,115036,12444,8513,0.6208935353772661,0.48599266481329206,0.7588331008833101,False
chicago,2025-09-22,8660,119632,11545,8556,0.5571061243571762,0.38907329489377174,0.7699769053117783,False
chicago,2025-12-25,8884,122167,6789,8772,0.4027891776865785,0.302833510665248,0.7730751913552454,False
chicago,2026-01-20,8817,123213,7232,8698,0.3830689047290564,0.314905086737692,0.7779290007939208,False
chicago,2026-02-25,7821,116580,4621,7731,0.44320700211270636,0.346207907558315,0.7922260580488428,False
chicago,2026-03-27,5153,112400,7013,5077,0.45315475018055273,0.3869214102816624,0.8001164370269745,True
chicago,2026-04-24,5116,112320,8522,5090,0.5630910281597904,0.46807029032962233,0.8197810789679437,True
chicago,2026-05-26,8408,125505,11114,8300,0.6650361445783133,0.5273346720214189,0.7838962892483349,False
chicago,2026-06-24,8660,124877,12553,8536,0.6578725398313028,0.5037032698115173,0.7693995381062355,False
chicago,2026-07-20,8698,128026,12809,8585,0.6621937487866434,0.4912948941953019,0.7736261209473442,False
chicago,2026-08-27,8778,136135,13622,8603,0.622337169204541,0.4448164077130716,0.767259056732741,False
london,2025-09-14,96871,553096,48505,92622,0.6786785716856327,0.5863670498249756,0.6493893941427259,False
london,2025-12-13,95688,553532,49704,91273,0.6164747515694674,0.5303485148948758,0.6493395201070145,False
london,2026-01-17,61139,524072,39628,60432,0.394801319389286,0.3275621083752537,0.6852418260030423,True
london,2026-02-18,60374,515723,29416,59529,0.4209668116940203,0.3645319461476292,0.6838042866134428,True
london,2026-03-21,53639,478137,31578,52831,0.4593445767320954,0.3886417696680611,0.6866645537761703,True
london,2026-04-19,54538,482218,36293,53919,0.4898607170014281,0.4204337370252911,0.6904176904176904,True
london,2026-05-24,57073,484022,43647,56528,0.5030563024813661,0.4264158175299556,0.6732956038757381,True
london,2026-06-19,92638,566386,50573,91670,0.7145416530307989,0.5993018435693247,0.6625466871046439,False
london,2026-07-16,91965,571751,67668,91078,0.6576246001595702,0.5815414626291018,0.6638938726689502,False
london,2026-08-18,92783,583379,50940,91708,0.6434400488507,0.5712660473095768,0.6635913906642381,False
