sensitivity,estimate,source,basis,confidence,file_or_reference
"Entire home vs private room, all-in price",+120% median / +30% hedonic-adjusted,"Inside Airbnb 2026 quote basis, 1.66m listing-dumps, 13 cities",estimated here,high,data/processed/overnight/06_wtp_evidence.csv
"Guest capacity (accommodates), elasticity of nightly price",+0.49% per 1% more capacity (2026 quote basis); +0.39% on the 2024-25 listed basis,"Inside Airbnb hedonic, city-dump fixed effects",estimated here,high,data/processed/overnight/06_wtp_hedonic_coefs.csv
"Extra bedroom, holding capacity and everything else fixed",+15.1% per bedroom (2026 quote basis); +19.5% (2024-25 listed basis),Inside Airbnb hedonic,estimated here,high,data/processed/overnight/06_wtp_hedonic_coefs.csv
Rating 4.9+ vs 4.7-4.8 (Guest Favorite proxy),+9.5% (2026 quote basis); +13.5% (2024-25),Inside Airbnb hedonic,estimated here,"medium (rating is a proxy for the Guest Favorite badge, not the badge itself)",data/processed/overnight/06_wtp_hedonic_coefs.csv
Superhost badge,"+1.0% (2026 quote basis), +11.0% unadjusted median; -1.2% (2024-25 hedonic)",Inside Airbnb hedonic and median cut,estimated here,"low (the raw premium is composition, not the badge)",data/processed/overnight/06_wtp_evidence.csv
Instant Book,+8.9% (2024-25 listed basis); not identified on the 2026 quote basis,Inside Airbnb hedonic,estimated here,low,data/processed/overnight/06_wtp_evidence.csv
Professional host (>20 listings) vs single-listing host,+8.1% (2026 quote basis); +9.5% (2024-25),Inside Airbnb hedonic,estimated here,medium,data/processed/overnight/06_wtp_hedonic_coefs.csv
Minimum stay 7+ nights vs 1-2 nights,-37.8% median (2026 quote basis); -19.7% (2024-25),Inside Airbnb median cut,estimated here,medium (length-of-stay discounts plus a different property mix),data/processed/overnight/06_wtp_evidence.csv
Airbnb take rate from full single-fee migration,"+40 to +50bps on a fully migrated book, arithmetic from published rates (split 14.1% guest + 3% host on a fee-inclusive GBV base gives about 15.0%; single fee gives 15.5%)",Airbnb help-centre fee rates; letters,arithmetic here,medium (guest fee varies 14.1-16.5% and the taxes in GBV dilute both sides),note section 6
Take rate from the mid-2024 FX service fee,+20bps y/y in 2025,"Mertz, 4Q24 call",published,high,4Q24 call
Nights and GBV uplift from RNPL + cancellation redesign + single fee,"about +3pp nights and +4pp GBV in Q1 2026, so about +1pp of ADR","Mertz, 1Q26 call",published,"high (company-stated, no counterfactual)",1Q26 call
ABNB ADR y/y sensitivity to FX,"reported minus ex-FX ADR ran +5pp (1Q26), +1pp (2Q26), +3pp (4Q25), +2pp (3Q25)",shareholder letters,published,high,data/processed/overnight/06_price_gap_series.csv
Airbnb price premium over hotels per room,"Airbnb 1-bedroom all-in $114-120 vs hotel ADR $140-153 in Sep-23, Dec-23 and Mar-24, i.e. Airbnb 19-25% cheaper per room","ABNB 3Q23/4Q23 letters and Skift, sourced to CoStar",published,high (but on Airbnb's own chosen comparator),data/processed/overnight/06_price_gap_monthly.csv
Airbnb price per person vs a hotel room,"Median all-in Airbnb entire-home price per guest capacity was about $59 a night across seven large US cities in Q2-Q3 2026, against a US hotel ADR of $171.74 in July 2026 for a room holding roughly 1.4-1.8 people",Inside Airbnb; CoStar,estimated here,medium (capacity is not realised party size; the seven cities are high-ADR urban markets),data/processed/overnight/06_price_per_unit_panel.csv
Discount penetration in Airbnb's own near-term quotes,"share of available quotes carrying a discount rose from 10.9% (Mar 2026) to 31.4% (Aug 2026), higher in all 13 cities; median discount about 15% of the nightly subtotal, 9.6% in August",Inside Airbnb price_quote_raw,estimated here,medium (no year-ago comparison exists; seasonality is not controlled),data/processed/overnight/06_quote_discount_panel.csv
Booking.com net take rate ceiling,"about 14.5% in 2025, 15-16% pre-pandemic; expert and sell-side both see the low teens as the range","Third Bridge, 30-Jul-2026",expert opinion,medium,06_expert_call_evidence.csv
Airbnb commission charged to European managed rentals,15-16%,"Third Bridge, 26-May-2026",expert observed,medium,06_expert_call_evidence.csv
Alt-accom vs hotel occupancy gap (India),"hotels 60-65%, non-hotel alternative accommodation about 40%","Third Bridge, 19-Aug-2026",expert observed,medium,06_expert_call_evidence.csv
AI-native booking share shift,about 3% of accommodation bookings over the next 12-24 months,"Third Bridge, 14-Aug-2026",expert opinion,low,06_expert_call_evidence.csv
Hotel revenue displaced by Airbnb supply,"a 10% rise in Airbnb listings is associated with about a 0.5% fall in quarterly hotel revenue, concentrated in lower-priced non-business hotels","Zervas, Proserpio and Byers (2017), JMR","published, causal design","high for Texas 2008-2014, dated for 2026",06_choice_drivers.csv
Consumer surplus per Airbnb transaction,"about $41, concentrated where hotels are capacity-constrained","Farronato and Fradkin (2022), AER","published, structural",high for the sample period,06_choice_drivers.csv
Share of Airbnb guests who would otherwise have used a hotel,nearly two-thirds of surveyed users had used Airbnb as a hotel substitute (n>800),"Guttentag and Smith (2017), IJHM","published, survey","medium (2017 survey, self-report)",06_choice_drivers.csv
Own-price elasticity of Airbnb demand,"no consensus: inelastic (0 to 1 in modulus) in New York and Vienna, elastic in Barcelona and Madrid",Gunter/Onder/Zekan 2020; Gunter and Onder 2018; Casamatta et al. 2022,published,"low (city-specific, pre-2020 data, conflicting signs)",06_choice_drivers.csv
US private-rental trip intent,29% of paid-lodging summer travellers plan a private-rental stay in 2026 against 81% planning at least one hotel stay; the two overlap,"Deloitte 2026 summer survey, n=4,003, fielded 2-9 Apr 2026","published, survey",medium-high,06_choice_drivers.csv
Sensitivity of Airbnb nights to a hotel-price move,not estimable from what we hold. The predictive study already found hotel RevPAR tracks ABNB nights but adds no incremental forecast value,research/notes/2026-09-06_predictive-study.md,prior team work,n/a,predictive study
