print_quarter,adj_ebitda_margin_pct,adj_ebitda_margin_yoy_pts,adj_ebitda_usd_m,adr_usd_seq,adr_yoy_pct,capex_usd_m,fcf_margin_minus_ebitda_margin_pts,gbv_usd_b,gbv_yoy_pct,new_business_investment_usd_m,nights_m,nights_yoy_pct,revenue_usd_m,revenue_yoy_exfx_pct,revenue_yoy_pct,sbc_yoy_pct,sm_growth_minus_rev_growth_pts,sm_pct_rev_yoy_bps,take_rate_pct_seq,take_rate_yoy_pts,tax_rate_pct,n_guides,max_horizon_q
4Q20,2.0,,,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,7,4
1Q21,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,6,3
2Q21,2.0,,,,1.0,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,8,2
3Q21,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,6,1
4Q21,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,8,4
1Q22,,2.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,7,3
2Q22,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,7,2
3Q22,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,7,1
4Q22,,2.0,,,2.0,,,,,,,1.0,1.0,1.0,1.0,,,2.0,,1.0,,11,4
1Q23,,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,8,3
2Q23,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,8,2
3Q23,,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,8,1
4Q23,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,8,4
1Q24,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,2.0,1.0,,,,,,8,3
2Q24,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,9,2
3Q24,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,11,2
4Q24,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,9,4
1Q25,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,9,3
2Q25,1.0,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,10,2
3Q25,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,10,5
4Q25,,2.0,,,,,,,1.0,,,1.0,1.0,,2.0,,,,,1.0,1.0,9,4
1Q26,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,2.0,,,,,1.0,1.0,10,3
2Q26,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,2.0,,,,,1.0,1.0,10,2
