macro,macro_label,target,target_label,effect_per_unit,effect_unit,lag_quarters,window,n,r,spearman,perm_p,loo_rmse,naive_rmse,loo_mean_rmse,r_ex2021,n_ex2021,r_from2024,r_diff_qoq,method,confidence,confidence_reason,margin_effect_via_chain_pp,margin_chain_detail
usd_broad,USD broad trade-weighted y/y (%),nights_yoy,nights y/y (%),0.2235,nights y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,0.3179,-0.0637,0.2657,3.5283,2.954,3.0266,0.1993,18,-0.3954,-0.0418,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.32, perm p 0.27",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),nights_accel,nights acceleration (pp q/q),-0.1965,nights acceleration (pp q/q) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.2815,-0.2527,0.3357,3.0099,4.5718,3.0044,-0.1817,17,-0.1411,-0.0026,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.28, perm p 0.34",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),-0.095,ADR y/y ex-FX (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.3423,-0.3331,0.2428,1.2976,0.9405,1.1942,0.2619,17,-0.8721,0.0015,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.34, perm p 0.24",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),adr_fx_effect,FX effect on ADR (pp),-0.5925,FX effect on ADR (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.9508,-0.967,0.001,0.7649,2.053,2.2868,-0.9641,17,-0.9645,-0.9591,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),high,"|r|>=0.8, perm p<0.01, LOO beats both benchmarks, sign stable, survives from-2024 and first-difference checks, mechanical",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),rev_yoy,revenue y/y (%),-0.4699,revenue y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.3904,-0.2703,0.1638,4.5312,3.8358,4.4172,0.323,18,-0.6706,-0.4048,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.39, perm p 0.16",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),rev_fx_pts,FX effect on revenue (pp),-0.5348,FX effect on revenue (pp) per +1 unit of macro,0,2023Q1-2026Q2,13,-0.7959,-0.8405,0.001,1.6342,2.1985,2.4608,-0.9038,17,-0.7862,-0.6813,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),medium,"|r|>=0.6, perm p<0.05, LOO beats mean, sign stable; survives the from-2024 check",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),ebitda_margin_chg,Adj. EBITDA margin change y/y (pp),-0.2793,Adj. EBITDA margin change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.3977,-0.3363,0.1568,2.9308,2.7639,3.0224,-0.0387,18,-0.3503,-0.2432,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.40, perm p 0.16",-0.2785,fx:0.47x-0.59
usd_broad,USD broad trade-weighted y/y (%),sm_pct_chg,S&M % revenue change y/y (pp),0.0496,S&M % revenue change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,0.1236,-0.1297,0.7093,1.8227,1.4255,1.7273,-0.1075,18,-0.1237,0.3947,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.12, perm p 0.71",-0.2785,fx:0.47x-0.59
eurusd,EUR/USD y/y (%),nights_yoy,nights y/y (%),-0.1971,nights y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.4009,0.0549,0.1479,3.5172,2.954,3.0266,-0.4317,18,0.4005,0.0831,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.40, perm p 0.15",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),nights_accel,nights acceleration (pp q/q),0.1742,nights acceleration (pp q/q) per +1 unit of macro,1,2023Q1-2026Q2,14,0.3568,0.3538,0.2188,2.9957,4.5718,3.0044,0.3421,17,0.224,0.1258,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.36, perm p 0.22",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),0.0466,ADR y/y ex-FX (%) per +1 unit of macro,1,2023Q1-2026Q2,14,0.2404,0.2765,0.4256,1.3608,0.9405,1.1942,-0.4826,17,0.8376,-0.2529,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.24, perm p 0.43",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),adr_fx_effect,FX effect on ADR (pp),0.4602,FX effect on ADR (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,0.9721,0.9824,0.001,0.5722,2.053,2.2868,0.9901,17,0.9775,0.9584,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),high,"|r|>=0.8, perm p<0.01, LOO beats both benchmarks, sign stable, survives from-2024 and first-difference checks, mechanical",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),rev_yoy,revenue y/y (%),0.1664,revenue y/y (%) per +1 unit of macro,0,2023Q1-2026Q2,14,0.182,0.156,0.5375,4.94,3.8358,4.4172,-0.5567,18,0.4604,0.282,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.18, perm p 0.54",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),rev_fx_pts,FX effect on revenue (pp),0.3128,FX effect on revenue (pp) per +1 unit of macro,1,2023Q1-2026Q2,13,0.8156,0.8179,0.002,1.4704,2.1985,2.4608,0.8986,17,0.8156,0.4403,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),high,"|r|>=0.8, perm p<0.01, LOO beats both benchmarks, sign stable, survives from-2024 and first-difference checks, mechanical",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),ebitda_margin_chg,Adj. EBITDA margin change y/y (pp),0.1738,Adj. EBITDA margin change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,0.354,0.2791,0.1928,2.9774,2.7639,3.0224,-0.214,18,0.2518,0.1999,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.35, perm p 0.19",0.2163,fx:0.47x+0.46
eurusd,EUR/USD y/y (%),sm_pct_chg,S&M % revenue change y/y (pp),-0.0284,S&M % revenue change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.1013,0.1516,0.7223,1.8304,1.4255,1.7273,0.3171,18,0.2449,-0.3147,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.10, perm p 0.72",0.2163,fx:0.47x+0.46
gbpusd,GBP/USD y/y (%),nights_yoy,nights y/y (%),-0.294,nights y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.5979,-0.1385,0.036,3.1811,2.954,3.0266,-0.2382,18,0.3589,0.1328,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),nights_accel,nights acceleration (pp q/q),0.1962,nights acceleration (pp q/q) per +1 unit of macro,1,2023Q1-2026Q2,14,0.402,0.1341,0.1568,3.2245,4.5718,3.0044,0.2302,17,0.0453,0.1566,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.40, perm p 0.16",0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),-0.0831,ADR y/y ex-FX (%) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.3097,-0.3105,0.2827,1.2106,0.9405,1.1942,-0.7688,17,0.0828,-0.4519,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.31, perm p 0.28",0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),adr_fx_effect,FX effect on ADR (pp),0.4025,FX effect on ADR (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,0.7828,0.793,0.004,1.6931,2.053,2.2868,0.9262,17,0.7457,0.8918,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),medium,"|r|>=0.6, perm p<0.05, LOO beats mean, sign stable; survives the from-2024 check",0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),rev_yoy,revenue y/y (%),-0.289,revenue y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.4027,-0.2791,0.1449,4.2894,3.8358,4.4172,-0.2057,18,0.3504,-0.2698,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.40, perm p 0.14",0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),rev_fx_pts,FX effect on revenue (pp),0.3939,FX effect on revenue (pp) per +1 unit of macro,0,2023Q1-2026Q2,13,0.7424,0.6566,0.002,1.7028,2.1985,2.4608,0.9079,17,0.2604,0.7031,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,common-trend artefact: r post-2022 +0.74 but r from 2024 +0.26,0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),ebitda_margin_chg,Adj. EBITDA margin change y/y (pp),0.2652,Adj. EBITDA margin change y/y (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,0.3902,0.4022,0.1858,3.1711,2.7639,3.0224,-0.2843,18,0.2697,0.323,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.39, perm p 0.19",0.1892,fx:0.47x+0.40
gbpusd,GBP/USD y/y (%),sm_pct_chg,S&M % revenue change y/y (pp),-0.0496,S&M % revenue change y/y (pp) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.1767,-0.0989,0.5554,1.772,1.4255,1.7273,0.117,18,-0.1724,-0.5401,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.18, perm p 0.56",0.1892,fx:0.47x+0.40
usdcad,USD/CAD y/y (%),nights_yoy,nights y/y (%),0.3925,nights y/y (%) per +1 unit of macro,1,2023Q1-2026Q2,14,0.4455,0.2264,0.1159,3.2514,2.954,3.0266,-0.275,18,-0.4663,-0.1745,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.45, perm p 0.12",-0.2909,fx:0.47x-0.62
usdcad,USD/CAD y/y (%),nights_accel,nights acceleration (pp q/q),-0.3674,nights acceleration (pp q/q) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.3768,-0.222,0.1798,3.0715,4.5718,3.0044,-0.2746,17,-0.2477,-0.2033,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),none,"|r| 0.38, perm p 0.18",-0.2909,fx:0.47x-0.62
usdcad,USD/CAD y/y (%),adr_exfx_yoy,ADR y/y ex-FX (%),-0.1883,ADR y/y ex-FX (%) per +1 unit of macro,1,2023Q1-2026Q2,14,-0.5417,-0.5982,0.0549,1.1357,0.9405,1.1942,-0.1372,17,-0.8366,-0.5178,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),low,"|r|>=0.4, perm p<0.10; fails at least one stability or artefact check",-0.2909,fx:0.47x-0.62
usdcad,USD/CAD y/y (%),adr_fx_effect,FX effect on ADR (pp),-0.6189,FX effect on ADR (pp) per +1 unit of macro,0,2023Q1-2026Q2,14,-0.8339,-0.7863,0.001,1.2927,2.053,2.2868,-0.752,17,-0.8593,-0.801,OLS on quarterly y/y (or 4q change) vs KPI; LOO nowcast vs naive-last and LOO-mean; 1000-shuffle permutation p; two artefact guards (r from 2024Q1; r on q/q first differences),medium,"|r|>=0.8, passes all checks including differencing, but no mechanical story; treat as a hypothesis",-0.2909,fx:0.47x-0.62
