target,feature,train_start,eval_window,n_events,first_event,last_event,rmse_baseline_ar1,rmse_baseline_plus_feature,rmse_naive_last_quarter,rmse_prior_year,rmse_trailing4_mean,incremental_ratio,ratio_vs_naive,feature_adds_value,block
rev_yoy,bl_funds_yoy_lag1,2022Q1,2023Q1+,9,2024Q2,2026Q2,4.0702,4.1805,4.5035,6.974,3.9641,1.0271,0.9283,False,WS08 KPI growth
rev_yoy,bl_funds_yoy_lag1,2022Q1,2024Q1+,9,2024Q2,2026Q2,4.0702,4.1805,4.5035,6.974,3.9641,1.0271,0.9283,False,WS08 KPI growth
rev_yoy,bl_funds_yoy_lag1,2023Q1,2024Q1+,5,2025Q2,2026Q2,4.2858,3.0706,4.3222,5.6297,4.2297,0.7165,0.7104,True,WS08 KPI growth
rev_yoy,bl_unearned_yoy_lag1,2022Q1,2023Q1+,9,2024Q2,2026Q2,4.0702,4.9398,4.5035,6.974,3.9641,1.2136,1.0969,False,WS08 KPI growth
rev_yoy,bl_unearned_yoy_lag1,2022Q1,2024Q1+,9,2024Q2,2026Q2,4.0702,4.9398,4.5035,6.974,3.9641,1.2136,1.0969,False,WS08 KPI growth
rev_yoy,bl_unearned_yoy_lag1,2023Q1,2024Q1+,5,2025Q2,2026Q2,4.2858,5.815,4.3222,5.6297,4.2297,1.3568,1.3454,False,WS08 KPI growth
rev_yoy,eu_platform_yoy_lag1,2022Q1,2023Q1+,9,2024Q2,2026Q2,4.0702,4.8516,4.5035,6.974,3.9641,1.192,1.0773,False,WS08 KPI growth
rev_yoy,eu_platform_yoy_lag1,2022Q1,2024Q1+,9,2024Q2,2026Q2,4.0702,4.8516,4.5035,6.974,3.9641,1.192,1.0773,False,WS08 KPI growth
rev_yoy,eu_platform_yoy_lag1,2023Q1,2024Q1+,5,2025Q2,2026Q2,4.2858,4.0697,4.3222,5.6297,4.2297,0.9496,0.9416,True,WS08 KPI growth
rev_yoy,pr_hotel_revpar_yoy,2022Q1,2023Q1+,9,2024Q2,2026Q2,4.0702,3.6012,4.5035,6.974,3.9641,0.8848,0.7996,True,WS08 KPI growth
rev_yoy,pr_hotel_revpar_yoy,2022Q1,2024Q1+,9,2024Q2,2026Q2,4.0702,3.6012,4.5035,6.974,3.9641,0.8848,0.7996,True,WS08 KPI growth
rev_yoy,pr_hotel_revpar_yoy,2023Q1,2024Q1+,5,2025Q2,2026Q2,4.2858,4.1155,4.3222,5.6297,4.2297,0.9603,0.9522,True,WS08 KPI growth
rev_yoy,pr_hotel_revpar_yoy_pit,2022Q1,2023Q1+,9,2024Q2,2026Q2,4.0702,3.6646,4.5035,6.974,3.9641,0.9003,0.8137,True,WS08 KPI growth
rev_yoy,pr_hotel_revpar_yoy_pit,2022Q1,2024Q1+,9,2024Q2,2026Q2,4.0702,3.6646,4.5035,6.974,3.9641,0.9003,0.8137,True,WS08 KPI growth
rev_yoy,pr_hotel_revpar_yoy_pit,2023Q1,2024Q1+,5,2025Q2,2026Q2,4.2858,4.0934,4.3222,5.6297,4.2297,0.9551,0.9471,True,WS08 KPI growth
nights_yoy,bl_funds_yoy_lag1,2022Q1,2023Q1+,9,2024Q2,2026Q2,2.7138,4.9892,2.115,2.3934,1.8867,1.8385,2.359,False,WS08 KPI growth
nights_yoy,bl_funds_yoy_lag1,2022Q1,2024Q1+,9,2024Q2,2026Q2,2.7138,4.9892,2.115,2.3934,1.8867,1.8385,2.359,False,WS08 KPI growth
