grade_datetime,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,date,source
2020-12-11 10:53:46,BTIG,Neutral,,init,,0.0,0.0,2020-12-11,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2020-12-18 13:50:49,Susquehanna,Positive,,init,Announces,180.0,0.0,2020-12-18,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 09:25:52,Keybanc,Sector Weight,,init,,0.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 10:07:32,Needham,Buy,,init,Announces,200.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 10:34:44,Jefferies,Buy,,init,Announces,170.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 10:36:04,Baird,Outperform,,init,Announces,175.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 11:10:41,Morgan Stanley,Equal-Weight,,init,Announces,140.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 11:12:21,Wells Fargo,Equal-Weight,,init,Announces,160.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 11:13:24,Goldman Sachs,Neutral,,init,Announces,143.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 11:14:44,Stifel,Hold,,init,Announces,130.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 11:16:22,JMP Securities,Market Outperform,,init,Announces,180.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 12:57:28,Loop Capital,Hold,,init,Announces,150.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 13:37:46,DA Davidson,Buy,,init,Announces,172.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 13:39:12,Credit Suisse,Neutral,,init,Announces,156.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 14:02:30,Raymond James,Market Perform,,init,,0.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 14:14:45,B of A Securities,Neutral,,init,Announces,158.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-04 16:28:49,Canaccord Genuity,Buy,,init,Announces,175.0,0.0,2021-01-04,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
2021-01-05 10:18:52,Atlantic Equities,Neutral,Overweight,down,,0.0,0.0,2021-01-05,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
