call,call_date,topic,evidence_type,point_paraphrased,numbers
"US VRM (MD, US full-service short-term rental manager)",2-Jun-2026,guest_choice,observed,"Vacation rentals sit on the value side of leisure and have been fairly resilient in downturns; a group of six to eight splits the cost and cooks in, which makes the stay affordable",group of 6-8
US VRM,2-Jun-2026,demand_2026,opinion,"Most of the industry is doing extremely well in 2026 because air and international travel have got more expensive and people still want a vacation, just an affordable one",n/a
US VRM,2-Jun-2026,host_economics,observed,"A property manager takes 20-25% of rental income; the homeowner keeps 75-80%. The manager keeps 100% of the fees (housekeeping, damage waiver, booking fee)",20-25% commission
US VRM,2-Jun-2026,host_economics,observed,"Management commission rates have been broadly stable, down slightly since 2018 when Vacasa and TurnKey competed on fees; the decline is gradual and unquantified",slight decline
US VRM,2-Jun-2026,take_rate,observed,"Of a $100 nightly rate, roughly $15 goes to Airbnb. Typical manager take rate about 30%; typical platform about 40% (on the manager's own definition of the revenue base)",$15 per $100; 30% / 40%
US VRM,2-Jun-2026,take_rate,opinion,Airbnb could not push fees to 20% without consequence: it competes with Booking.com and Vrbo for supply and must stay supplier-friendly; managers would reallocate inventory,n/a
US VRM,2-Jun-2026,channel_mix,observed,"Airbnb has lost the supply exclusivity it once had; platforms now compete for large suppliers with revenue-target rebates and paid placement, Vrbo most aggressively",n/a
US VRM,2-Jun-2026,channel_mix,opinion,In this market the property managers hold the power because the OTAs need the supply; on Airbnb specifically the expert says it has its back against the wall on supply,n/a
US VRM,2-Jun-2026,cycle,observed,In 2009-10 the industry saw some ADR decline but made it up on occupancy; managers also picked up failed competitors,n/a
"UK/Europe VR (former C-level, Awaze Vacation Rentals)",26-May-2026,pricing_power,observed,Campaigns and discounts come out of the manager's own margin once the price falls below the corridor agreed with the homeowner,n/a
UK/Europe VR,26-May-2026,take_rate,observed,"Airbnb and the other big platforms charge 15-16% in Europe, which leaves a managed-rental business with very little after its own costs",15-16%
UK/Europe VR,26-May-2026,take_rate,opinion,The risk of commission cuts is low because Airbnb and the rest have set a plateau; managed rentals will always carry a higher take rate because of the added services,plateau
UK/Europe VR,26-May-2026,demand,observed,"European vacation rental has grown at only very low single digits since 2023; utility, fuel and inflation pressure on household budgets is the constraint",very low single digit
UK/Europe VR,26-May-2026,supply,observed,"Roughly 18 million second homes in Europe, of which about 15 million are never let out; only about 3 million are in the rental pool",18m / 15m / ~3m
UK/Europe VR,26-May-2026,supply,opinion,Buy-to-let and second-home letting is becoming less attractive in the UK on tax; owners are trying to exit,n/a
"India alt-accom (senior exec, revenue management, MakeMyTrip)",19-Aug-2026,market_size,observed,"Indian domestic hotel market roughly INR 400 crore per day of bookings; alternative accommodation about INR 30 crore per day, roughly 8%, about USD 1.2bn a year. Educated estimate, not published data",~8% of hotel
India alt-accom,19-Aug-2026,occupancy,observed,"Hotels run 60-65% occupancy; non-hotel alternative accommodation typically 40%, because the use case is weekend leisure",60-65% vs 40%
India alt-accom,19-Aug-2026,price_vs_hotel,observed,"A villa is about three rooms; branded operators charge a premium, but unbranded villas typically price at the same level as a hotel on a per-room basis",per-room parity
India alt-accom,19-Aug-2026,price_vs_hotel,observed,"Branded villa operators price at a large multiple of the market average: StayVista about 3x, Elivaas about 2 to 2.5x",3x / 2-2.5x
India alt-accom,19-Aug-2026,fees,observed,"Airbnb used to charge standalone hosts (no channel manager) a low commission plus a guest service fee, and channel-manager-connected hosts a higher one. That gap is being removed, taking away the reason standalone hosts stayed unbranded and helping the aggregators",n/a
India alt-accom,19-Aug-2026,growth,opinion,The category will keep growing faster than hotels but will not become a major share; Indian hotels growing around 12-13% in 2026,hotels +12-13%
"Booking Holdings (former Director, Commercial Excellence Americas)",30-Jul-2026,loyalty,observed,"Booking.com direct traffic is high-50s to mid-60s percent; Genius level 2 and 3 members drive high-50s to low-60s percent of room nights, up about 5 points year over year",~60% of room nights
Booking Holdings,30-Jul-2026,take_rate,observed,"Booking's net take rate was around 14.5% in 2025, slightly up on 2024; it was 15-16% before the pandemic",14.5% (2025)
Booking Holdings,30-Jul-2026,take_rate,opinion,The expert expects a small improvement over 12-24 months against a sell-side view of a 30bp fall to about 13.6%; he sees nothing that pushes OTA take rates materially above the low teens,13-14% ceiling
Booking Holdings,30-Jul-2026,consumer,opinion,"Leisure travel carries a large emotional and financial investment, so travellers keep shopping several options before booking; that is also why AI will not replace the OTA booking engine soon",n/a
"OTA AI disruption (principal PM, ML and AI, Booking Holdings)",14-Aug-2026,ai_channel,opinion,"Only about 3% of accommodation bookings are likely to shift to AI-native transactions in the next 12-24 months; the barrier is trust, since a trip is typically over USD 1,000",~3%
OTA AI disruption,14-Aug-2026,ai_channel,opinion,"OTAs took about 30 years from 1996 to reach roughly 50% share, so AI challengers taking 50% within two years is implausible",n/a
