period,period_type,profile,scenario,line,line_label,value_musd,per_night,per_100gbv,pct_of_revenue,driver,target_pct,unit,source
3Q26,quarter,historical,bear,cor,Cost of revenue,615.7194615829546,4.268480693398939,2.3800400754961597,13.293152053523153,"gbv, imposed elasticity 1.0",-1.3031845753522755,% y/y change in cash cost per $ of GBV,historical fit only (no overlay)
3Q26,quarter,historical,bear,ops,Operations and support,366.3093211045418,2.539442656119699,1.415954697964571,7.908480741451222,"nights, imposed elasticity 1.0",-2.4684145638599424,% y/y change in cash cost per night,historical fit only (no overlay)
3Q26,quarter,historical,bear,pd,Product development,368.21070311401746,2.5526240039649624,1.4233044175426157,7.9495308653157695,"trend only, imposed elasticity 0.0",11.266483315064558,% y/y cash growth,historical fit only (no overlay)
3Q26,quarter,historical,bear,brand,Brand and performance marketing,378.3614871794045,2.62299440559978,1.462541885871484,8.168682482996918,"trend only, imposed elasticity 0.0",16.531382051694564,% y/y cash growth,historical fit only (no overlay)
3Q26,quarter,historical,bear,field,Field operations and policy,255.6686723961379,1.7724253659681053,0.9882774937587787,5.519790666916197,"trend only, imposed elasticity 0.0",24.261513732284236,% y/y cash growth,historical fit only (no overlay)
3Q26,quarter,historical,bear,ga,General and administrative,311.77409637336405,2.16137672122665,1.20515086848564,6.731085710342672,"trend only, imposed elasticity 0.0",9.627371131537618,% y/y cash growth,historical fit only (no overlay)
3Q26,quarter,historical,bear,revenue,Revenue,4631.8545,32.110372891338756,17.904256762528835,100.0,memo,,$m,"workstream-29 driver path (revenue, nights, GBV); identity for the rest"
3Q26,quarter,historical,bear,nights,Nights,144.24791999999997,1.0,0.5575848285261805,3.114258446589804,memo,,$m,"workstream-29 driver path (revenue, nights, GBV); identity for the rest"
3Q26,quarter,historical,bear,gbv,GBV,25870.129999999997,179.34490840491844,99.99999999999999,558.526395852892,memo,,$m,"workstream-29 driver path (revenue, nights, GBV); identity for the rest"
3Q26,quarter,historical,bear,cash_costs,Total cash cost ex-SBC,2296.0437417504204,15.917343846278136,8.875269439119249,49.57072252054593,memo,,$m,"workstream-29 driver path (revenue, nights, GBV); identity for the rest"
