kind,scenario,item,before_prefix,after_fix,delta,delta_pct
annual,Bear,"FY2026E Diluted shares, period end",580.4675,589.0195,8.552,1.473
annual,Bear,FY2026E Earnings proxy per share,4.5564,4.4903,-0.0662,-1.452
annual,Bear,FY2026E FCF per share,7.8469,7.733,-0.1139,-1.452
annual,Bear,FY2026E SBC-adjusted FCF per share,4.6875,4.6194,-0.0681,-1.452
annual,Bear,"FY2027E Diluted shares, period end",571.8773,580.4293,8.552,1.495
annual,Bear,FY2027E Earnings proxy per share,3.0675,3.0224,-0.0452,-1.473
annual,Bear,FY2027E FCF per share,6.175,6.084,-0.091,-1.473
annual,Bear,FY2027E SBC-adjusted FCF per share,2.5191,2.482,-0.0371,-1.473
annual,Bear,"FY2028E Diluted shares, period end",564.5092,573.0612,8.552,1.515
annual,Bear,FY2028E Earnings proxy per share,2.3903,2.3546,-0.0357,-1.492
annual,Bear,FY2028E FCF per share,5.5298,5.4473,-0.0825,-1.492
annual,Bear,FY2028E SBC-adjusted FCF per share,1.3818,1.3611,-0.0206,-1.492
annual,Base,"FY2026E Diluted shares, period end",580.298,588.85,8.552,1.474
annual,Base,FY2026E Earnings proxy per share,5.281,5.2043,-0.0767,-1.452
annual,Base,FY2026E FCF per share,8.8381,8.7097,-0.1284,-1.452
annual,Base,FY2026E SBC-adjusted FCF per share,5.7595,5.6758,-0.0836,-1.452
annual,Base,"FY2027E Diluted shares, period end",566.0462,574.5982,8.552,1.511
annual,Base,FY2027E Earnings proxy per share,5.7564,5.6708,-0.0857,-1.488
annual,Base,FY2027E FCF per share,9.5758,9.4333,-0.1425,-1.488
annual,Base,FY2027E SBC-adjusted FCF per share,6.104,6.0132,-0.0908,-1.488
annual,Base,"FY2028E Diluted shares, period end",552.9824,561.5344,8.552,1.547
annual,Base,FY2028E Earnings proxy per share,7.0632,6.9557,-0.1076,-1.523
annual,Base,FY2028E FCF per share,11.2069,11.0363,-0.1707,-1.523
annual,Base,FY2028E SBC-adjusted FCF per share,7.3689,7.2566,-0.1122,-1.523
annual,Bull,"FY2026E Diluted shares, period end",580.1286,588.6806,8.552,1.474
annual,Bull,FY2026E Earnings proxy per share,5.9526,5.8661,-0.0865,-1.453
annual,Bull,FY2026E FCF per share,9.7562,9.6145,-0.1417,-1.453
annual,Bull,FY2026E SBC-adjusted FCF per share,6.7585,6.6603,-0.0982,-1.453
annual,Bull,"FY2027E Diluted shares, period end",562.8452,571.3972,8.552,1.519
annual,Bull,FY2027E Earnings proxy per share,7.4656,7.3538,-0.1117,-1.497
annual,Bull,FY2027E FCF per share,11.6254,11.4514,-0.174,-1.497
annual,Bull,FY2027E SBC-adjusted FCF per share,8.3501,8.2252,-0.125,-1.497
annual,Bull,"FY2028E Diluted shares, period end",546.6238,555.1758,8.552,1.565
annual,Bull,FY2028E Earnings proxy per share,9.4617,9.3159,-0.1457,-1.54
annual,Bull,FY2028E FCF per share,13.89,13.6761,-0.214,-1.54
annual,Bull,FY2028E SBC-adjusted FCF per share,10.3827,10.2228,-0.1599,-1.54
price,Bear,DCF on FCF,78.6946,77.5351,-1.1595,-1.473
price,Bear,DCF on SBC-adjusted FCF,40.9995,40.3954,-0.6041,-1.473
price,Bear,"EV / FCF, FY27E",84.8028,83.5533,-1.2495,-1.473
price,Bear,"EV / adj. EBITDA, FY27E",110.0867,108.4647,-1.622,-1.473
price,Bear,"EV / adj. EBITDA, FY27E (5 Sep multiples 18/22/25.5x)",141.7739,139.685,-2.0889,-1.473
price,Bear,"EV / adj. EBITDA, FY28E",105.155,103.5857,-1.5693,-1.492
price,Bear,Football field high,110.0867,108.4647,-1.622,-1.473
price,Bear,Football field low,37.7869,37.2301,-0.5567,-1.473
price,Bear,Football field mean,77.0899,75.9507,-1.1392,-1.478
price,Bear,"P / SBC-adjusted FCF, FY27E",37.7869,37.2301,-0.5567,-1.473
price,Bear,"P / earnings proxy, FY27E",46.0132,45.3353,-0.678,-1.473
