finding_id,file,old,new
A01,analysis/src/overnight/08_altdata_backtests.py,"F[""bl_unearned_to_next_rev_lag1""] = b[""unearned_to_next_q_revenue""].shift(1)  -> feature at t = unearned[t-1] / revenue[t]","F[""bl_unearned_to_prior_rev_lag1""] = (b[""unearned_fees_musd""] / b[""revenue_musd""]).shift(1)  -> feature at t = unearned[t-1] / revenue[t-1], both reported at the prior print"
A01,"data/processed/overnight/08_feature_tests_all.csv, 08_backlog_tests.csv","6 rows on bl_unearned_to_next_rev_lag1 (pearson_r -0.143 to -0.465, best wf_ratio_vs_ar1 0.951)","6 rows on bl_unearned_to_prior_rev_lag1 (pearson_r 0.020 to -0.318, best wf_ratio_vs_ar1 0.995). Row count unchanged at 598; 52 rows still beat AR(1), 31 beat naive, 26 beat both"
A05,analysis/src/overnight/08_altdata_backtests.py cc_features(),quarterly survival series differenced with .shift(4) on the observed rows; 7 of 12 comparisons were not t vs t-4,"series reindexed onto a contiguous quarterly PeriodIndex before .shift(4); gaps stay NaN, no forward fill"
A05,data/processed/overnight/08_panel_quarterly.csv cc_survival_yoy_pts,2023Q4 -4.816; 2024Q1 -3.100; 2024Q2 2.211; 2024Q3 2.095; 2026Q1 2.248; 2026Q2 1.553; 2026Q3 0.064,2023Q4 -2.885; 2024Q1 2.767 (sign flip); 2024Q2 0.911; 2024Q3 NaN (2023Q3 has no informative crawl); 2026Q1 2.303; 2026Q2 -0.021; 2026Q3 -1.422
A05,"data/processed/overnight/08_test_scoreboard.csv, 08_feature_tests_all.csv","cc_survival_yoy_pts -> nights_yoy: n 11, pearson_r -0.581, wf_ratio_vs_naive 0.690, sign accuracy 0.571","cc_survival_yoy_pts -> nights_yoy: n 10, pearson_r -0.544, wf_ratio_vs_naive 0.675, sign accuracy 0.833. No family count and no headline claim changes"
A09,data/processed/overnight/16_news_since_5sep.csv lines 15 and 16,",TipRanks (estimated, not company-confirmed),  -> 8 fields against a 7-field header; pandas raised ParserError","""TipRanks (estimated, not company-confirmed)"" quoted -> 20 data rows x 7 fields, all values preserved"
A10,analysis/src/overnight/13_excel_builder.py rdcf(),b*(1+g)/(coe-g)*(1-((1+g)/(1+coe))^10) - returns #DIV/0! when g equals coe,"b*(q^1+q^2+...+q^10) with q=(1+g)/(1+coe) - an explicit ten-term discounted sum with no division by (coe-g); continuous at equality, where it equals 10*b"
A10,model/ABNB_driver_model.xlsx Valuation!B54:C63 plus the two staleness-check cells,22 formula cells on the closed-form annuity; Valuation!B59 and C59 read #DIV/0! at a base cost of equity of 11%,"22 formula cells on the ten-term sum; at coe 11% B59 reads 201.02 and C59 136.04, matching the Python mirror. At the shipped coe of 10.5% every value is unchanged to 1e-12 and no model output moves"
A10,"data/processed/overnight/17_excel_vs_python.csv, 17_all_formula_cells.csv, 17_excel_recalc_dump.csv","216/216 outputs, 2,349/2,349 formula cells, 5,547 cells, 0 error cells (pre-fix workbook)","216/216 outputs, 2,349/2,349 formula cells, 5,547 cells, 0 error cells (post-fix workbook, re-dumped from Excel 16.0)"
A10,data/processed/overnight/17_auto_scan.csv,321 informational static-scan hits (3 hard-coded constants),343 hits (25 hard-coded constants). The 22 extra hits are the literal exponents ^1..^10 in the rewritten cells; they are not defects
A10,data/processed/overnight/17_scenario_switch.csv,143 rows = 141 comparisons + 2 change-count summaries,"145 rows = 141 comparisons + 4 change-count summaries, 0 mismatches. The two extra summary rows are the pre-WS17-fix build, which the WS17 note already documents as 145 rows; the committed 143-row file was written before those dumps existed"
S01,data/processed/overnight/15_cross_note_conflicts.csv CONF-11,"recommended: 'Neither: over a quarter at 1Q26 (disclosed), remainder in migration at 2Q26, complete by year-end'; reason: 'The ~50% figure appears in neither the 2Q26 letter nor the 2Q26 call transcript'",recommended: 'NOT A CONFLICT - both notes are right'; reason records the verbatim 2Q26 call line and its location (data/raw/regulatory/transcripts/2026-Q2.txt line 272)
S01,"data/processed/overnight/15_claim_checks.csv, WS06 single-fee row","verdict 'unsupported', 'No ~50% figure exists'; file tally 83 confirmed / 9 wrong / 2 unsupported / 4 unverifiable",verdict 'confirmed' with the transcript quote and line; tally 84 / 9 / 1 / 4
S01,research/notes/overnight/15_red-team.md,"bottom line '98 claims checked: 83 confirmed, 9 wrong, 2 unsupported, 4 unverifiable'; the WS06 paragraph asserts the figure is in neither source",tally restated as 84 / 9 / 1 / 4 with the original in brackets; the WS06 sentence struck through and corrected; an amendment banner added at the top
K01,research/notes/overnight/15_red-team.md 'For the model' table,"table listed CONF-01..CONF-14 and CONF-16 - 15 of the 16 conflicts, jumping straight from CONF-14 to CONF-16","CONF-15 row added (SBC as a share of FY25 revenue: state the basis, 12.92% P&L expense vs 13.1% cash-flow add-back)"
K01,analysis/src/overnight/15_claim_checks.py,"OUT = r""C:\Users\krish\citadel-abnb-overnight\data\processed\overnight""",ROOT resolved from __file__; OUT = ROOT/data/processed/overnight
K01,"data/processed/overnight/15_cross_note_conflicts.csv, 15_claim_checks.csv - workstream id columns","'01'..'12' - Excel drops the leading zero and shows 1..12, so the column reads as a number",'WS01'..'WS12' - text in Excel and in pandas; non-numeric values such as 'driver model (pre-existing)' pass through unchanged
K01,data/processed/overnight/15_claim_checks.csv - cells beginning with a sign,"Excel evaluated them as formulas: '+0.69 / 0.0005 / +0.72' displayed as 1916.667, '+4.0 / +2.6' as 1.538462, '+11.11 / +2.56 / -1.56' as -2.78195, '+3.99 / +2.58' as 1.546512","36 such cells written with one leading space; re-opened in Excel 16.0 via COM, every cell now matches the CSV text after strip()"
K01,data/processed/overnight/15_cross_note_conflicts.csv - cells beginning with a sign,"6 cells led with + or - (CONF-01 value_a and value_b, CONF-05 value_a, CONF-06 value_a, value_b and recommended); '+12.4%' was coerced to the number 0.124","written with one leading space; values preserved (Excel still renders percentages as 12.40%, which is the same number)"
K01,analysis/src/overnight/15_claim_checks.py,no post-write validation,"write_csv() reads the file back and asserts it is rectangular, has no embedded newline, has no formula-leading cell, and that the conflicts file holds exactly CONF-01..CONF-16"
"A11 (out of scope, edit left in tree)",analysis/src/overnight/16_merge_and_rerun.py,"module-scope execution, hard-coded ROOT, SystemExit on an unseen quarter, derived surprise recomputed only when blank","main() entry point, ROOT from __file__, schema and uniqueness validation, an append path for a new quarter, derived fields recomputed from primitives with sourced-beats-calculated and a disagreement warning. THE DATA OUTPUTS WERE RESTORED to their committed state - agent 24 owns the decision on whether to adopt this"
"A13 (out of scope, edit left in tree)",analysis/src/overnight/17_excel_audit.py,main() printed mismatch counts and always exited 0,"main() returns 1 on any failed named-output or formula-cell comparison, a wrong output count, or a missing required cell; the informational static scan does not affect the status. Prints PASS/FAIL"
"A13 (out of scope, edit left in tree)",analysis/src/overnight/17_scenario_switch.py,main() printed mismatch counts and always exited 0; the dump directory defaulted to one session's scratch path with no existence check,"main() returns 1 on any scenario mismatch, on zero comparisons, or if the selector moves 0 cells for a scenario; dump directory resolves from argv[1], then ABNB_EXCEL_DUMP_DIR, then the historical default, and missing dumps raise a named error"
