date,metric,value,unit,note,source
2020-12-31,active_listings,5.6,m,Reported in S-1/10-K: '5.6 million active listings' end 2020,ABNB 10-K FY2020
2021-12-31,active_listings,6.0,m,'6 million active listings at the end of 2021',data/raw/letters/4Q21_*.htm (shareholder letter)
2022-12-31,active_listings,6.6,m,"'increase of over 900,000 active listings, or 16% compared to 2021, excluding ... China' -> ~6.6m ex-China",data/raw/letters/4Q22_*.htm (shareholder letter)
2023-06-30,active_listings,7.0,m,'exceed 7 million total active listings'; record net adds,data/raw/letters/2Q23_*.htm (shareholder letter)
2023-12-31,active_listings,7.7,m,"'Active listings exceeded 7.7 million', +18% y/y",data/raw/letters/4Q23_*.htm (shareholder letter)
2024-06-30,active_listings,8.0,m,'surpassed 8 million active listings',data/raw/regulatory/transcripts/2024-Q2.pdf (IR call transcript)
2024-12-31,active_listings,8.0,m,'over 8 million active listings' (no growth rate disclosed; Q1'24 +17% ex-removals was the last rate),data/raw/letters/4Q24_*.htm (shareholder letter)
2025-12-31,active_listings,9.0,m,'over 9 million active listings'; Q4'25 'grew relatively in-line with' nights (+10%),data/raw/letters/4Q25_*.htm (shareholder letter)
2026-03-31,active_listings_growth,in line with nights (+9%),text,'active listings grew relatively in-line with the year-over-year increase of Nights and Seats Booked',data/raw/letters/1Q26_*.htm (shareholder letter)
2023-03-31,active_listings_yoy,0.18,growth,ex-China; Q4'22 was +16%,data/raw/letters/1Q23_*.htm (shareholder letter)
2023-06-30,active_listings_yoy,0.19,growth,,data/raw/letters/2Q23_*.htm (shareholder letter)
2023-09-30,active_listings_yoy,0.19,growth,'nearly 1 million active listings this year',data/raw/letters/3Q23_*.htm (shareholder letter)
2023-12-31,active_listings_yoy,0.18,growth,,data/raw/letters/4Q23_*.htm (shareholder letter)
2024-03-31,active_listings_yoy,0.15,growth,17% excluding the removal of low-quality listings,data/raw/letters/1Q24_*.htm (shareholder letter); data/raw/regulatory/transcripts/2024-Q1.pdf (IR call transcript)
2025-09-30,active_listings_yoy,approx. in line with nights (+9%),text,,data/raw/letters/3Q25_*.htm (shareholder letter)
2025-06-30,listings_removed_since_2023,0.5,m,"'removed over 500,000 listings' since the 2023 hosting quality system",data/raw/letters/2Q25_*.htm (shareholder letter)
2021-03-31,hosts,4.0,m,'4 million Hosts',data/raw/letters/1Q21_*.htm (shareholder letter)
2023-12-31,hosts,5.0,m,'Host community surpassed 5 million Hosts',data/raw/letters/4Q23_*.htm (shareholder letter)
2026-05-20,hosts,5.5,m,'over 5.5 million hosts',https://news.airbnb.com/airbnb-2026-summer-release
2023-12-31,host_earnings_annual,57,USD bn,"'in 2023 alone, Hosts earned more than $57 billion' (GBV 73.3bn -> 78% of GBV)",data/raw/letters/4Q23_*.htm (shareholder letter); data/raw/regulatory/transcripts/2023-Q4.pdf (IR call transcript)
2023-09-30,host_earnings_quarter,19,USD bn,Q3'23,data/raw/regulatory/transcripts/2023-Q3.pdf (IR call transcript)
2025-12-31,host_earnings_annual_est,71,USD bn,Not disclosed for 2024-25; 78% of GBV ($91.3bn) = ~$71bn (estimate),derived
2026-05-20,cumulative_host_earnings,380,USD bn,'hosts have earned over $380 billion' (third-party stats pages citing Airbnb),https://www.ipropertymanagement.com/research/airbnb-statistics (secondary)
2023-03-31,individual_hosts_share,0.9,share,"'Approximately 90% of our Hosts are individual Hosts', majority of listings and nights",data/raw/letters/1Q23_*.htm (shareholder letter)
2024-10-16,co_host_network,10000,co-hosts,"Launched with 10,000 co-hosts in 10 countries; 20,000 applicants in 3 weeks",data/raw/letters/3Q24_*.htm (shareholder letter); data/raw/regulatory/transcripts/2024-Q3.pdf (IR call transcript)
2025-02-13,co_host_network_listings,100000,listings,"'almost 100,000 listings' in four months; 15,000 co-hosts; co-hosted new listings earn ~2x comparable",data/raw/letters/4Q24_*.htm (shareholder letter); data/raw/regulatory/transcripts/2024-Q4.pdf (IR call transcript)
2025-08-06,co_host_network_listings,100000,listings,"'over 100,000 listings, which have had over 10 million nights booked'; no incremental take rate on co-host listings (Q1'25 call)",data/raw/letters/2Q25_*.htm (shareholder letter); data/raw/regulatory/transcripts/2025-Q1.pdf (IR call transcript)
2025-03-31,superhost_nights_yoy,0.15,growth,"nights at Superhost listings +15% (Q1'25), +12% (Q2'25)",data/raw/letters/1Q25_*.htm (shareholder letter)
2024-06-30,superhost_listings_yoy,0.26,growth,active listings managed by Superhosts +26%,data/raw/regulatory/transcripts/2024-Q2.pdf (IR call transcript)
2025-11-06,guest_favorite_nights_cum,500,m,nearly 500m nights at Guest Favorite listings since Nov 2023 (2m listings),data/raw/letters/3Q25_*.htm (shareholder letter)
2026-05-07,event_supply,100000,listings,"16 World Cup host cities: +100,000 incremental listings; Paris 2024: >50% of Games listings retained 6 months on",data/raw/regulatory/transcripts/2026-Q1.pdf (IR call transcript)
2026-08-06,event_supply,150000,listings,"'over 150,000 listings by first time hosts' for the World Cup",data/raw/letters/2Q26_*.htm (shareholder letter)
2026-08-06,single_fee_share_of_listings,0.5,share,'Approximately half of our active listings are now subject to the single service fee'; whole base by year-end 2026,data/raw/regulatory/transcripts/2026-Q2.pdf (IR call transcript)
2023-11-01,occupancy_statement,stable globally,text,'occupancy ... pretty stable ... on a global basis'; lowest-price listings have highest occupancy (US),data/raw/regulatory/transcripts/2023-Q3.pdf (IR call transcript)
2024-05-08,occupancy_statement,far below hotels,text,'global occupancy on Airbnb is so much lower than hotels'; 'not even close to high occupancy',data/raw/regulatory/transcripts/2024-Q1.pdf (IR call transcript)
2025-08-06,supply_strategy,supply-constrained top markets,text,'focusing on our most supply-constrained markets'; hotels as gap-fill,data/raw/regulatory/transcripts/2025-Q2.pdf (IR call transcript)
2026-05-07,supply_strategy,"targeted, not volume",text,'concentrating our acquisition efforts on the markets and geographies where underlying demand exists ... encouraging existing hosts to open up more of their calendar',data/raw/letters/1Q26_*.htm (shareholder letter)
2026-08-06,supply_strategy,both constrained and unconstrained markets,text,'seeing strength in both supply-constrained markets and in non-supply-constrained markets',data/raw/regulatory/transcripts/2026-Q2.pdf (IR call transcript)
2025-12-16,airdna_us_available_listings_2025,1.69,m,2025 available listings (AirDNA via stayfi); 2026 forecast 1.77m,https://stayfi.com/vrm-insider/2026/04/20/vacation-rental-statistics/; https://www.prnewswire.com/news-releases/2026-will-be-the-best-year-to-invest-in-short-term-rentals-since-2021-new-airdna-report-finds-302643393.html
2025-12-16,airdna_us_2026_outlook_dec,"listings +4.6%, ADR +1.5%, occupancy -1%",text,December 2025 outlook: STR premium highest since 2022,same PRNewswire release
2026-07-08,airdna_us_2026_outlook_jul,"demand +2.7%, listings +2.7%, occupancy 57.4%, RevPAR +2.9%, ADR ~+3%",text,Midyear update: new-listing growth cut to 2.7% (mortgage rates >6%); international inbound STR demand -12% vs spring 2025; Canada -32%,https://www.prnewswire.com/news-releases/steady-demand-and-slower-new-supply-define-us-short-term-rentals-in-2026-airdna-finds-302820776.html
2024-12-31,airdna_us_new_listing_growth,"2022 +22.1%, 2023 +14.4%, 2024 +6.8%",text,US new-listing growth decelerating three years running,https://skift.com/2025/01/30/where-to-invest-in-short-term-rentals-in-2025-airdnas-top-u-s-markets/
2025-04-20,us_host_occupancy,57% (2024) -> 50% (spring 2025),text,Cited in bear pitch (LongYield) from AirDNA; US listings 1.76m,research/notes/2026-09-04_abnb-pitch-catalogue.md (LongYield)
2026-06-04,keydata_july4_2026,"occupancy +6.5%, ADR +5.5%, RevPAR +12.4% y/y",text,"Professionally managed US STRs, 25 markets, 22 positive; booking window 134 days",https://www.keydata.co/blog/july-4th-2026-short-term-rental-performance-report-occupancy-adr-and-revpar-trends
2026-07-31,keydata_q2_2026,RevPAR +2.1% to $119.27; occupancy -1.5% to 48.4%,text,"'rate, not demand, is driving growth' (VRM Intel headline; page 403 on fetch)",https://vrmintel.com/as-short-term-rental-market-stabilizes-rate-not-demand-is-driving-growth/key-data-dashboard-us-q2-2026-revpar-growth/
2026-06-02,tb_us_vrm_supply,"~2m professionally managed US rentals, ~20,000 firms, PE roll-ups ~10% share",text,"Paraphrase; managers allocate inventory across Airbnb, Vrbo, Booking; owner retention 80-85%/yr","data/raw/licensed/third-bridge/ (T5, 2 Jun 2026)"
2026-05-26,tb_europe_supply,"~18m second homes, ~3m let, ~1m urban; manager portfolios flat; owner churn ~15%/yr",text,Paraphrase; non-exclusive listings double-counted across platforms,"data/raw/licensed/third-bridge/ (T4, 26 May 2026)"
2021-12-31,nights_per_avg_active_listing,51.8,nights/listing/yr,nights 300.6m / avg listings 5.80m,derived from letters (listing levels rounded as disclosed; 'over X million' treated as X)
2022-12-31,nights_per_avg_active_listing,62.5,nights/listing/yr,nights 393.7m / average listings 6.30m; listings growth 10% vs nights growth 31%,derived from letters (listing levels rounded as disclosed; 'over X million' treated as X)
2023-12-31,nights_per_avg_active_listing,62.7,nights/listing/yr,nights 448.2m / average listings 7.15m; listings growth 17% vs nights growth 14%,derived from letters (listing levels rounded as disclosed; 'over X million' treated as X)
2024-12-31,nights_per_avg_active_listing,62.6,nights/listing/yr,nights 491.5m / average listings 7.85m; listings growth 4% vs nights growth 10%,derived from letters (listing levels rounded as disclosed; 'over X million' treated as X)
2025-12-31,nights_per_avg_active_listing,62.7,nights/listing/yr,nights 533.0m / average listings 8.50m; listings growth 12% vs nights growth 8%,derived from letters (listing levels rounded as disclosed; 'over X million' treated as X)
2025-12-31,inside_airbnb_year_ago_retention_austin,0.745,share,new-listing share 0.26; exits with review LTM 0.67; matched-listing reviews LTM chg -0.02; n pairs 1,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_austin,0.509,share,new-listing share 0.30; exits with review LTM 0.42; matched-listing reviews LTM chg -0.00; n pairs 4,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_barcelona,0.63,share,new-listing share 0.22; exits with review LTM 0.49; matched-listing reviews LTM chg +0.10; n pairs 3,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2025-12-31,inside_airbnb_year_ago_retention_chicago,0.759,share,new-listing share 0.25; exits with review LTM 0.67; matched-listing reviews LTM chg +0.06; n pairs 1,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_chicago,0.739,share,new-listing share 0.25; exits with review LTM 0.65; matched-listing reviews LTM chg +0.13; n pairs 6,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_london,0.71,share,new-listing share 0.26; exits with review LTM 0.53; matched-listing reviews LTM chg +0.10; n pairs 3,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2025-12-31,inside_airbnb_year_ago_retention_los-angeles,0.762,share,new-listing share 0.25; exits with review LTM 0.52; matched-listing reviews LTM chg +0.04; n pairs 1,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_los-angeles,0.693,share,new-listing share 0.30; exits with review LTM 0.48; matched-listing reviews LTM chg +0.06; n pairs 8,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_mexico-city,0.737,share,new-listing share 0.35; exits with review LTM 0.59; matched-listing reviews LTM chg +0.11; n pairs 4,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2025-12-31,inside_airbnb_year_ago_retention_nashville,0.771,share,new-listing share 0.27; exits with review LTM 0.80; matched-listing reviews LTM chg +0.02; n pairs 2,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_nashville,0.74,share,new-listing share 0.30; exits with review LTM 0.79; matched-listing reviews LTM chg +0.07; n pairs 3,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_new-orleans,0.733,share,new-listing share 0.20; exits with review LTM 0.59; matched-listing reviews LTM chg +0.06; n pairs 5,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_new-york-city,0.699,share,new-listing share 0.16; exits with review LTM 0.16; matched-listing reviews LTM chg +0.04; n pairs 2,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2025-12-31,inside_airbnb_year_ago_retention_paris,0.714,share,new-listing share 0.22; exits with review LTM 0.52; matched-listing reviews LTM chg +0.10; n pairs 4,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_paris,0.755,share,new-listing share 0.19; exits with review LTM 0.52; matched-listing reviews LTM chg +0.01; n pairs 3,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2023-12-31,inside_airbnb_year_ago_retention_rome,0.816,share,new-listing share 0.32; exits with review LTM 0.57; matched-listing reviews LTM chg +0.23; n pairs 1,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2024-12-31,inside_airbnb_year_ago_retention_rome,0.803,share,new-listing share 0.34; exits with review LTM 0.62; matched-listing reviews LTM chg +0.09; n pairs 4,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2025-12-31,inside_airbnb_year_ago_retention_rome,0.765,share,new-listing share 0.31; exits with review LTM 0.58; matched-listing reviews LTM chg +0.03; n pairs 4,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_rome,0.796,share,new-listing share 0.21; exits with review LTM 0.63; matched-listing reviews LTM chg +0.07; n pairs 6,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2025-12-31,inside_airbnb_year_ago_retention_san-diego,0.794,share,new-listing share 0.21; exits with review LTM 0.62; matched-listing reviews LTM chg +0.04; n pairs 2,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_san-diego,0.716,share,new-listing share 0.25; exits with review LTM 0.62; matched-listing reviews LTM chg +0.07; n pairs 8,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2026-12-31,inside_airbnb_year_ago_retention_sydney,0.753,share,new-listing share 0.35; exits with review LTM 0.70; matched-listing reviews LTM chg +0.05; n pairs 3,"data/processed/inside_airbnb_like_for_like.csv (pair_type=year_ago, mean over pairs ending in year, partial-scope dumps excluded via inside_airbnb_city_snapshots.csv)"
2022-12-31,cc_listing_survival,0.901,share,"re-fetched 75888, removed 5277 (informative crawls only)",data/processed/cc_listing_survival.csv
2023-12-31,cc_listing_survival,0.848,share,"re-fetched 63903, removed 9125 (informative crawls only)",data/processed/cc_listing_survival.csv
2024-12-31,cc_listing_survival,0.856,share,"re-fetched 99992, removed 13845 (informative crawls only)",data/processed/cc_listing_survival.csv
2025-12-31,cc_listing_survival,0.876,share,"re-fetched 91496, removed 10973 (informative crawls only)",data/processed/cc_listing_survival.csv
2026-12-31,cc_listing_survival,0.877,share,"re-fetched 81046, removed 9721 (informative crawls only)",data/processed/cc_listing_survival.csv
