source,topic,type,statement,numbers
3Q23 letter,price_vs_hotel,evidence,"Average nightly price of a one-bedroom Airbnb listing in September 2023 vs hotel ADR; prices include all fees, exclude taxes; sources CoStar and Airbnb",ABNB 1BR $120 (+1% y/y); hotel $153 (+10% y/y)
4Q23 letter,price_vs_hotel,evidence,Same comparison for December 2023,ABNB 1BR $114 (-2% y/y); hotel $149 (+7% y/y)
2Q24 call (reported by Skift 22-May-2024),price_vs_hotel,evidence,March 2024 comparison reported by Skift from Airbnb and CoStar,"ABNB 1BR $114 (-2% y/y); hotel ADR $140.16 (+1.6% y/y); economy hotels $64.70, midscale $73.70"
1Q23 letter,price_vs_hotel,evidence,Airbnb Rooms (private rooms) average price at the 2023 Summer Release,$67 per night; over 80% under $100 per night
2Q26 call,price_vs_hotel,opinion,"Chesky: Airbnb is building a new AI pricing model for hosts that ingests hotel prices, Airbnb prices, events and lead-time patterns",n/a
3Q22 letter,adr_driver,evidence,"ADR $156, +5% y/y (+12% ex-FX); increase entirely price appreciation, partly offset by negative urban mix",ADR $156; +5% reported / +12% ex-FX
4Q22 letter,adr_driver,evidence,"ADR $153, -1% y/y (+5% ex-FX); decline driven by FX and urban mix shift",ADR $153; -1% / +5% ex-FX
1Q23 letter,adr_driver,evidence,"ADR $168, flat y/y (+3% ex-FX); price appreciation offset by FX",ADR $168; 0% / +3% ex-FX
2Q23 letter,adr_driver,evidence,"ADR $166, +1% y/y (+2% ex-FX); host list-price increases offset by guest mix",ADR $166; +1% / +2% ex-FX
3Q23 letter,adr_driver,evidence,"ADR $161, +3% y/y (+<1% ex-FX), partly mix shift; ex-FX ADR down in North America",ADR $161; +3% / <+1% ex-FX
4Q23 letter,adr_driver,evidence,"ADR $157, +3% y/y (+<1% ex-FX), partly mix shift; ex-FX flat in North America",ADR $157; +3% / <+1% ex-FX
1Q24 letter,adr_driver,evidence,"ADR $173, +3% y/y (+2% ex-FX), largely price appreciation",ADR $173; +3% / +2% ex-FX
2Q24 letter,adr_driver,evidence,"ADR $170, +2% y/y (+3% ex-FX), price appreciation and mix shift",ADR $170; +2% / +3% ex-FX
3Q24 letter,adr_driver,evidence,"ADR $164, +1% y/y (+2% ex-FX), price appreciation and mix shift",ADR $164; +1% / +2% ex-FX
4Q24 letter,adr_driver,evidence,"ADR +6% reported and FX-neutral, price appreciation and mix shift",ADR $158; +6% / +6% ex-FX
1Q25 letter,adr_driver,evidence,"ADR $171, -1% y/y (+1% ex-FX), largely price appreciation; FX headwind",ADR $171; -1% / +1% ex-FX
2Q25 letter,adr_driver,evidence,"ADR $174, +3% y/y (+1% ex-FX), largely price appreciation",ADR $174; +3% / +1% ex-FX
3Q25 letter,adr_driver,evidence,"ADR $171, +5% y/y (+2% ex-FX), largely price appreciation",ADR $171; +5% / +2% ex-FX
4Q25 letter,adr_driver,evidence,"ADR $168, +6% y/y (+3% ex-FX), largely price appreciation",ADR $168; +6% / +3% ex-FX
1Q26 letter,adr_driver,evidence,"ADR $187, +9% y/y (+4% ex-FX); FX tailwind plus strong North America ADR",ADR $187; +9% / +4% ex-FX
2Q26 letter,adr_driver,evidence,"ADR $184, +5% y/y (+4% ex-FX), price appreciation AND mix: entire homes, especially 4+ bedroom listings, grew fastest",ADR $184; +5% / +4% ex-FX
2Q26 letter,adr_driver,evidence,"Bedroom Nights Booked (nights x bedroom count) grew over 12% vs Nights and Seats Booked +10%; more than 1 billion bedroom nights over the trailing twelve months, a record",bedroom nights +12% vs nights +10%; >1.0bn LTM
2Q26 call,adr_driver,opinion,"Mertz: the bedroom-nights component of ADR growth is durable and reflects incremental value delivered, not just rising prices",n/a
1Q21 letter,mix,evidence,Share of nights from stays of at least seven nights,50% (1Q21)
3Q22 letter,mix,evidence,Share of gross nights from stays of at least seven nights,~45% (3Q22)
4Q22 letter,mix,evidence,Share of gross nights from stays of at least seven nights,~46% (4Q22)
2Q23 letter,mix,evidence,Share of gross nights from stays of at least seven nights,~45% (2Q23)
3Q21-1Q24 letters,mix,evidence,"Long-term stays (28+ days) as share of gross nights booked: 20% (3Q21), 22% (4Q21), 20% (3Q22), 21% (4Q22), 18% (1Q23), 18% (2Q23), 18% (3Q23), 19% (4Q23), 17% (1Q24)",20-22% in 2021-22 falling to 17% by 1Q24
2Q24 onward,mix,evidence,"The letters stop giving a Trip Length section with the 28-day share; no long-term-stay percentage is disclosed after 1Q24. Disclosure change, not a trend",not disclosed after 1Q24
4Q22 letter,mix,evidence,High-density urban share of gross nights booked,51% (4Q22); 48-49% through 2023
4Q25 letter,mix,evidence,"App share of nights booked, and app nights growth",64% of nights (4Q25) vs 60% (4Q24); app nights +20% y/y
1Q26 letter,mix,evidence,App share of nights booked,63% (1Q26) vs 58% (1Q25); app nights +22% y/y
2Q26 letter,mix,evidence,App share of nights booked,64% (2Q26) vs 59% (2Q25); app nights +23% y/y
4Q25-2Q26 letters,new_guests,evidence,First-time booker growth y/y,"+8% (4Q25), +10% (1Q26, highest since early 2022), +11% (2Q26, highest in four years)"
1Q26 letter,hotel_funnel,evidence,Share of guests who book a hotel on Airbnb who return to book a home,~55%
2Q26 call,hotel_funnel,evidence,Chesky: about 35% of people who book a hotel on Airbnb for the first time come back and book a home,~35%
2Q26 call,substitution,opinion,"Chesky's segmentation of demand: some people only stay in homes, some only in hotels, and most are willing to stay in both","three segments, unquantified"
4Q22 letter,fees,evidence,"December 2022: optional total-price display rolled out; guests who opt in see the total before taxes in search, map, price filter and listing page",opt-in toggle
1Q23 letter,fees,evidence,"2023 Summer Release: 50+ features including new host pricing and discount tools, checkout-instruction transparency, removal of listings with unreasonable checkout tasks, and reduced guest service fee after three months on long stays",50+ features
2Q23 letter,fees,evidence,Since the Summer Release more hosts adopted discounting tools and lowered prices; more offering weekly and monthly discounts,qualitative
3Q23 letter,fees,evidence,Airbnb frames lower prices and lower cleaning fees as the top two host-facing asks from guests,qualitative
4Q25 letter,fees,evidence,"From October 2025 Airbnb began simplifying its fee structure, migrating property-management-software hosts from the split fee (3% host + separate guest service fee) to a single 15.5% host fee",single fee 15.5%
1Q26 letter,fees,evidence,Over a quarter of active listings subject to the single service fee; hosts can adjust prices to keep the same net earnings; guests continue to see the full price upfront,>25% of active listings
1Q26 call,fees,evidence,"Mertz: Reserve Now Pay Later, redesigned cancellation policies and the single-fee migration together delivered about 3 points of nights growth and about 4 points of GBV growth in Q1 2026","+3pp nights, +4pp GBV"
2Q26 letter,fees,evidence,"Approximately half of active listings on the single fee; in July Airbnb announced migration of most remaining hosts, to complete in 2026",~50% of active listings
2Q26 letter,cancellation,evidence,Eligible listings migrated from Strict to Firm cancellation policies to help hosts attract more bookings,qualitative
2Q26 call,fees,opinion,"Chesky on total price display: it began as a toggle, was positive for those who used it, and the same staged approach is being used for AI search",qualitative
2Q23 call,take_rate,opinion,Chesky: cutting the take rate after the third month of a long stay drove incremental conversion; he does not expect the take rate to change materially,stable
3Q23 call,take_rate,opinion,"Stephenson: the take rate has been very stable; no recent change to the absolute take rate; further monetisation comes from added services, e.g. guest travel insurance",stable
4Q23 call,take_rate,opinion,Stephenson: no real reason take rates should rise on a timing-adjusted basis; pricing as a percentage of GBV has not materially changed,stable
4Q24 call,take_rate,evidence,"Mertz: an FX service fee introduced mid-2024, about 100bps applied to 20% of GBV, gives a full 20bps year-over-year take-rate benefit in 2025",+20bps
1Q25 call,take_rate,opinion,Chesky: almost everything built for hosts in the last five years was given away with no incremental take rate; several host-side monetisation options are being looked at,qualitative
1Q26 call,take_rate,opinion,Mertz: expect modest upside to the take rate from the single-fee migration and the insurance programmes; the Delta revenue share is not a take-rate negative,modest upside
1Q26 letter,take_rate,evidence,Implied take rate 9.2% in Q1 2026 vs 9.3% in Q1 2025; affected by FX and by Reserve Now Pay Later pushing bookings further ahead of stays,9.2% vs 9.3%
4Q25 letter,take_rate,evidence,"Implied take rate 13.6% in Q4 2025 vs 14.1% in Q4 2024, mainly FX and book-vs-stay timing",13.6% vs 14.1%
2Q26 letter,take_rate,evidence,"Implied take rate 13.2% in Q2 2026, in line with Q2 2025; FX and Reserve Now Pay Later timing",13.2% flat
2Q26 call,take_rate,evidence,Mertz: full-year 2026 implied take rate relatively flat vs 2025 on RNPL timing and higher customer incentives for new businesses; absent those it would have been slightly higher,"flat, would be higher"
4Q25-2Q26 letters,take_rate,evidence,"Guest travel insurance revenue growth, available in 12 of the largest countries","+~40% FY25, +45% 1Q26, +>60% 2Q26"
1Q26/2Q26 letters,take_rate,evidence,Reserve Now Pay Later share of GBV,"~20% (1Q26), over 20% (2Q26)"
2Q25 call,take_rate,opinion,Chesky on hotels: Airbnb's take rate is very competitive and independent and boutique hotels want an additional channel bringing incremental travellers,qualitative
2Q26 call,take_rate,opinion,"Chesky on why hotels join: Airbnb has heavy traffic, a young and disproportionately American audience, and an extremely favourable take rate",qualitative
1Q24 letter,quality,evidence,Guest Favorites launched November 2023; over 100 million nights booked at Guest Favorite listings since launch,>100m nights
4Q23 letter,quality,evidence,Host cancellations fell 36% in Q4 2023 vs the prior-year period,-36%
