source_workstream,file,what_changed,old_value,new_value
WS17 finding 3,analysis/src/overnight/13_driver_model.py,"FY2026 share roll-forward now consumes only the 2H26 buyback and 2H26 SBC, matching the net-cash line; H1_26 gains an sbc key (1Q26 410 + 2Q26 487) and a documented SHARE_ROLL_NETS_1H26 flag","shares = shares - I[buybacks]/px + sbc/px*(1-withholding)","FY2026: shares = shares - (FY26 buybacks - 2139)/px + (FY26 sbc - 897)/px*(1-withholding); FY2027-28 unchanged"
WS17 finding 3,analysis/src/overnight/13_excel_builder.py,"Cash sheet 'Diluted shares, period end' row, FY2026E column only","=C{shares}-D{bb}/D{px}+D{sbc}/D{px}*(1-withholding)","=C{shares}-(D{bb}-History!1H2026 buybacks)/D{px}+(D{sbc}-History!1H2026 SBC)/D{px}*(1-withholding)"
WS17 finding 3,analysis/src/overnight/13_excel_builder.py,"New History anchor row so the Excel formula has a sourced 1H26 SBC to net out",none,"1H2026 SBC ($M) = 1Q26 + 2Q26 sbc_musd = 897.0"
WS17 finding 3,analysis/src/overnight/13_excel_builder.py,"Cash sheet header note rewritten: it documented the asymmetry as a known defect","'the share count applies the FULL FY2026 buyback and SBC to the 2Q26 count ... flagged, not silently changed'","'both consume the SAME flows ... fixed by WS18 here and in 13_driver_model.py'"
WS17 finding 3,model/ABNB_driver_model.xlsx,Regenerated from the fixed builder,"2,348 formula cells","2,349 formula cells (the new History anchor)"
WS18,analysis/src/overnight/18_share_fix_delta.py,New script: runs the model with the flag off and on and tabulates every output that moves,n/a,73 rows written to 18_share_fix_delta.csv
WS18 model output,data/processed/overnight/13_model_annual.csv,"FY2026E diluted shares, base (bear 580.47 / bull 580.13 move identically)",580.298 M,588.850 M
WS18 model output,data/processed/overnight/13_model_annual.csv,FY2027E diluted shares base,566.046 M,574.598 M
WS18 model output,data/processed/overnight/13_model_annual.csv,FY2028E diluted shares base,552.982 M,561.534 M
WS18 model output,data/processed/overnight/13_model_annual.csv,Base FCF per share FY2026E / FY2027E / FY2028E,$8.84 / $9.58 / $11.21,$8.71 / $9.43 / $11.04
WS18 model output,data/processed/overnight/13_model_annual.csv,Base SBC-adjusted FCF per share FY2026E / FY2027E / FY2028E,$5.76 / $6.10 / $7.37,$5.68 / $6.01 / $7.26
WS18 model output,data/processed/overnight/13_model_annual.csv,Base earnings proxy per share FY2026E / FY2027E / FY2028E,$5.28 / $5.76 / $7.06,$5.20 / $5.67 / $6.96
WS18 model output,data/processed/overnight/13_model_annual.csv,Bear FCF/sh and EPS FY2026-28,7.85/6.17/5.53 and 4.56/3.07/2.39,7.73/6.08/5.45 and 4.49/3.02/2.35
WS18 model output,data/processed/overnight/13_model_annual.csv,Bull FCF/sh and EPS FY2026-28,9.76/11.63/13.89 and 5.95/7.47/9.46,9.61/11.45/13.68 and 5.87/7.35/9.32
WS18 model output,data/processed/overnight/13_valuation_summary.csv,"Base football field low / mean / high",$112.25 / $162.65 / $220.88,$110.58 / $160.22 / $217.51
WS18 model output,data/processed/overnight/13_valuation_summary.csv,Bear football field low / mean / high,$37.79 / $77.09 / $110.09,$37.23 / $75.95 / $108.46
WS18 model output,data/processed/overnight/13_valuation_summary.csv,Bull football field low / mean / high,$179.17 / $236.24 / $293.61,$176.49 / $232.68 / $289.09
WS18 model output,data/processed/overnight/13_valuation_summary.csv,"Base EV / adj. EBITDA FY27E lens (the headline price)",$183.61,$180.88
WS18 model output,data/processed/overnight/13_valuation_summary.csv,Base DCF on FCF / on SBC-adjusted FCF,$185.35 / $124.63,$182.59 / $122.77
WS18 model output,data/processed/overnight/13_valuation_summary.csv,"Reverse DCF (uses the 2Q26 share count, not the roll-forward)",8.51% / 14.42% at CoE 10.5%,unchanged
WS18 model output,data/processed/overnight/13_scenario_grid.csv,"All 441 grid prices divide by FY2027E shares",e.g. +10% rev / 36.5% margin / 16.5x = $184.44,$181.70
WS18 model output,data/processed/overnight/13_reconciliation.csv,216 checks after regeneration,"216 ok, 0 mismatches","216 ok, 0 mismatches (values updated)"
WS18 re-run,data/processed/overnight/17_excel_recalc_dump.csv,Excel 16.0 CalculateFullRebuild on the regenerated workbook,"5,544 cells, 0 errors","5,547 cells, 0 errors"
WS18 re-run,data/processed/overnight/17_excel_vs_python.csv,Named outputs Excel vs Python vs evaluator,"216 compared, 0 fail","216 compared, 0 fail"
