# quarterly revenue by region, USD m; source 10-Q/10-K XBRL srt:StatementGeographicalAxis (EDGAR); 4Q rows derived as FY less 9M YTD
quarter,basis,na,emea,latam,apac,us,non_us,total_regions,na_share_pct,na_yoy_pct,emea_share_pct,emea_yoy_pct,latam_share_pct,latam_yoy_pct,apac_share_pct,apac_yoy_pct,us_share_pct,us_yoy_pct,non_us_share_pct,non_us_yoy_pct
4Q20,derived Q4 = FY - 9M YTD,,,,,472.1,638.8,,,,,,,,,,42.5,,57.5,
1Q21,10-Q quarterly,,,,,510.8,376.2,,,,,,,,,,57.6,,42.4,
2Q21,10-Q quarterly,,,,,769.1,566.1,,,,,,,,,,57.6,,42.4,
3Q21,10-Q quarterly,,,,,956.0,1010.8,,,,,,,,,,48.6,,51.4,
4Q21,derived Q4 = FY - 9M YTD,,,,,760.4,1186.8,,,,,,,,,,39.0,61.1,61.0,85.8
1Q22,10-Q quarterly,822.0,373.0,178.0,136.0,772.1,736.8,1509.0,54.5,,24.7,,11.8,,9.0,,51.2,51.2,48.8,95.9
2Q22,10-Q quarterly,1098.0,732.0,137.0,137.0,1023.7,1080.4,2104.0,52.2,,34.8,,6.5,,6.5,,48.6,33.1,51.4,90.9
3Q22,10-Q quarterly,1326.0,1263.0,139.0,156.0,1189.2,1385.4,2884.0,46.0,,43.8,,4.8,,5.4,,46.2,24.4,53.8,37.1
4Q22,derived Q4 = FY - 9M YTD,964.0,556.0,189.0,193.0,905.0,1560.0,1902.0,50.7,,29.2,,9.9,,10.2,,36.7,19.0,63.3,31.4
1Q23,10-Q quarterly,925.0,458.0,235.0,200.0,,,1818.0,50.9,12.5,25.2,22.8,12.9,32.0,11.0,47.1,,,,
2Q23,10-Q quarterly,1192.0,941.0,163.0,188.0,,,2484.0,48.0,8.6,37.9,28.6,6.6,19.0,7.6,37.2,,,,
3Q23,10-Q quarterly,1478.0,1533.0,178.0,208.0,,,3397.0,43.5,11.5,45.1,21.4,5.2,28.1,6.1,33.3,,,,
4Q23,derived Q4 = FY - 9M YTD,1043.0,683.0,248.0,244.0,,,2218.0,47.0,8.2,30.8,22.8,11.2,31.2,11.0,26.4,,,,
1Q24,10-Q quarterly,1015.0,567.0,307.0,253.0,,,2142.0,47.4,9.7,26.5,23.8,14.3,30.6,11.8,26.5,,,,
2Q24,10-Q quarterly,1308.0,1048.0,185.0,207.0,,,2748.0,47.6,9.7,38.1,11.4,6.7,13.5,7.5,10.1,,,,
3Q24,10-Q quarterly,1572.0,1726.0,199.0,235.0,,,3732.0,42.1,6.4,46.2,12.6,5.3,11.8,6.3,13.0,,,,
4Q24,derived Q4 = FY - 9M YTD,1111.0,794.0,278.0,297.0,,,2480.0,44.8,6.5,32.0,16.2,11.2,12.1,12.0,21.7,,,,
1Q25,10-Q quarterly,1054.0,597.0,343.0,278.0,,,2272.0,46.4,3.8,26.3,5.3,15.1,11.7,12.2,9.9,,,,
2Q25,10-Q quarterly,1377.0,1233.0,231.0,255.0,,,3096.0,44.5,5.3,39.8,17.6,7.5,24.9,8.2,23.2,,,,
3Q25,10-Q quarterly,1619.0,1969.0,235.0,272.0,,,4095.0,39.5,3.0,48.1,14.1,5.7,18.1,6.6,15.7,,,,
4Q25,derived Q4 = FY - 9M YTD,1146.0,930.0,351.0,351.0,,,2778.0,41.2,3.2,33.5,17.1,12.6,26.3,12.6,18.2,,,,
1Q26,10-Q quarterly,1138.0,747.0,451.0,342.0,,,2678.0,42.5,8.0,27.9,25.1,16.8,31.5,12.8,23.0,,,,
2Q26,10-Q quarterly,1594.0,1425.0,291.0,298.0,,,3608.0,44.2,15.8,39.5,15.6,8.1,26.0,8.3,16.9,,,,

# annual revenue by region and US vs non-US, USD m (10-K)
year,apac,emea,latam,na,non_us,us,na_yoy_pct,emea_yoy_pct,latam_yoy_pct,apac_yoy_pct,us_yoy_pct,non_us_yoy_pct,na_share_pct,us_share_pct
2019,,,,,3034.7,1770.6,,,,,,,,36.8
2020,,,,,1729.6,1648.6,,,,,-6.9,-43.0,,48.8
2021,429.0,1931.0,431.0,3201.0,2995.4,2996.4,,,,,81.8,73.2,53.4,50.0
2022,622.0,2924.0,643.0,4210.0,4509.0,3890.0,31.5,51.4,49.2,45.0,29.8,50.5,50.1,46.3
2023,840.0,3615.0,824.0,4638.0,5627.0,4290.0,10.2,23.6,28.2,35.0,10.3,24.8,46.8,43.3
2024,992.0,4135.0,969.0,5006.0,6462.0,4640.0,7.9,14.4,17.6,18.1,8.2,14.8,45.1,41.8
2025,1156.0,4729.0,1160.0,5196.0,7427.0,4814.0,3.8,14.4,19.7,16.5,3.8,14.9,42.4,39.3
