Firm,date,ToGrade,rating_bucket,Action,priceTargetAction,target,priorPriceTarget,upside_vs_181_94_pct,implied_ev_fy27_ebitda_x,implied_ev_fy27_fcf_x,implied_p_fy27_sbc_adj_fcf_x,implied_ev_ltm_ebitda_x,source
Rosenblatt,2026-09-01,Buy,Buy,init,Announces,220.000,0.000,20.919,19.292,19.292,33.259,26.374,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
DA Davidson,2026-08-31,Buy,Buy,main,Raises,220.000,175.000,20.919,19.292,19.292,33.259,26.374,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Bernstein,2026-08-24,Outperform,Buy,main,Raises,217.000,168.000,19.270,19.000,19.000,32.806,25.987,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
B. Riley Securities,2026-08-07,Buy,Buy,main,Raises,210.000,180.000,15.423,18.319,18.319,31.747,25.081,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Susquehanna,2026-08-07,Positive,Buy,main,Raises,200.000,170.000,9.926,17.345,17.345,30.236,23.788,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Wedbush,2026-08-07,Outperform,Buy,up,Raises,200.000,152.000,9.926,17.345,17.345,30.236,23.788,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Evercore ISI Group,2026-08-24,Outperform,Buy,main,Raises,200.000,190.000,9.926,17.345,17.345,30.236,23.788,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Canaccord Genuity,2026-08-07,Buy,Buy,main,Raises,200.000,180.000,9.926,17.345,17.345,30.236,23.788,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
RBC Capital,2026-08-07,Outperform,Buy,main,Raises,195.000,173.000,7.178,16.859,16.859,29.480,23.142,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Citigroup,2026-08-07,Buy,Buy,main,Raises,193.000,175.000,6.079,16.664,16.664,29.177,22.883,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Oppenheimer,2026-08-07,Outperform,Buy,main,Raises,190.000,180.000,4.430,16.372,16.372,28.724,22.495,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Citizens,2026-08-07,Market Outperform,Buy,main,Raises,190.000,170.000,4.430,16.372,16.372,28.724,22.495,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Wells Fargo,2026-08-07,Overweight,Buy,main,Raises,186.000,181.000,2.232,15.983,15.983,28.119,21.978,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Tigress Financial,2026-04-08,Buy,Buy,main,Lowers,185.000,200.000,1.682,15.885,15.885,27.968,21.849,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Benchmark,2026-08-07,Buy,Buy,main,Raises,180.000,160.000,-1.066,15.399,15.399,27.212,21.202,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Jefferies,2026-07-14,Buy,Buy,main,Raises,175.000,160.000,-3.814,14.912,14.912,26.456,20.556,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Baird,2026-08-07,Outperform,Buy,main,Raises,175.000,160.000,-3.814,14.912,14.912,26.456,20.556,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
B of A Securities,2026-08-07,Neutral,Hold,main,Raises,175.000,160.000,-3.814,14.912,14.912,26.456,20.556,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
Mizuho,2026-03-03,Outperform,Buy,main,Raises,175.000,156.000,-3.814,14.912,14.912,26.456,20.556,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
UBS,2026-08-07,Neutral,Hold,main,Raises,172.000,163.000,-5.463,14.620,14.620,26.003,20.168,"yfinance Ticker('ABNB').upgrades_downgrades (Yahoo Finance / Benzinga feed), pulled 2026-09-06"
