fy27_revenue_growth_pct,fy27_margin_pct,exit_ev_ebitda_x,fy27_revenue_musd,fy27_adj_ebitda_musd,price,upside_vs_spot_pct
4.0,32.0,12.0,14801.8331,4736.5866,118.2854,-34.9866
4.0,32.0,13.5,14801.8331,4736.5866,130.8372,-28.0877
4.0,32.0,15.0,14801.8331,4736.5866,143.389,-21.1889
4.0,32.0,16.5,14801.8331,4736.5866,155.9407,-14.29
4.0,32.0,18.0,14801.8331,4736.5866,168.4925,-7.3912
4.0,32.0,18.5,14801.8331,4736.5866,172.6764,-5.0915
4.0,32.0,20.0,14801.8331,4736.5866,185.2282,1.8073
4.0,32.0,22.0,14801.8331,4736.5866,201.9639,11.0058
4.0,32.0,25.5,14801.8331,4736.5866,231.2514,27.1031
4.0,34.0,12.0,14801.8331,5032.6232,124.5613,-31.5371
4.0,34.0,13.5,14801.8331,5032.6232,137.8976,-24.2071
4.0,34.0,15.0,14801.8331,5032.6232,151.2338,-16.8771
4.0,34.0,16.5,14801.8331,5032.6232,164.5701,-9.5471
4.0,34.0,18.0,14801.8331,5032.6232,177.9063,-2.217
4.0,34.0,18.5,14801.8331,5032.6232,182.3518,0.2263
4.0,34.0,20.0,14801.8331,5032.6232,195.688,7.5563
4.0,34.0,22.0,14801.8331,5032.6232,213.4697,17.3297
4.0,34.0,25.5,14801.8331,5032.6232,244.5876,34.4331
4.0,35.5,12.0,14801.8331,5254.6507,129.2682,-28.9501
4.0,35.5,13.5,14801.8331,5254.6507,143.1929,-21.2967
4.0,35.5,15.0,14801.8331,5254.6507,157.1175,-13.6432
4.0,35.5,16.5,14801.8331,5254.6507,171.0421,-5.9898
4.0,35.5,18.0,14801.8331,5254.6507,184.9667,1.6636
4.0,35.5,18.5,14801.8331,5254.6507,189.6082,4.2147
4.0,35.5,20.0,14801.8331,5254.6507,203.5329,11.8681
4.0,35.5,22.0,14801.8331,5254.6507,222.099,22.0727
4.0,35.5,25.5,14801.8331,5254.6507,254.5898,39.9306
4.0,36.5,12.0,14801.8331,5402.6691,132.4062,-27.2254
4.0,36.5,13.5,14801.8331,5402.6691,146.723,-19.3564
4.0,36.5,15.0,14801.8331,5402.6691,161.0399,-11.4874
4.0,36.5,16.5,14801.8331,5402.6691,175.3568,-3.6184
4.0,36.5,18.0,14801.8331,5402.6691,189.6736,4.2506
4.0,36.5,18.5,14801.8331,5402.6691,194.4459,6.8736
4.0,36.5,20.0,14801.8331,5402.6691,208.7628,14.7426
4.0,36.5,22.0,14801.8331,5402.6691,227.8519,25.2346
4.0,36.5,25.5,14801.8331,5402.6691,261.2579,43.5956
4.0,37.5,12.0,14801.8331,5550.6874,135.5441,-25.5006
4.0,37.5,13.5,14801.8331,5550.6874,150.2532,-17.4161
4.0,37.5,15.0,14801.8331,5550.6874,164.9623,-9.3315
4.0,37.5,16.5,14801.8331,5550.6874,179.6714,-1.2469
4.0,37.5,18.0,14801.8331,5550.6874,194.3805,6.8377
4.0,37.5,18.5,14801.8331,5550.6874,199.2836,9.5326
4.0,37.5,20.0,14801.8331,5550.6874,213.9927,17.6172
4.0,37.5,22.0,14801.8331,5550.6874,233.6048,28.3966
4.0,37.5,25.5,14801.8331,5550.6874,267.926,47.2607
4.0,39.0,12.0,14801.8331,5772.7149,140.251,-22.9136
4.0,39.0,13.5,14801.8331,5772.7149,155.5485,-14.5056
4.0,39.0,15.0,14801.8331,5772.7149,170.846,-6.0976
4.0,39.0,16.5,14801.8331,5772.7149,186.1434,2.3103
4.0,39.0,18.0,14801.8331,5772.7149,201.4409,10.7183
4.0,39.0,18.5,14801.8331,5772.7149,206.5401,13.521
4.0,39.0,20.0,14801.8331,5772.7149,221.8375,21.9289
4.0,39.0,22.0,14801.8331,5772.7149,242.2341,33.1396
4.0,39.0,25.5,14801.8331,5772.7149,277.9282,52.7582
4.0,41.0,12.0,14801.8331,6068.7516,146.5269,-19.4642
4.0,41.0,13.5,14801.8331,6068.7516,162.6089,-10.625
4.0,41.0,15.0,14801.8331,6068.7516,178.6908,-1.7858
4.0,41.0,16.5,14801.8331,6068.7516,194.7728,7.0533
4.0,41.0,18.0,14801.8331,6068.7516,210.8547,15.8925
4.0,41.0,18.5,14801.8331,6068.7516,216.2154,18.8388
4.0,41.0,20.0,14801.8331,6068.7516,232.2973,27.678
4.0,41.0,22.0,14801.8331,6068.7516,253.7399,39.4635
4.0,41.0,25.5,14801.8331,6068.7516,291.2645,60.0882
6.0,32.0,12.0,15086.4837,4827.6748,120.2165,-33.9252
6.0,32.0,13.5,15086.4837,4827.6748,133.0096,-26.8937
6.0,32.0,15.0,15086.4837,4827.6748,145.8028,-19.8622
6.0,32.0,16.5,15086.4837,4827.6748,158.5959,-12.8306
6.0,32.0,18.0,15086.4837,4827.6748,171.3891,-5.7991
6.0,32.0,18.5,15086.4837,4827.6748,175.6535,-3.4553
6.0,32.0,20.0,15086.4837,4827.6748,188.4466,3.5762
6.0,32.0,22.0,15086.4837,4827.6748,205.5041,12.9516
6.0,32.0,25.5,15086.4837,4827.6748,235.3548,29.3585
