quarter,categories,sentence
4Q20,urban,The pace of growth for nights booked (prior to cancellations and alterations) was strongest in non-urban areas during the quarter.
4Q20,cross_border|domestic,"Across all regions, nights booked (prior to cancellations and alterations) for domestic travel in Q4 2020 exceeded that of the same period in 2019, though this has not been sufficient to offset the im"
4Q20,north_america|cross_border|domestic,"In North America and across our global regions, domestic travel continues to be a strength for Airbnb as people seek out nearby locations that are less exposed to cross-border travel restrictions and "
4Q20,asia_pacific|cross_border,"The recovery in Asia Pacific continues to take time, as many countries in the region have historically been reliant on cross-border travel, which remains well below 2019 levels."
4Q20,latin_america|domestic,"We saw resilience in domestic travel of certain countries, *Net of cancellations and alterations 14 such as Brazil and Mexico."
4Q20,latin_america,"In Latin America, the pace of nights booked (prior to cancellations and alterations) remains below 2019 levels but was relatively stable during the quarter."
4Q20,emea,"We did see some slight reacceleration late in Q4 2020 in countries such as France, driven by the easing of some restrictions and holiday-related travel."
4Q20,emea,"Examples include Great Britain, Italy and Germany."
4Q20,urban,"The growth of our nights booked (prior to cancellations and alterations) was also stronger in non-urban and low-density urban areas, where ADRs tend to be higher when compared with high-density urban "
4Q20,north_america,"Supporting our ADRs were a continuation of trends that we saw earlier in the year, such as the strength of bookings in North America, where ADRs tend to be higher than other parts of the world."
4Q20,long_term_stays,"As people continue to live and travel more flexibly, entering 2020 and during the pandemic, we have seen steady growth in our long-term stays (stays of at least 28 nights)."
4Q20,north_america,"The majority of our expected investments are related to office improvements in North America, many of which were delayed in 2020."
4Q20,urban,"We also saw relative strength for growth in nights booked (prior to cancellations and alterations) in what we term low-density urban locations, which would be away from areas such as city centers."
4Q20,asia_pacific,"They might speak differently and eat slightly differently, but they still have the same desires, the same cares, and the same worries.” Merrydith also became involved in advocacy for Hosts in Australi"
4Q20,north_america,"As of December 2020, underrepresented minority populations represented 12.3% of our U.S.-based employees and those who identify as women made up 47.0% of our employees globally."
4Q20,north_america,"In December, we announced that we set two key goals for ourselves: • By the end of 2025, 20% of our U.S. employees will be underrepresented minorities."
4Q20,north_america|long_term_stays|domestic,"While this contributed to our business being below 2019 levels in Q4 2020, we have seen many areas of resilience continue from earlier in 2020: North America, domestic travel, nearby travel, long-term"
4Q20,north_america,"On a regional basis, North America has been our most stable region during the pandemic—this continued in Q4 2020."
4Q20,north_america,Nights booked in North America (prior to cancellations and alterations) were close to the levels reached in the same quarter of 2019.
4Q20,emea|cross_border,"Our business was most affected in EMEA, especially in countries that had lockdowns and cross-border travel restrictions, and which have historically relied more heavily on cross-border travel."
4Q20,north_america|long_term_stays|domestic,EX-99.1 2 d147144dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Shareholder Letter Q4 2020 Q4 2020 FY 2020 Nights and Experiences Booked 46.3M 193.2M Net of cancellations and alterations • Despite the pandem
4Q20,domestic,"With millions of guests booking stays closer to home, domestic travel quickly rebounded on Airbnb worldwide."
4Q20,domestic,A majority (56%) prefer a domestic or local destination versus just 21% who want to visit someplace international and farther away.
4Q20,asia_pacific,"We are delighted to introduce one of these Hosts on the following pages. 9 HOST SPOTLIGHT Merrydith Callegari—Tasmania, Australia SuperHost Merrydith, now a retired grandmother of four, had a lot more"
4Q20,asia_pacific,"But after a few months, Tasmania had effectively controlled COVID-19 and, to prevent a spread, everyone had to stay cut off from mainland Australia."
1Q21,north_america,This revenue increase was driven by strength in North America and higher Average Daily Rates (“ADR”) during the quarter.
1Q21,emea,"For example, we saw a sharp increase in bookings in the U.K. immediately after British Prime Minister Boris Johnson announced plans to exit lockdown in February, as well as a sharp increase in booking"
1Q21,north_america,"And for guests aged 60 and above in the U.S., who were amongst the first groups to benefit from vaccine rollouts, searches on our platform for summer travel increased by more than 60% between February"
1Q21,north_america|long_term_stays|domestic,"EX-99.1 2 d476842dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 Q1 2021 Nights and Experiences Booked • More than a year after the start of the pandemic, Airbnb’s business has continued to prove highly resil"
1Q21,north_america,"On a regional basis, North America has been our strongest region during the pandemic, which we continued to see in Q1 2021."
1Q21,long_term_stays,"Nearly a quarter (24%) of our nights booked (prior to cancellations and alterations) in Q1 were not for traditional travel, but for long-term stays (defined as stays of 28 days or more)."
1Q21,north_america|long_term_stays|domestic,"These include North America, domestic travel, nearby travel, long-term stays, and stays in less-densely populated areas."
1Q21,north_america|emea|asia_pacific,"The campaign launched on television and digital channels in five of our largest markets: the U.S., France, the U.K., Canada and Australia."
1Q21,urban,We have seen increases in supply in the regions that are most popular with guests today: active listings in non-urban areas in Q1 2021 increased almost 30% from the same period in 2019.
1Q21,cross_border|urban,"Our global community of 4 million Hosts across nearly 100,000 cities around the world are ready to welcome guests as urban and cross-border travel recovers."
1Q21,domestic,"Across all regions, nights booked (prior to cancellations and alterations) for domestic travel in Q1 2021 exceeded that of the same period in 2019, and represented approximately 80% of nights during t"
1Q21,north_america|domestic,"In North America (primarily in the U.S.) and across our global regions, domestic travel continues to be a strength for Airbnb."
1Q21,asia_pacific|domestic,"However, we have seen modest recovery in countries such as Australia and Korea, where domestic travel has performed well."
1Q21,asia_pacific|cross_border,"The recovery in Asia Pacific continues to take time, as many countries in the region have historically been more reliant on cross-border travel."
1Q21,latin_america|domestic,"In Latin America, we saw resilience in certain countries, such as Mexico and Brazil, where domestic travel was strong."
