scenario,quarter,nights_yoy_pct,adr_exfx_pct,residual_pp,fx_pp,hedge_memo_pp,reported_growth_pct,prior_year_revenue_musd,revenue_musd,fx_path,lap
bear,2027Q1,4.62,1.0,-1.0,-1.56,-0.18,3.06,2678.0,2760.0,strong_usd,"global three-feature lap (1Q26 +3pt nights, mgmt) and Middle East base"
bear,2027Q2,5.12,1.0,-1.0,-2.48,-0.18,2.64,3608.0,3703.0,strong_usd,"World Cup booking lap (2Q26), RNPL eligibility expansion lap (Jul 2026)"
bear,2027Q3,6.22,1.0,-1.0,-3.18,,3.04,4632.0,4773.0,strong_usd,clean comp; hotels and AI pricing are the swing
bear,2027Q4,7.12,1.0,-1.0,-3.02,,4.1,2961.0,3082.0,strong_usd,clean comp
base,2027Q1,7.95,3.0,0.0,-1.03,-0.18,9.92,2678.0,2944.0,consensus,"global three-feature lap (1Q26 +3pt nights, mgmt) and Middle East base"
base,2027Q2,8.45,3.0,0.0,-0.8,-0.18,10.65,3608.0,3992.0,consensus,"World Cup booking lap (2Q26), RNPL eligibility expansion lap (Jul 2026)"
base,2027Q3,9.55,3.0,0.0,-0.61,,11.94,4771.0,5341.0,consensus,clean comp; hotels and AI pricing are the swing
base,2027Q4,10.45,3.0,0.0,-0.07,,13.38,3111.0,3527.0,consensus,clean comp
bull,2027Q1,10.28,4.0,0.5,-0.5,-0.18,14.28,2678.0,3060.0,weak_usd,"global three-feature lap (1Q26 +3pt nights, mgmt) and Middle East base"
bull,2027Q2,10.78,4.0,0.5,0.53,-0.18,15.81,3608.0,4178.0,weak_usd,"World Cup booking lap (2Q26), RNPL eligibility expansion lap (Jul 2026)"
bull,2027Q3,11.88,4.0,0.5,1.25,,17.63,4931.0,5800.0,weak_usd,clean comp; hotels and AI pricing are the swing
bull,2027Q4,12.78,4.0,0.5,2.16,,19.44,3241.0,3871.0,weak_usd,clean comp
